('年利润暴增572倍,次新第一龙头62跌至9元,有望乌鸡变凤凰 $纵横通信 sh603602$ $万里马 sz300591$ $*ST宜化 sz000422$ $金溢科技 sz002869$ 姚晓浪的秒...', '2018-07-25 01:51:27')
('广济药业、京山轻机、三特索道、*ST双环、*ST宜化……', '2018-07-24 06:05:40')
('【这些鄂股正在被大手笔买入】截至7月22日，在全国已公布2018年上半年业绩预告的2099家上市公司中，有1386家净利润同比增长（预告净利润增幅按公布区间折中计算）。在5月23日至7月22日期间预告业绩暴增个股也受到了不少机构、股东和高管的青睐（注：机构龙虎榜、股东增持、高管增持数据当中已剔除近四 ...展开全文c', '2018-07-24 22:20:45')
('“集合竞价”A股唯一抓涨停黑马口诀，菜鸟谨记，其它都是马后炮 $*ST宜化 sz000422$ $广发证券 sz000776$ $凯中精密 sz002823$ $三川智慧 sz300066$ QueenieL的...', '2018-07-24 16:13:23')
('国产芯片第一龙头86跌至5元，股东增持8700万股，18年将超京东方A $精锻科技 sz300258$ $上海电影 sh601595$ $*ST华泽 sz000693$ $*ST宜化 sz000422$ Ida真是异...', '2018-07-24 08:20:09')
('【*ST双环拟公开转让宜化投资6%股权】*ST双环23日晚公告，公司拟通过在产权交易所公开征集受让方的形式转让持有的宜化投资6%的股权，交易价格应不低于“宜化投资的净资产评估值×拟转让股权比例”，本次拟交易事项尚需获得国资委审批。本次拟转让标的公司部分股权，旨在增强公司资金实力。', '2018-07-23 12:04:03')
('操盘手交易员自述：这辈子炒股只需要做精一只股，赢得盆满钵满 $雪峰科技 sh603227$ $*ST宜化 sz000422$ $中文在线 sz300364$ $华正新材 sh603186$ 论A股堂的...', '2018-07-23 11:13:47')
('北京一老教授看破股市：27年坚持只做一种股票，学会后股市是印钞 $*ST宜化 sz000422$ $东湖高新 sh600133$ $华光股份 sh600475$ $龙泉股份 sz002671$ L-花花-V幸...', '2018-07-22 00:30:40')
('68岁北京股神曝 “七不买三不卖”字字珠玑, 记住5句实现千万本金 $盛讯达 sz300518$ $立思辰 sz300010$ $*ST宜化 sz000422$ $太龙药业 sh600222$ 我的小蜗牛...', '2018-07-21 11:10:28')
('$*ST宜化 sz000422$ 宜化这股业绩拐点应该在半年报后会出现，个人觉得这是错杀比较严重的股之一，和当初沧州大化（当初叫ST沧大）一样被错杀一样，后面应该会修复自身的估值体系。但是现在不是买入的时候，等待趋势逆转吧，看看明年这个时候他会不会走成牛股。', '2018-07-19 02:17:11')
('【案例教学】中报业绩预增风险股——$*ST宜化 sz000422$1、业绩增长，但公司不确定性非常大；2、短期连续大涨存在巨大风险。今日分析的风险股还有$深康佳Ａ sz000016$ 、$国际医学 sz000516$ ，详细分析私信回复【1】免费获取。（投资有风险，入市需谨慎）#中报业绩预增# #黄伟解析# ...展开全文c', '2018-07-17 02:11:03')
('热点龙头行业今天领涨的是船舶制造板块，领涨股是ST船舶。3日领涨的是电信运营板块，龙头是二六三。概念今天领涨的是昨日涨停板块，领涨股是通产丽星。3日领涨的是昨日连板板块，龙头是通产丽星。区域今天领涨的是山西板块，领涨股是大同煤业。3日领涨的是湖北板块，龙头是ST宜化。主力资金净流入 ...展开全文c', '2018-07-16 05:04:53')
('香港一老教授终把“股票七不买”讲清楚了，背熟5句下个股神是你 $*ST宜化 sz000422$ $远望谷 sz002161$ $机电B股 sh900925$ $中国动力 sh600482$ 小正太Ente...', '2018-07-16 01:39:19')
('南京公用(000421)*ST宜化(000422)东阿阿胶(000423)徐工机械\ue627 股票分析 \ue627 股票 #科迪乳业 sz002770[股票]# #宁波东力 sz002164[股票]# #维科技术 sh600152[股票]# #锦富技术 sz300128[股票]# #通产丽星 sz002243[股票]# #大通燃气 sz000593[股票]# #300011# #三变科技 sz002112[股票]# ...展开全文c', '2018-07-14 23:07:55')
('广州股神：终于把“换手率”讲清楚了，过了今晚将删除，永珍藏 $*ST宜化 sz000422$ $飞科电器 sh603868$ $XD中原高 sh600020$ $巴安水务 sz300262$ 我的小蜗牛...', '2018-07-14 07:07:55')
('双环这套路和st宜化一样啊，不过昨天有厉害资金提前上手了。', '2018-07-12 21:25:17')
('中国芯片第一龙头再次封王，净利暴增76倍,碾压合肥城建 $*ST宜化 sz000422$ $天津港 sh600717$ $奥克股份 sz300082$ $一致B sz200028$ 姚晓浪的秒...', '2018-07-12 14:18:18')
('*ST宜化“甩包袱”扭亏 预计上半年盈利超过2亿元 |*ST宜化“甩...', '2018-07-11 22:01:10')
('st宜化盈利了，哈哈，把一个号称中国第一氮肥的优质公司经营成垃圾公司，宜化国资委还知道亡羊补牢，还行～', '2018-07-11 21:25:05')
('个股利好：建新股份、冀东装备、首开股份、证通电子、阳光城、天源迪科、粤电力A、韶钢松山、北京君正、赛托生物、金卡智能、东方电热、国祯环保、胜利股份、*ST宜化中报大幅预增；中关村、吉林森工、河北宣工、正虹科技、纳思达、漳泽电力、*ST油服中报扭亏为盈；鸿特科技与小黄狗环保科技签署50亿元 ...展开全文c', '2018-07-11 21:21:30')
('【7/12 #上证盘前#·公司】1.全国股转公司新闻发言人接受上证报记者独家专访回应热点问题 新三板违规强摘是市场出清 监管没有“讨价还价”空间；2.从明星公司到退市典型 吉恩镍业做错了什么；3.步长制药赵超：立足拳头产品 完善大健康产业链；4.中企海外投资持续活跃 对欧洲企业并购同比倍增；5.*ST宜化 ...展开全文c', '2018-07-11 21:05:17')
('实时播报：*ST宜化：上半年预计盈利2.1亿元-2.5亿元，同比增长154.27%-202.7%；公司主导产品聚氯乙烯、烧碱、尿素、磷酸二铵同比上涨，重大资产出售工作完成。', '2018-07-11 05:09:06')
('岱勒新材96%散户浑然不知，主力将惊人巨变！ $*ST宜化 sz000422$ $天士力 sh600535$ $安居宝 sz300155$ $东方国信 sz300166$ QueenieL的...', '2018-07-10 23:22:19')
('中国平安游资客纷纷进场，所有散户小心被套牢 $XD中南传 sh601098$ $*ST宜化 sz000422$ $广电网络 sh600831$ $宇环数控 sz002903$ QueenieL的...', '2018-07-09 03:43:32')
('北京一老教授看破股市：27年坚持只做一种股票，学会后股市是印钞 $焦点科技 sz002315$ $*ST宜化 sz000422$ $恒银金融 sh603106$ $五矿资本 sh600390$ 3305079245...', '2018-07-07 23:05:11')
('发表了博文《*ST宜化实盘操作一览》2018.7.7截至2018年7月6日尾盘，累计持股5.57万股，保本价2.167元，市值109729元。下周看多，关键是看能否触及20日均线，能够触及则说明股价走|*ST宜化实...', '2018-07-07 03:27:09')
('股市唯一不骗人的指标——“换手率”，看懂你就离高手不远了！ $天威视讯 sz002238$ $*ST宜化 sz000422$ $*ST尤夫 sz002427$ $开润股份 sz300577$ 我的小蜗牛...', '2018-07-06 11:45:32')
('A股永不骗人的黄金定律“MACD”，仅分享1次，过了今晚永久删除！ $天润乳业 sh600419$ $朗科科技 sz300042$ $朗迪集团 sh603726$ $*ST宜化 sz000422$ 小正太Ente...', '2018-07-05 12:13:38')
('股票一旦出现“线上阴线”试盘形态，必是大牛股，成功率百分百 $*ST宜化 sz000422$ $海天味业 sh603288$ $日照港 sh600017$ $精测电子 sz300567$ 尤阅对看盘...', '2018-07-04 12:45:50')
('新股最佳申购上午下午时间点分解，中签率提高120%，值得珍藏 $*ST天马 sz002122$ $同洲电子 sz002052$ $*ST宜化 sz000422$ $三元股份 sh600429$ 李小麦同学...', '2018-07-03 23:33:42')
('北京一女博士自白“内盘外盘”口诀，庄家听后跪求删帖，永久珍藏 $日发精机 sz002520$ $*ST宜化 sz000422$ $东江环保 sz002672$ $高新兴 sz300098$ 我的小蜗牛...', '2018-07-03 13:06:25')
('“阴线买入”是股市100%获利方法，句句在理，一旦掌握，永不被套 $川环科技 sz300547$ $*ST宜化 sz000422$ $中船科技 sh600072$ $华润三九 sz000999$ 凌_BLove新...', '2018-06-28 13:41:33')
('盲目没有方向，不明白出还是留吗？只分享1次人满就不加了！通程控股(sz000419) 吉林化纤(sz000420) 南京公用(sz000421) *ST宜化(sz000422) 东阿阿胶(sz000423) 徐工机械(sz000425) Only_抱玉...', '2018-06-27 10:07:17')
('股票一旦出现“线上阴线”试盘形态，必是大牛股，成功率百分百 $*ST匹凸 sh600696$ $安泰集团 sh600408$ $ST国嘉 sh600646$ $湖北宜化 sz000422$ 我的小蜗牛...', '2018-06-25 19:42:07')
('如何用“KDJ指标”精准快速把握买卖点#资金流向# #证券# $富奥股份 sz000030$ $*ST宜化 sz000422$ 宣凤萍的秒...', '2018-06-14 05:12:09')
('复牌公司：*ST宜化、中广天择、新奥股份、远望谷、德威新材、 停牌公司：贝肯能源、南京聚隆、*ST尤夫、*ST罗顿、罗牛山、香梨股份、四通股份、当代东方#滴滴赴港上市# #全民赛实盘# #互联网巨头回a#网页链接', '2018-05-23 21:58:48')
('#投资达人说# #今日看盘# @微博股票 $格力电器 sz000651$ $华锋股份 sz002806$ 贝肯能源、罗牛山、南京聚隆、*ST尤夫停牌核查新奥股份、中广天择、远望谷、德威新材、*ST宜化复牌。股权登记：欧普康视、博思软件、会畅通讯、贝肯能源、伟隆股份、露笑科技、鹭燕医药、瑞尔 ...展开全文c', '2018-05-23 20:33:01')
('看看哪个省的垃圾多：600807ST天业～山东坚瑞沃能～陕西千山药机、尔康制药～湖南ST德奥、国民技术～广东ST保千里～江苏ST吉恩 ～吉林 ...展开全文c', '2018-05-20 19:46:02')
('#股票##财经#子公司曾现严重安全事故，ST宜化拟甩巨亏包袱 证券波线图...', '2018-05-11 00:08:24')
('$*ST宜化 sz000422$ $*ST双环 sz000707$ 为我湖的这两个垃圾，操碎了心。', '2018-05-10 21:33:54')
('*ST双环：子公司停车检修e公司讯，#e公司快讯# *ST双环(000707)5月9日晚间公告，公司全资子公司重庆宜化及其控股子公司重庆索特均于5月8日夜间停车，开始进行2018年度检修，预计停车及检修时间共计16天左右。重庆宜化具有纯碱产能70万吨/年和接近的氯化铵产能，重庆索特具有120万吨/年真空制盐实际生 ...展开全文c', '2018-05-09 06:41:15')
('【停牌个股】安阳钢铁、城市传媒、中国中铁、*ST海投、*ST宜化【复牌个股】大湖股份、*ST三泰、广博股份、台海核电、银鸽投资、南风股份、宝鹰股份、新华锦、济民制药', '2018-05-06 21:36:58')
('【今起停牌】安阳钢铁、城市传媒、中国中铁、*ST海投、*ST宜化 $安阳钢铁 sh600569$ $城市传媒 sh600229$ $中国中铁 sh601390$ $*ST海投 sh600896$ $*ST宜化 sz000422$', '2018-05-06 21:32:27')
('今日停牌提示：*ST海投、湖北宜化、城市传媒、安阳钢铁、中国中铁今日复牌提示：光韵达、济民制药、新华锦、大湖股份、银鸽投资、台海核电、宝鹰股份、广博股份、*ST三泰、南风股份、*ST松江、*ST天成', '2018-05-06 21:21:21')
('*ST宜化：拟10.4亿元转让新疆宜化80.1%股权 明起停牌|*ST宜化：...', '2018-05-06 21:20:17')
('药明康德：将于5月8日上市 一季度营收21亿元增长约两成南山控股：换股吸收合并深基地B中兴通讯：正式向美国商务部提交关于暂停执行拒绝令的申请远兴能源：拟斥资不超10亿元回购股份*ST华信：公司业务大幅萎缩力帆股份：拟定增募资24.8亿元投资新能源汽车项目*ST宜化：拟10.4亿元转让新疆宜化80.1 ...展开全文c', '2018-05-06 10:57:39')
('5月4-6日晚间重要公告集锦05-06 19:43远兴能源拟回购至少5亿元公司股份05-06 17:44齐翔腾达与SKC等签署战略合作协议05-06 17:39鸿利智汇获政府补助4233万元05-06 17:33万孚生物股东拟减持178万股05-06 17:24*ST宜化拟10.4亿元出售新疆宜化80.1%的股权 ...展开全文c', '2018-05-06 08:44:43')
('*ST宜化(000422)5月6日晚公告，拟将持有新疆宜化80.10%的股权转让给宜昌新发,对新疆宜化进行重组重组完成后,宜昌新发将持有新疆宜化80.10%的股权,公司将持有新疆宜化19.90%的股权', '2018-05-06 06:26:03')
