('东江环保 西部证券 兴业科技 东诚药业 顺威股份 股海大咖的...', '2018-07-24 04:10:19')
('股票一旦出现“线上阴线”试盘形态，必是大牛股，成功率百分百 $东江环保 sz002672$ $沃尔核材 sz002130$ $中飞股份 sz300489$ $科华控股 sh603161$ 论A股堂的...', '2018-07-23 10:42:02')
('一位顶尖操盘手首爆“底部双雄”战法，背熟分分钟擒拿大黑马，值得借鉴学习$永辉超市 sh601933$$东江环保 sz002672$$德生科技 sz002908$ 杨超分析的...', '2018-07-23 09:45:58')
('稀土永磁第一黑马，遭主力疯狂抢筹，本月将暴涨成妖！#东江环保 sz002672[股票]# #万隆光电 sz300710[股票]# 小雅分析的...', '2018-07-23 08:23:16')
('MACD图解！如何解决滞后性，保证一买就涨（建议收藏） $东江环保 sz002672$ $灵康药业 sh603669$ $深物业A sz000011$ $龙韵股份 sh603729$ 邹亦梧看世...', '2018-07-23 02:51:01')
('香港67岁漂亮女博士放话：股市唯一不骗人涨停买入技巧，字字珠玑 $怡达股份 sz300721$ $运达科技 sz300440$ $东江环保 sz002672$ $经纬纺机 sz000666$ 姚晓浪的秒...', '2018-07-23 00:25:41')
('劲爆！盐湖股份 最新消息揭露，后期走势大揭秘！ $浙江东日 sh600113$ $景嘉微 sz300474$ $金螳螂 sz002081$ $东江环保 sz002672$ QueenieL的...', '2018-07-22 23:40:37')
('上海一女博士自白“内盘外盘”口诀，庄家听后跪求删帖，永久珍藏 $石化机械 sz000852$ $长生生物 sz002680$ $豫金刚石 sz300064$ $东江环保 sz002672$ L-花花-V幸...', '2018-07-22 23:33:22')
('周日晚上:钛白粉第一过气龙头，最新信号暗示大盘这样走！$永辉超市 sh601933$$东江环保 sz002672$$德生科技 sz002908$ 杨超分析的...', '2018-07-22 08:25:45')
('看票持有这几只票的朋友，有拿不准的可以直接私信我，还有医药，煤炭，钢铁板块也可以问。$亚宝药业 sh600351$ $新日恒力 sh600165$$宏达矿业 sh600532$ $合纵科技 sz300477$$晶华新材 sh603683$ $东江环保 sz002672$#大盘-个股-趋势-解答# #今日看盘#', '2018-07-20 23:26:25')
('盲目没有方向吗？指导后市如何操作，投资股票可以加wei信：371540346，指导买卖点和解套方法！任子行(sz300311) 宜通世纪(sz300310) 人民网(sh603000) 东江环保(sz002672) 天山生物(sz300313) 龙泉股份(sz002671)', '2018-07-20 04:55:39')
('股市唯一不欺骗人的“集合竞价”顺口溜，新手熟记：可实现百亿梦 $四方冷链 sh603339$ $汇金股份 sz300368$ $江化微 sh603078$ $东江环保 sz002672$ 我的小蜗牛...', '2018-07-19 20:51:35')
('石墨烯终于忍不住了！遭国家队461亿加仓，暴涨将一发不可收拾！$阳光照明 sh600261$ $昊华能源 sh601101$ $东江环保 sz002672$ $金海环境 sh603311$ 蒋涛分析的...', '2018-07-19 09:19:33')
('发布了头条文章：《文轩论股：勘设股份+东江环保+皖新传媒+马钢股份，七月底或将这样走》 $勘设股份 sh603458$ $上证指数 sh000001$ #股票分析# #股票# #牛股# |文轩论股：...', '2018-07-19 03:41:32')
('相关标的：$碧水源 sz300070$ 膜法垄断+布局完善水处理龙头业绩可期;$国祯环保 sz300388$ 公司正向水环境综合服务商转型,在工业废水、村镇污水和流域治理等领域多元化布局,运营资产丰富;$东江环保 sz002672$ 布局环卫全产业链的环卫龙头。东江环保(002672)危废无害化处置龙头。', '2018-07-18 02:51:35')
('环保督察“回头看” 逾百家被罚企业牵涉A股公司。环保作为2018年三大攻坚战之一，受到广泛和高度的重视。我们认为，目前环保板块估值处于五年来低位，随着环保督查和治理的力度持续加码推进，环保板块表现可期。', '2018-07-18 02:52:31')
('发布了头条文章：《皓轩论股：中科曙光+金运激光+众信旅游+东江环保》$中科曙光 sh603019$ $金运激光 sz300220$ #股票分析# #股票# #上证指数 sh000001[股票]# |皓轩论股：...', '2018-07-17 21:30:37')
('电子信息第一黑马股，主力8652万大单锁仓，温州帮果然出手就是涨停板！#东江环保 sz002672[股票]# #万隆光电 sz300710[股票]# 小雅分析的...', '2018-07-17 09:01:12')
('东江环保宝宝巴士宝宝不会户型好好补补对宝宝不会后悔坏哥哥乖乖vv姑姑u还会不会度很棒棒 |泰国', '2018-07-17 06:12:58')
