('赣锋锂业爆跌50%，最“幸运”小散不顾女朋友分手要挟，全仓买入741万，如今成高富帅！ $中核科技 sz000777$ $三一重工 sh600031$ $双一科技 sz300690$ $华锦股份 sz000059$ 蒋涛分析的...', '2018-07-23 23:04:07')
('不知道是出是留吗？想预知后市走势如何的加！总能为你指点迷津，盲目求索可以加！漳泽电力(sz000767) 中航飞机(sz000768) *ST大菲(sz000769) 广发证券(sz000776) 中核科技(sz000777) 新兴铸管(sz000778) 静心静唔的...', '2018-07-23 20:46:37')
('广发证券 中核科技 新兴铸管 中航飞机！ #长春经开 sh600215[股票]# #广汇能源 sh600256[股票]# #华业资本 sh600240[股票]# 许楚沛分析...', '2018-07-23 06:02:54')
('我刚刚调仓了微博股票组合网页链接，以成交价11.02卖出$中核科技 sz000777$。', '2018-07-22 23:13:21')
('白酒第一龙头从51跌至3元,年报净利润暴增482%,有望复制盘龙药业 $世纪华通 sz002602$ $上海银行 sh601229$ $西部资源 sh600139$ $中核科技 sz000777$ 姚晓浪的秒...', '2018-07-22 22:46:11')
('33岁上海女股民公开庄家洗盘内幕，颠覆股民三观，赢得21次掌声！ $中核科技 sz000777$ $*ST巴士 sz002188$ $金牛化工 sh600722$ $冠福股份 sz002102$ 姚晓浪的秒...', '2018-07-19 21:29:51')
('就在刚刚11：30分发布死命令机构全仓抛售：乐视网 赣锋锂业 科大讯飞$中核科技 sz000777$ $三一重工 sh600031$ $双一科技 sz300690$ $华锦股份 sz000059$ 蒋涛分析的...', '2018-07-19 05:23:57')
('【热点复盘】1、5G：意华股份、纵横通信、中兴通讯、美格智能、创意信息、沃特股份、飞荣达、奥维通信2、中报预增：海达股份、北方国际、智度股份、合兴包装、中核科技、安井食品、德威新材3、超跌：联建光电、金运激光、三维股份、英特集团、凯盛科技、南京新百、盛运环保 ...展开全文c', '2018-07-17 21:17:31')
('盲目没有方向吗？指导后市如何操作，投资股票可以加wei信：371540346，指导买卖点和解套方法！漳泽电力(sz000767) 中航飞机(sz000768) *ST大菲(sz000769) 广发证券(sz000776) 中核科技(sz000777) 新兴铸管(sz000778)', '2018-07-17 08:58:07')
('发布了头条文章：《中核科技000777：外围大量资金注入，三大迹象显示主力上攻决心？》 $中核科技 sz000777$ #财经头条文章# #a股~股市~股票~大盘~指数# |中核科技00...', '2018-07-17 07:07:02')
('广州一女博士自白“内盘外盘”口诀，庄家听后跪求删帖，永久珍藏 $东旭光电 sz000413$ $中核科技 sz000777$ $广州酒家 sh603043$ $湖南黄金 sz002155$ 我的小蜗牛...', '2018-07-17 04:18:42')
('指数低开，民航板块领涨。昨日热点题材中，业绩预增中核科技涨1%、京威股份涨2%、中能电气涨1%，5G中兴通讯涨6%、沃特股份跌1%、意华股份平开，自主可控维科技术涨1%、长亮科技涨1%、神州数码涨2% 知识产权视觉中国、中国科传涨1%，半导体菲利华涨停，石英股份涨6%', '2018-07-16 21:41:48')
('早评有讲到，注意回避天华超净同一批次的高位票，华昌达、长盛轴承、$宏达矿业 sh600532$ 。近期可以参与以新的低位票（$中核科技 sz000777$ ，业绩预期)和趋势个股(例如芊芊推荐的风华高科 、宁德时代、药明康德）建仓私聊！', '2018-07-16 21:30:35')
('看今天？@北京豪哥888:七月量化股今天10支涨停板:北方国际，东软载波，中能电气，美格智能，奥维通信，京威股份，中核科技，金运激光，创意信息，长亮科技。其中有些票是延续六月量化股继续坚挺的票，长亮科技是王者归来，中能电气和京威股份今天是2连板。@西风颂1018:', '2018-07-15 08:00:40')
('豪哥分享-----每周大盘晴雨表（留个资料）发布时间：2018.07.15.20:08. <豪哥工作室>诚邀天使投资人。跟我合作有多种方式：一、做天使投资人每年分红。二、代客理财给固定回报，年化收益率18%。三、代客操盘，用你的账户我来炒，一票一结三七分。四，指导操盘，一票一算三七分成。 ...展开全文c', '2018-07-16 20:11:31')
('发布了头条文章：《文轩论股：上海机场+中航飞机+碧水源+中核科技》$中航飞机 sz000768$ $上证指数 sh000001$ #股票分析# #股票# #今日看盘# |文轩论股：...', '2018-07-16 10:30:16')
