('盲目没有方向吗？指导后市如何操作，投资股票可以加wei信：371540346，指导买卖点和解套方法！方正证券(sh601901) 亚夏汽车(sz002607) 金信诺(sz300252) 旗滨集团(sh601636) 江苏国信(sz002608) 捷顺科技(sz002609)', '2018-07-24 14:06:02')
('【上半年牛熊股盘点：最牛25天涨200% 最熊6个月跌八成】今年以来，截至6月27日收盘，在剔除新股及次新股后，涨幅超过100%的个股仍有7只，它们分别是：亚夏汽车、超频三、建新股份、神马股份、蓝晓科技、海辰药业和顺鑫农业。跌幅超过70%的五大熊股，顺威股份、顾地科技、奥瑞德、乐视网、神雾环保。 ...展开全文c', '2018-06-27 11:45:03')
('发布了头条文章：《最新主力阴谋揭露：亚夏汽车+万华化学+华兰生物》$亚夏汽车 sz002607$万华化学 sh600309$华兰生物 sz002007$ # A股#股票[超话]# |最新主力阴...', '2018-07-24 10:43:33')
('发布了头条文章：《此热点重点关注，明日必定成妖》 \ue627 股票 \ue627 股票分析 #超频三 sz300647[股票]# #欣锐科技 sz300745[股票]# #亚夏汽车 sz002607[股票]# #猛狮科技 sz002684[股票]# |此热点重点...', '2018-07-24 10:02:01')
('山东老股民教你三步学习选股法:凭此办法 十年亏损一朝盈!#猛狮科技 sz002684[股票]# #京东方Ａ sz000725[股票]# #亚夏汽车 sz002607[股票]# 智超财经的...', '2018-07-24 05:01:35')
('股市唯一不骗人“看涨吞没形态”顺口溜，一旦掌握可实现百亿梦想$新和成 sz002001$ $海信电器 sh600060$ $亚夏汽车 sz002607$ 晓枫投顾的...', '2018-07-24 02:45:34')
('我刚刚调仓了微博股票组合网页链接，以成交价9.79买入$亚夏汽车 sz002607$。', '2018-07-24 02:34:39')
('炒股能发财的只有一种人：记住了这些固定铁律，你就可以快速盈利#猛狮科技 sz002684[股票]# #京东方Ａ sz000725[股票]# #亚夏汽车 sz002607[股票]# 智超财经的...', '2018-07-24 01:56:52')
('今天开盘止盈丹邦科技，盘中止盈成都银行、万年青。龙元建设没卖点，今日建筑ppp爆了，明天可能会开一字板。亚夏汽车思考了一下，盘中大幅建仓，留的比较少，感觉还是有不确定的地方。新介入的腾达建设，早盘加仓锐科激光，介入东方环宇。感觉大盘稳了，题材股迟早会爆。', '2018-07-23 03:07:40')
('超图软件止盈。今日新买丹邦科技 龙元建设 成都银行 万年青，丹邦科技是低买，其他三个都是打板。其余持仓没动。', '2018-07-24 01:37:04')
('发布了头条文章：《终于有人把“集合竞价”说清楚了，注意这几个信号，揽得无数资产》 $申万宏源sz000166$$包钢股份sh600010$#002607亚夏汽车##000636风华高科#|终于有人把...', '2018-07-24 01:23:47')
