('股市唯一不“骗人”的指标——“CCI”，句句经典，建议散户收藏 $新经典 sh603096$ $深南电A sz000037$ $步步高 sz002251$ $京威股份 sz002662$ 马旷盈的秒...', '2018-07-24 12:13:13')
('益生股份：沿着五日线飞吧，猪肉好好涨价京威股份：汽车零部件龙头、boll中轨支撑一波起飞怡球资源：继续钢铁之后第二波种子选手贵州燃气：钢铁-基建-煤炭-燃气中国医药、白云山：仿制药（20180724上海财经播报！）...展开全文c', '2018-07-24 11:19:35')
('简单总结下操作，首选三个标的未动，风华高科亏损101W，京威股份亏损25W，至纯科技亏损45W，三个标的都没有做过T。落袋仓位东方环宇昨天的仓位落袋盈利120W，并且在今天的涨停板上滞留了500W，收盘打板的仓位亏损3个点，也没几个钱。这个标的没有丝毫后悔，你们也别过分激动表达情绪，因为基本上涨停板 ...展开全文c', '2018-07-24 04:49:34')
('中科金财 雪迪龙 中泰桥梁 茂硕电源 克明面业 京威股份 股海大咖的...', '2018-07-24 04:09:04')
('我刚刚调仓了微博股票组合网页链接，以成交价4.26卖出$京威股份 sz002662$。', '2018-07-24 02:53:43')
('发布了头条文章：《京威股份+浪潮软件：庄家图谋不轨,机构22亿入驻！后势令人吃惊！》 $京威股份 sz002662$ $浪潮软件 sh600756$ #短线牛股# #股票分析# |京威股份+...', '2018-07-24 02:40:49')
('接下来今天的游戏基本上就结束了，我们只留意东方环宇是否能够换手涨停即可。至于风华高科，至纯科技，京威股份，完全不用考虑，随风去即可，定心丸一颗。收盘再看一眼就可以。顺便PS一下，长文你们想看哪个标的的，评论留言，我考虑下午出一篇，看心情，所以别惹我生气。', '2018-07-23 23:49:07')
('发布了头条文章：《京威股份002662：最新的消息已经流出，99%散户还在茫然！》$京威股份 sz002662$\ue627 微博股票股票[超话]#热门股票点评#微博股票热议榜#热门股票推荐#微博热门股票#股市~a股~大盘~股票#热门牛股票点评#热门投资一本通(股票基金外汇黄金期货投资必备手册)-盛莉[图书]# ...展开全文c', '2018-07-23 23:31:28')
('我刚刚调仓了微博股票组合网页链接，委托卖出$京威股份 sz002662$。', '2018-07-23 23:30:41')
('发布了头条文章：《新和成+京威股份：主力蓄势已久，庄家44亿造势！后势不可小觑！》 $新和成 sz002001$ $京威股份 sz002662$ $上证指数 sh000001$ #股票分析# |新和成+京...', '2018-07-23 05:07:42')
('股市唯一不会骗人的指标——“均线”，字字珠玑，建议散户收藏！ $好太太 sh603848$ $京威股份 sz002662$ $三毛B股 sh900922$ $世运电路 sh603920$ 邹亦梧看世...', '2018-07-23 02:58:21')
('七一二 止战之殇,主力阴谋被揭露后市爆发有望 $浙江东方 sh600120$ $博云新材 sz002297$ $宝新能源 sz000690$ $京威股份 sz002662$ QueenieL的...', '2018-07-23 00:04:31')
('股票一旦出现“线上阴线”试盘形态，必是大牛股，成功率百分百 $京威股份 sz002662$ $嘉寓股份 sz300117$ $科大国创 sz300520$ $*ST上普 sh600680$ 我的小蜗牛...', '2018-07-22 22:59:50')
('新经济、大并购大重组两大秦国安最看好的主题投资方向，其中的极品超跌股，你最能做的就是逢低潜伏、等待类似三维丝、京威股份、成都银行、麦迪电气式的被动大涨！', '2018-07-22 22:04:05')
('京威股份，是不是看到减持公告昨天晚上我不在的时候连今天跌停的可能都做好准备了？看见涨了是不是跟你想的完全不同，我只能说我不瞎，你也不傻。慢慢持有，慢慢玩。', '2018-07-22 22:01:11')
('发布了头条文章：《京威股份002662：主力磨刀已久整装待发，大谋划已经启动》$京威股份 sz002662$\ue627 微博股票股票[超话]#股市~a股~大盘~股票#微博股票热议榜#热门股票点评#热门股票推荐#热门牛股票点评#热门股票点评# |京威股份00...', '2018-07-22 21:59:39')
('新能源车：这个主要是断断续续的，在做天华超净后续的收尾工作，京威股份/中能电气，基本都是在周一结束尾端。\ue627 今日看盘\ue627 投资达人说#中兴通讯 sz000063[股票]##华谊兄弟 sz300027[股票]# @微博股票', '2018-07-22 09:39:40')
('发布了头条文章：《京威股份002662：庄家罕见抢筹！机构38亿造势！18年绝世大妖登场？》 $京威股份 sz002662$ #短线牛股# #热门股票推荐# |京威股份00...', '2018-07-22 05:52:30')
('发布了头条文章：《文轩论股：京威股份+兴源环境+欣锐科技，后市展望精准预测！》 $京威股份 sz002662$ $上证指数 sh000001$ #股票# #股票分析# #今日看盘# #短线牛股# |文轩论股：...', '2018-07-22 03:45:14')
('发布了头条文章：《京威股份002662：周末劲爆利好！机构满仓20亿抢筹，18年妖王确立》 $京威股份 sz002662$ $上证指数 sh000001$ #股票# #大盘# #今日看盘# |京威股份00...', '2018-07-21 22:57:32')
('发布了头条文章：《京威股份+鸿达兴业：此股释放洪荒之力,游资23亿锁仓 后期走势大揭秘》 $京威股份 sz002662$ $鸿达兴业 sz002002$ $上证指数 sh000001$ #股票分析# |京威股份+...', '2018-07-21 22:48:21')
('读懂中国股市股市这条定律，A股就是你的提款机！让你少奋斗10年 $广聚能源 sz000096$ $京威股份 sz002662$ $宝色股份 sz300402$ $北新路桥 sz002307$ 邹亦梧看世...', '2018-07-21 11:18:59')
