('发布了头条文章：《亿利达002686 ：主力暴力洗盘暗藏做多意图，此点企稳必将一飞冲天》 $亿利达 sz002686$ \ue627 微博股票微博股票热议榜\ue627 股票分析 |亿利达0026...', '2018-07-24 07:02:18')
('发布了头条文章：《瀛通通讯+亿利达：庄家操盘曝光！机构70亿锁仓，势夺18年首席黑马？》 $瀛通通讯 sz002861$ $亿利达 sz002686$ #今日看盘# #股票# |瀛通通讯+...', '2018-07-23 23:24:48')
('顶级短线老股民：分享给新手的短线快速获利实战经验，大道至简 $亿利达 sz002686$ $蓝色光标 sz300058$ $中广核技 sz000881$ $山东华鹏 sh603021$ yokki阳sup...', '2018-07-23 06:08:11')
('发布了头条文章：《后势惊人已成定局：亿利达 利亚德 恒银金融 晶瑞股份》$亿利达 sz002686$ $利亚德 sz300296$ $恒银金融 sh603106$ $晶瑞股份 sz300655$ #上证快讯# |后势惊人已...', '2018-07-23 04:57:28')
('发布了头条文章：《亿利达002686：主力磨刀已久整装待发，大谋划已经启动》$亿利达 sz002686$\ue627 微博股票股票[超话]#股市~a股~大盘~股票#微博股票热议榜#热门股票点评#热门股票推荐#热门牛股票点评#热门股票点评# |亿利达0026...', '2018-07-23 03:48:34')
('$通产丽星 sz002243$ 继续反包涨停板，周五跳水进场的朋友这波有10点入账了，这票已经有点走妖的味道了。同概念小弟亿利达/四方达可以留意，但进场要谨慎，防止龙头转换炒作方向。另外创业板今天低开走高，不过这个板块近期雷比较多，各位要注意规避。军工板块受周末混改消息刺激涨幅居前，像 ...展开全文c', '2018-07-22 22:26:57')
('最新利好消息：小商品城亨通光电 洛阳钼业太平洋 $*ST天马 sz002122$ $亿利达 sz002686$ $东宝生物 sz300239$ $华凯创意 sz300592$ 姚晓浪的秒...', '2018-07-22 14:54:30')
('发布了头条文章：《传艺科技+亿利达：游资逆天布局，庄家86亿抢筹！率先成18飙涨王？》 $传艺科技 sz002866$ $亿利达 sz002686$ #短线牛股# #热门股票推荐# |传艺科技+...', '2018-07-22 11:24:32')
('发布了头条文章：《亿利达002686：庄家巧耍阴谋，机构45亿增持！18金妖来袭？》 $亿利达 sz002686$ #股票分析# #短线牛股# |亿利达0026...', '2018-07-22 05:40:37')
('发布了头条文章：《亿利达002686 ：股价下跌暗藏破风险，下周此点能否企稳至关重要》 $亿利达 sz002686$ #微博股票热议榜#微博股票[超话]\ue627 股票分析 |亿利达0026...', '2018-07-22 02:53:04')
('发布了头条文章：《传艺科技+亿利达：此股释放洪荒之力,游资17亿锁仓 后期走势大揭秘！》 $传艺科技 sz002866$ $亿利达 sz002686$ $上证指数 sh000001$ #股票分析# |传艺科技+...', '2018-07-21 22:45:25')
('7月20日重点股发布大单流向华新水泥、浪潮信息、中科曙光、海螺水泥、工业富联、超短线科锐国际、欣天科技、京威股份、亿利达、博敏电子、华正新材、意华股份、英科医疗、三维丝、纵横通信、容大感光、镇海股份、伊戈尔、传艺科技、高风险欣锐科技、宁德时代、飞荣达、锐科激光、集泰股份、东宏 ...展开全文c', '2018-07-21 03:39:14')
('发布了头条文章：《亿利达002686：游资却重仓跟进！后期走势被严重低估？》 $亿利达 sz002686$ $上证指数 sh000001$ #股票分析# |亿利达0026...', '2018-07-20 09:32:16')
('上海一女博士豪言“CCI”顺口溜，庄家听后跪求删帖，建议珍藏 $亿利达 sz002686$ $*ST东凌 sz000893$ $神州高铁 sz000008$ $华脉科技 sh603042$ 我的小蜗牛...', '2018-07-20 05:44:25')
('发布了头条文章：《英科医疗+亿利达：游资助力,游资9亿建仓！年度金妖领涨模式？》 $英科医疗 sz300677$ $亿利达 sz002686$ $上证指数 sh000001$ #股票分析# |英科医疗+...', '2018-07-20 05:26:05')
('发布了头条文章：《皓轩论股：恒星科技+南京熊猫+信息发展+亿利达》 $恒星科技 sz002132$ #股票# #股票分析# #上证指数# |皓轩论股：...', '2018-07-20 04:24:46')
('发布了头条文章：《亿利达002686 ：主力暴力洗盘或是上车良机？下周此点将至关重要》$亿利达 sz002686$#微博股票热议榜#微博股票热议榜\ue627 股票分析 |亿利达0026...', '2018-07-20 03:11:17')
('天华板了，算是捡到了，娱乐仓也是肉呀，算是抵消了亿利达的亏损。', '2018-07-19 22:42:47')
('今日重点关注：002847盐津铺子。002686亿利达今日可择机买入。', '2018-07-19 21:30:22')
('今日牛股——亿利达（002686）1该股为富勒烯概念，目前看通产丽星走势已经超预期，昨天这么差的盘面都能如此强势，那么不排除今天还会继续向上攻击，到时候就有可能带动同类标的联动走强2基本面分析：近日，由内蒙古碳谷科技有限公司创建的国内首条吨级富勒烯生产线正式投产。据了解，富勒烯是19 ...展开全文c', '2018-07-19 16:00:03')
('今天通产丽星这走势超预期了，跟风的可以看看亿利达，豫金刚石，今天这么差的盘面都没死，那么理论上明天死掉的概率也很小，当然就要看通产丽星如果明天还能继续新高那么就安全，所以今天尾盘想入场的激进者可以轻仓试水，一旦明天不如预期就要抽身而退；还有一个就是赫美集团代表的妖股也是超预期的， ...展开全文c', '2018-07-19 12:28:35')
