('目前来说，会员布局抄底成功002366台海核电涨7.37%。000413东旭光电+300534陇神戎发+002154报喜鸟 都在盈利，其他都在保本。配资刚好适合操作短线，加油，股市没毛病，抄底。', '2018-07-16 03:02:44')
('#上市公司那点事儿# 【台海核电涉嫌伪造12.56亿元关联交易虚增业绩】台海核电2014年借壳丹甫股份时，台海核电大股东烟台市台海集团有限公司曾做出2015~2017年三年内实现净利润13.89亿元的业绩承诺。新浪财经发现就在台海核电业绩承诺的最后一年，公司和台海集团之间一笔12.56亿元的关联交易存在诸 ...展开全文c', '2018-05-28 00:04:23')
('核电板块强势启动，中核科技、台海核电封板，但券商+次新组合砸盘，加剧市场悲观情绪，创业板小破5日均线，不过随盘的被动回落，差价机会还是不少的，抓住主流低吸高抛。#短线牛股#', '2018-07-03 22:35:32')
('#大盘直击#【开盘：股指大幅低开沪指跌1.26% 板块个股表现低迷】截止今日开盘，沪指报3081.14点，跌1.26%；创指报1744.24点，跌1.66%。台海核电今日早间公告称公司大股东拟增持逾2亿元，再跌8.18%。药明康德止步16个涨停，开盘涨3.99%。|开盘：股指...', '2018-05-29 21:29:59')
('盲目没有方向吗？指导后市如何操作，投资股票可以加wei信：371540346，指导买卖点和解套方法！同德化工(sz002360) 华泰证券(sh601688) 隆基机械(sz002363) 中恒电气(sz002364) 永安药业(sz002365) 台海核电(sz002366)', '2018-07-24 07:06:24')
('股市唯一不败的黄金组合：MACD+CCI+KDJ，看懂了，你就是股市高手 $吉宏股份 sz002803$ $天鹅股份 sh603029$ $松发股份 sh603268$ $台海核电 sz002366$ 邹亦梧看世...', '2018-07-24 05:13:01')
('美丽中国罕见龙头，大资金开始筑底，想不涨都难！ #台海核电 sz002366[股票]# #士兰微 sh600460[股票]# 小雅分析的...', '2018-07-24 04:55:31')
('永安药业 台海核电 康力电梯 太极股份 卓翼科技 亚太药业 股海大咖的...', '2018-07-24 03:23:00')
('分享一次我的自选股，坚瑞沃能，神火股份，浙江交科，星期六，台海核电，神物节能，神物环保，蒙草生态，千山药机，通威股份，南风股份，山鼎设计，腾达建设', '2018-07-24 02:02:27')
('我刚刚调仓了微博股票组合网页链接，以成交价15.19卖出$台海核电 sz002366$。', '2018-07-23 23:15:01')
('节能环保全面失控了，迷离设下惊天骗局收割韭：台海核电 浙江富润 #市北高新 sh600604[股票]# #北京君正 sz300223[股票]# 小雅分析的...', '2018-07-23 23:03:11')
('教主手中持有的票都是最近操作的老票，现在就603477振静股份+603080新疆火炬是亏损。其它002925盈趣科技+603101汇嘉时代+002366台海核电都是盈利中，这是抄底票。还好是配资买的，不然也没有那么多盈利，加油冲涨停吧。', '2018-07-23 22:57:20')
('老鸭头选股法是股市唯一255%获利法，一旦学会，股市就是提款机 $索通发展 sh603612$ $冠福股份 sz002102$ $闽东电力 sz000993$ $台海核电 sz002366$ L-花花-V幸...', '2018-07-23 11:24:55')
('发布了头条文章：《冠昊生物+台海核电：主力磨刀霍霍，机构38亿加持！黑马崭露头角？》 $冠昊生物 sz300238$ $台海核电 sz002366$ #短线牛股# #股票分析# |冠昊生物+...', '2018-07-23 10:50:03')
('台海核电 康力电梯 太极股份 卓翼科技 亚太药业 北方华创 股海大咖的...', '2018-07-23 09:58:14')
('A股要变天了！本周变盘即将来袭：上峰水泥 方大碳素 冀东装备 #台海核电 sz002366[股票]# #士兰微 sh600460[股票]# 小雅分析的...', '2018-07-23 08:47:30')
('发布了头条文章：《台海核电+中国国旅：再释重磅利好！机构70亿增持，冲刺18年最强新妖》 $台海核电 sz002366$ $中国国旅 sh601888$ $上证指数 sh000001$ #股票分析# |台海核电+...', '2018-07-23 05:34:58')
('$台海核电 sz002366$ $彩讯股份 sz300634$ 谁还在台海核电，彩讯股份里面，评论在下面看看#a股~股市~股票~大盘~指数# #股票分析# #个股解析#', '2018-07-23 03:59:55')
('发布了头条文章：《台海核电+步长制药：7月妖王再袭！机构60亿锁仓，冲击18年飙涨王？》 $台海核电 sz002366$ $步长制药 sh603858$ #今日看盘# |台海核电+...', '2018-07-23 02:22:26')
('美盛文化(002699)：拟4亿元参与设立康元人寿苏宁易购(002024)：子公司拟不超2.1亿美元参投云锋基金III温氏股份(300498)：子公司发起设立农业基金 预计总规模不超过10亿元台海核电(002366)：中广核“华龙一号”示范项目主管道成功发运航新科技(300424)：控股股东方面拟转让5%股份 引入战略投资者锦 ...展开全文c', '2018-07-22 21:29:22')
('限售解禁：600114 东睦股份002327 富安娜000430 张家界600965 福成股份002366 台海核电300377 赢时胜 300056 三维丝 000606 顺利办 00423 鲁亿通 300082 奥克股份300241 瑞丰光电00537 广信材料 迪马股份 002398 建研集团002170 芭田股份002769 普路通603025 大豪科技000925 众合科技002201 九鼎新材 ...展开全文c', '2018-07-22 21:05:29')
('限售股解禁：$福成股份 sh600965$ 、$张家界 sz000430$ 、$迪马股份 sh600565$ 、东睦股份、众合科技、福瑞股份、大豪科技、至纯科技、卫信康、鸿达兴业、芭田股份、九鼎新材、三维丝、奥克股份、汉得信息、台海核电、赣锋锂业、富安娜、建研集团、瑞丰光电、中颖电子、赢时胜、广信材料、普路通、惠威 ...展开全文c', '2018-07-22 20:59:26')
('A股27年一直赚钱的方法——“尾盘买入”牢记6句，可实现百亿梦想 $台海核电 sz002366$ $步长制药 sh603858$ $银龙股份 sh603969$ $南方轴承 sz002553$ 马旷盈的秒...', '2018-07-22 11:13:49')
('中国股市闹剧即将结束了，背后隐情令人震惊！主力566亿暗度介入：台海核电 浙江富润#东方航空 sh600115[股票]# #天马精化 sz002453[股票]# 小雅分析的...', '2018-07-22 11:11:03')
('#上证指数 sh000001[股票]##创业板指 sz399006[股票]#\ue627 财经头条文章#微博时评团#\ue627 原创首发\ue627 今日看盘\ue627 股评师问答\ue627 投资达人说综合解禁市值，解禁比例，解禁类型可以看出洛阳钼业、台海核电、航天发展、英科医疗、三花智控、福成股份、国睿科技、江苏国信、赣锋锂 ...展开全文c', '2018-07-22 00:27:53')
('38岁股市奇才曝：掌握“股市十口诀”, 实现千万梦想，建议收藏 $台海核电 sz002366$ $赛轮金宇 sh601058$ $宇环数控 sz002903$ $士兰微 sh600460$ 姚晓浪的秒...', '2018-07-21 13:07:26')
('台海核电：中广核“华龙一号”示范项目主管道成功发运-股票频道-金融界 |台海核电：...', '2018-07-20 08:31:57')
('发布了头条文章：《002366台海核电: 利好消息流出,新行情一触即发》 $台海核电 sz002366$ \ue627 实时股票分析 #股票财经热点解析# \ue627 短线牛股 |002366台海...', '2018-07-20 05:55:51')
('#(002366)台海核电# 这个股目前整体比较慢，下方支撑在13.89，再等等看，抄底以二次探底形态股票为主，', '2018-07-19 22:14:38')
('#中恒电气 sz002364[股票]# #永安药业 sz002365[股票]# #台海核电 sz002366[股票]# #康力电梯 sz002367[股票]# 最“黑”股票，一周下跌78％，160 万股民被血洗，再来3个跌停孙宏斌也完 了 上官诚论股...', '2018-07-19 01:14:48')
('网页链接暴跌不止的台海核电，喊冤你信吗？', '2018-07-18 23:02:55')
('最新利好消息：台海核电 太阳电缆 银信科技 隆平高科 $志邦股份 sh603801$ $烽火电子 sz000561$ $*ST上普 sh600680$ $佛燃股份 sz002911$ 姚晓浪的秒...', '2018-07-17 18:40:36')
('发布了头条文章：《文轩论股：爱尔眼科+乐普医疗+洋河股份+台海核电》$爱尔眼科 sz300015$ $上证指数 sh000001$ #股票分析# #股票# #今日看盘# |文轩论股：...', '2018-07-16 10:21:22')
('发布了头条文章：《本周A股走势分析：台海核电+宝信软件+北方国际》 $台海核电 sz002366$ $宝信软件 sh600845$ $北方国际 sz000065$ #股票分析# |本周A股走...', '2018-07-16 03:22:15')
('重大利好消息:易尚展示 台海核电 东方财富 拓邦股份 $安通控股 sh600179$ $黄山胶囊 sz002817$ $荣之联 sz002642$ $通宇通讯 sz002792$ 姚晓浪的秒...', '2018-07-16 01:54:36')
('具体来看，截至目前，*ST成城(5.41倍)、露天煤业(7.27倍)、中交地产(7.42倍)和新野纺织(9.42倍)等4只个股最新动态市盈率均低于10倍，此外，估值低于15.71倍的个股还包括：帝龙文化、天广中茂、阳光电源、台海核电、神州数码、东华能源、华孚时尚、晨鑫科技、岳阳林纸、中金环境、凌霄泵业、司尔特等12 ...展开全文c', '2018-07-15 21:24:43')
