('|前一波手稿... #牛股推荐#\ue627 收盘说说 $合纵科技 sz300477$ $星云股份 sz300648$', '2018-07-15 09:23:03')
('涨价天团真他妈得凶阿！！！卧槽$风华高科 sz000636$ $神马股份 sh600810$ $新安股份 sh600596$ $寒锐钴业 sz300618$ $华友钴业 sh603799$ $合纵科技 sz300477$', '2018-07-13 01:18:13')
('$三超新材 sz300554$ $合纵科技 sz300477$ 抄底节奏 底部支撑反弹，浪里个浪。$湖南盐业 sh600929$ 属支撑位反弹，次新股活跃股。目前这种反弹适合配资操作，才能更好的弥补之前的亏损。', '2018-07-10 04:23:39')
('国家队释放“养老金”入市时间，1800亿资金明确进入房地产板块：万科A 保利地产 $福建水泥 sh600802$ $德艺文创 sz300640$ $合纵科技 sz300477$ $文灿股份 sh603348$ 蒋涛分析的...', '2018-07-24 10:04:49')
('中电电机 艾华集团 麦迪科技 至正股份 ！#合纵科技 sz300477[股票]# #航新科技 sz300424[股票]# #汇川技术 sz300124[股票]# 许楚沛分析...', '2018-07-24 08:29:25')
('发布了头条文章：《盈方微+合纵科技：严重低估了！机构48亿强行锁仓定成18年首席大妖？》 $盈方微 sz000670$ $合纵科技 sz300477$ #今日看盘# #股票# |盈方微+合...', '2018-07-24 03:57:24')
('星期二： $迎驾贡酒 sh603198$ （控到中仓，明天红盘再控） 合纵科技（超短，明天只能涨不可以跌，否则割）', '2018-07-23 03:40:03')
('星期一：迎驾贡酒（中线，低吸至重仓）', '2018-07-24 03:07:48')
('发布了头条文章：《欧菲科技+合纵科技：庄家图谋不轨,机构15亿入驻！后势令人吃惊！》 $欧菲科技 sz002456$ $合纵科技 sz300477$ #短线牛股# #股票分析# |欧菲科技+...', '2018-07-24 02:31:28')
('发布了头条文章：《合纵科技(300477)：机械概念股，利好消息突袭，暴涨就在本周！》 #合纵科技 sz300477[股票]#$合纵科技 sz300477$ |合纵科技(3...', '2018-07-24 02:28:49')
('我刚刚调仓了微博股票组合网页链接，以成交价13.65卖出$合纵科技 sz300477$。', '2018-07-24 01:56:14')
('#合纵科技 sz300477[股票]# 目前出现了阶段性的回踩，由于前面的反弹比较大了，这个位置建议还是谨慎点为好，避免严重被套之后很被动！', '2018-07-23 23:56:13')
('今日大盘翻红，早盘一路狂飙上涨进45个点。连带近日受疫苗长生生物影响的医药股也都迅速走红。但还有几只票的走势不太尽人意。早盘已收市，下午帮大家看看风华高科，智飞生物，合纵科技，天华超净这四只票，持有的朋友可以留言。有其他股票疑问的也可以带代码私我$风华高科 sz000636$ ...展开全文c', '2018-07-23 23:40:21')
('发布了头条文章：《合纵科技300477 ：主力暴力洗盘予以何为，股民：此点将是调整极限》 $合纵科技 sz300477$ #微博股票热议榜#微博股票[超话]#捷捷微电 sz300623[股票]# |合纵科技30...', '2018-07-23 23:39:29')
('这个市场无论看多还是看空，最终都要落实到自己的账户。来吧，解票时间。天华超净，合纵科技，东方银星，江泉实业，拿不稳的下方评论留言，在线免费解答。$天华超净 sz300390$ $合纵科技 sz300477$$东方银星 sh600753$ $江泉实业 sh600212$#个股解析# #航海鸿阳#', '2018-07-23 23:26:53')
('发布了头条文章：《容大感光+合纵科技：庄家再生祸端！机构50亿锁仓，势夺18年首席黑马》 $容大感光 sz300576$ $合纵科技 sz300477$ #今日看盘# #股票# |容大感光+...', '2018-07-23 23:20:38')
('华星创业 红日药业 华谊兄弟 金亚科技!#合纵科技 sz300477[股票]# #航新科技 sz300424[股票]# #汇川技术 sz300124[股票]# 许楚沛分析...', '2018-07-23 23:13:06')
('合纵科技开始建仓，就不信涨不停 |临沂·九曲...', '2018-07-23 21:46:46')
('关注股池新股：宁德时代、锐科激光、江苏新能、东方环宇业绩：风华高科，神马股份、生益科技、扬帆新材锂电：寒锐钴业、合纵科技、斯太尔科技：至纯科技、丹邦科技、实达集团、超图软件新材料：通产丽星金融：恒盈金融、成都银行、古鳌科技 ...展开全文c', '2018-07-23 11:58:46')
('片仔癀 通威股份 瑞贝卡 国机通用！#合纵科技 sz300477[股票]# #航新科技 sz300424[股票]# #汇川技术 sz300124[股票]# 许楚沛分析...', '2018-07-23 08:58:10')
('发布了头条文章：《后势惊人已成定局：天坛生物 福耀玻璃 合纵科技 深信服》$天坛生物 sh600161$ $福耀玻璃 sh600660$ $合纵科技 sz300477$ $深信服 sz300454$ #上证快讯# |后势惊人已...', '2018-07-23 03:22:02')
('发布了头条文章：《合纵科技300477 ：股价喋喋不休暗藏破风险，此点做好万全准备》 $合纵科技 sz300477$ \ue627 微博股票微博股票热议榜\ue627 股票分析 |合纵科技30...', '2018-07-23 03:00:01')
('82岁老股民留给孙子：1个指标CCI+2根均线，股市就提款机 $XD中青旅 sh600138$ $深科技 sz000021$ $合纵科技 sz300477$ $生益科技 sh600183$ 论A股堂的...', '2018-07-22 12:00:05')
('发布了头条文章：《合纵科技300477：7月利多来临！主力21亿强势布局！此股18年势必成妖》$合纵科技 sz300477$ $上证指数 sh000001$ #股票# #大盘# #今日看盘# |合纵科技30...', '2018-07-22 10:45:32')
