('\ue627 上证指数 早盘买入天成控股，收获涨停！等待医疗板块的机会！', '2018-07-23 11:18:26')
('【天成控股】600112 股票的危险期和安全期。8.72元的股票。跌到了最低2.91。那么危险期就是日线顶部，也就是8.72.安全期就是日线底部2.91.', '2018-07-23 11:15:09')
('发布了头条文章：《最新主力阴谋揭露：凯瑞德+天成控股+华闻传媒》 $凯瑞德 sz002072$天成控股 sh600112$华闻传媒 sz000793$ # A股#股票[超话]# |最新主力阴...', '2018-07-23 10:26:37')
('$天成控股 sh600112$旗下100%控股平台有理树，欠投资人资金逾期不还，还将工商信息私自变更，空壳上市', '2018-07-23 09:45:13')
('@证监会发布 @杭州金融办 @杭州派出所 举报广西银河集团（上市公司银河生物[000806]和天成控股[600112]母公司）全资子公司杭州中佰金融信息服务有限公司旗下P2P平台——有理树金服（APP）金融诈骗。银保监会有明确规定，非金融机构不得非法集资，不得从事金融业务。有理树金服，用假标欺骗公众资金， ...展开全文c', '2018-07-23 08:45:23')
('发布了头条文章：《天成控股600112：不要掉以轻心, 后期操作策略!》#财经头条文章# #股票分析# $天成控股 sh600112$ 天成控股600112：不要掉以轻心, 后期操作策略! |天成控股60...', '2018-07-23 07:42:31')
('$天成控股 sh600112$广西银河集团旗下上市公司银河生物000806和天成控股600112全资子公司杭州中佰金融信息服务有限公司旗下P2P平台有理树金服涉及假标自融，集资诈骗。老板跑路，集团不作为，失联。都是老百姓自己的血汗钱。', '2018-07-23 07:19:28')
('电气设备概念股天成控股直线拉升冲涨停', '2018-07-23 01:54:57')
('操盘手交易员自述：这辈子炒股只需要做精一只股，赢得盆满钵满 $红宝丽 sz002165$ $中大力德 sz002896$ $天成控股 sh600112$ $三峡水利 sh600116$ 邹亦梧看世...', '2018-07-20 16:45:25')
('“周线选股”是股市唯一可以150%获利法，句句经典，值得散户珍藏 $四创电子 sh600990$ $天成控股 sh600112$ $中新赛克 sz002912$ $金安国纪 sz002636$ 欧欧欧哈的...', '2018-07-19 23:29:07')
('盲目没有方向吗？指导后市如何操作，投资股票可以加wei信：371540346，指导买卖点和解套方法！国金证券(sh600109) 诺德股份(sh600110) 北方稀土(sh600111) 天成控股(sh600112) 浙江东日(sh600113) 东方航空(sh600115)', '2018-07-17 13:16:09')
