('发布了头条文章：《天邦股份+龙元建设：庄家建仓完毕！机构36亿锁仓，必夺18年首席黑马》 $天邦股份 sz002124$ $龙元建设 sh600491$ #今日看盘# #股票# |天邦股份+...', '2018-07-23 10:56:45')
('盲目没有方向吗？指导后市如何操作，投资股票可以加wei信：371540346，指导买卖点和解套方法！腾达建设(sh600512) 栖霞建设(sh600533) 天邦股份(sz002124) 皖江物流(sh600575) 山煤国际(sh600546) 金陵饭店(sh601007)', '2018-07-23 01:18:56')
('股市唯一不欺骗人的“集合竞价”顺口溜，新手熟记：可实现百亿梦 $博闻科技 sh600883$ $联诚精密 sz002921$ $天邦股份 sz002124$ $川恒股份 sz002895$ 邹亦梧看世...', '2018-07-22 13:58:19')
('29岁女博士直言：所有股票尾盘拉升 都是庄家游资在做短线差价 $金盾股份 sz300411$ $天邦股份 sz002124$ $元力股份 sz300174$ $华钰矿业 sh601020$ 爛Gag澔革...', '2018-07-22 02:27:50')
('资深牛散从万卷股票书中总结的波段操作技巧，深知股市涨跌 $厦门钨业 sh600549$ $海辰药业 sz300584$ $古越龙山 sh600059$ $天邦股份 sz002124$ 我的小蜗牛...', '2018-07-20 22:54:51')
('股市唯一不骗人的指标——“换手率”，字字珠玑，建议散户收藏！ $漳泽电力 sz000767$ $亚威股份 sz002559$ $湘邮科技 sh600476$ $天邦股份 sz002124$ 欧欧欧哈的...', '2018-07-19 23:36:58')
('【天邦股份打造猪肉全产业链 上半年养殖全成本下降11%】天邦股份上市已有10年。近年来，公司致力于打造和完善从育种、饲料、疫苗、养殖、屠宰到深加工的生鲜肉及肉制品产业链。今年上半年，公司商品猪销售收入12.01亿元，同比增加60.05%，销售均价为11.34元/公斤，同比下降19.60%。网页链接', '2018-07-19 09:00:03')
('7月18日共有37只个股现身大宗交易平台，累计成交量1.12亿股，累计成交额8.12亿元。其中15只个股交易额超千万元。浙大网新交易额最高，大宗交易共4笔，成交额1.09亿元；其次是长江证券，大宗交易共1笔，成交额0.95亿元。东百集团、天邦股份、安车检测、华铁股份、齐心集团等个股大宗交易额均超过500 ...展开全文c', '2018-07-18 21:03:47')
('上海17岁股坛奇才自暴：股市唯一“真”指标，从未亏过，简单易懂 $金螳螂 sz002081$ $吉艾科技 sz300309$ $天邦股份 sz002124$ $金麒麟 sh603586$ yokki阳sup...', '2018-07-18 07:26:28')
('发布了头条文章：《金氪丨A股大宗交易日报7.18前三甲：天邦股份/安车检测/兰州黄河》 数据统计，截至2018年7月18日18点，沪深两市当天共22家上市公司发生大宗交易，累计成交额5.04亿。其中成交额千万元以上的公司9家。 |金氪丨A股...', '2018-07-18 06:52:17')
('年利润暴增602倍,军工船舶第一龙头63跌至8元,有望乌鸡变凤凰 $XD长江通 sh600345$ $永泰能源 sh600157$ $天邦股份 sz002124$ $安洁科技 sz002635$ 姚晓浪的秒...', '2018-07-17 09:47:04')
('#天邦股份 sz002124[股票]# 这个票到目前为止都还没有出现很明显的止跌信号，这是典型的弱势走势，目前根本没有资金的关注，所以不要随便的进，避免被套', '2018-07-16 23:48:41')
('机械第一股35跌至2元,遭大股东增持755万股,18年暴涨封妖已成定局 $厦工股份 sh600815$ $建新矿业 sz000688$ $铁汉生态 sz300197$ $天邦股份 sz002124$ 姚晓浪的秒...', '2018-07-16 23:02:08')
('我刚刚调仓了微博股票组合网页链接，委托买入$天邦股份 sz002124$。', '2018-07-16 09:17:53')
('昨天带朋友去吃宵夜，店名叫“邦邦烤肉”，于是就想到前期看了多篇猪肉研报，仙坛爆的时候第一时间搞成猪肉了~后来发现是鸡肉~打开软件喵了一下，发现正邦科技和天邦股份。我曰，这么巧？天邦股份1月底还做了个备注，说是目标价很高~哈哈~等下模拟开个邦邦组合去~', '2018-07-16 09:15:16')
('就在刚刚10:43分，三天大消息降临中字头：中国联通 中国移动 $天邦股份 sz002124$ $海波重科 sz300517$ $瀛通通讯 sz002861$ $中国核电 sh601985$ 姚晓浪的秒...', '2018-07-14 23:42:18')
('20岁股市奇才豪言：盘口选股是100％盈利方法，5分钟获28次掌声 $江河集团 sh601886$ $天邦股份 sz002124$ $广东榕泰 sh600589$ $鲁银投资 sh600784$ 我的小蜗牛...', '2018-07-14 23:21:18')
('“阴线买入”才是股市唯一600%获利技巧，一旦学会，股市成提款机 $华控赛格 sz000068$ $盛通股份 sz002599$ $新奥股份 sh600803$ $天邦股份 sz002124$ 欧欧欧哈的...', '2018-07-14 09:53:57')
