('19岁股市奇才豪言曝光：MACD指标100%盈利方法，4分钟获28次掌声 $东山精密 sz002384$ $璞泰来 sh603659$ $罗平锌电 sz002114$ $太极股份 sz002368$ 论A股堂的...', '2018-07-24 10:58:37')
('盲目没有方向吗？指导后市如何操作，投资股票可以加wei信：371540346，指导买卖点和解套方法！康力电梯(sz002367) 太极股份(sz002368) 卓翼科技(sz002369) 亚太药业(sz002370) 北方华创(sz002371) 伟星新材(sz002372)', '2018-07-24 07:11:42')
('发布了头条文章：《太极股份002368：主力蓄势待发，后势要暴涨连连》#财经头条文章# #上证指数 sh000001[股票]# #(002368)太极股份# |太极股份00...', '2018-07-24 07:11:03')
('永安药业 台海核电 康力电梯 太极股份 卓翼科技 亚太药业 股海大咖的...', '2018-07-24 03:23:00')
('科沃斯出了，不想做了。南京今天11.15加仓了1成，已出，还剩1成仓。新开仓了一个太极股份1成仓 31.9的本。', '2018-07-23 22:37:38')
('非常看好几个票：太极股份，阳谷华泰，超图软件，台基股份，当升科技，新宙邦。 |上海·上海...', '2018-07-23 10:51:31')
('台海核电 康力电梯 太极股份 卓翼科技 亚太药业 北方华创 股海大咖的...', '2018-07-23 09:58:14')
('通过上市公司一季报发现，有14只个股的股东名单中出现基本养老金的“身影”。这14只个股主要分布在电子元件、医疗服务、汽车零部件等行业。其中，新进个股有歌华有线、法拉电子、轻纺城、世荣兆业、太极股份、永创智能、金域医学等7只；增持的个股有大亚圣象、百联股份、百联B股、银轮股份、艾华 ...展开全文c', '2018-07-23 09:52:36')
('发布了头条文章：《田月论股：西藏珠峰 太极股份 中南建设 三联虹普》$西藏珠峰 sh600338$ $太极股份 sz002368$ $中南建设 sz000961$ $三联虹普 sz300384$ #微博股票# |田月论股：...', '2018-07-23 06:27:47')
('医药股开盘跌停不少，今天软件科技股我认为还会创新高，太极股份开盘就新高，非常漂亮！躺好了！#a股~股市~股票~大盘~指数#', '2018-07-22 21:41:48')
('我刚刚调仓了微博股票组合网页链接，以成交价32.25买入$太极股份 sz002368$。', '2018-07-22 21:32:49')
('发布了头条文章：《太极股份 中金黄金 驰宏锌锗：挣脱束缚带小散一起飞？》 $上证指数 sh000001$ $太极股份 sz002368$ $中金黄金 sh600489$ $驰宏锌锗 sh600497$ |太极股份 ...', '2018-07-22 07:14:35')
('柳钢股份（主升）、麦格米特（安全期）、迪欧家具（安全期反弹）、恒华科技（安全期）、华测检测（跟踪）、太极股份（跟踪）、杨捷科技（关注）、比音勒芬（跟踪庄股）、健康元（挖坑结束）、宝信软件（安全期）、用友网络（安全期）、视源股份（跟踪）、华新水泥（主升浪）、艾迪精密（慢牛好票）、中 ...展开全文c', '2018-07-22 06:38:57')
('康力电梯 太极股份 卓翼科技 亚太药业！ #华中数控 sz300161[股票]# #通裕重工 sz300185[股票]# #信息发展 sz300469[股票]# 许楚沛分析...', '2018-07-22 05:39:59')
('北京67岁老教授自暴：“内盘外盘”顺口溜，字字抖金，值得散户收藏。$三钢闽光 sz002110$ $太极股份 sz002368$ $湘邮科技 sh600476$ 晓枫投顾的...', '2018-07-22 02:38:19')
('发布了头条文章：《遭各机构疯狂增持：阳光电源 三钢闽光 太极股份 湘邮科技》 $阳光电源 sz300274$ $三钢闽光 sz002110$ $太极股份 sz002368$ $湘邮科技 sh600476$ #个股专业点评# \ue627 微博股票 \ue627 股票分析 #财经头条文章# \ue627 头条文章 |遭各机构疯...', '2018-07-22 01:47:45')
('我们从创业板一哥二哥的走势来看，宁德时代一个波段，30+的走势吧？创蓝筹赢时胜，东方财富等创业板1506以后也是一个波段吧？创业板最具有代表性的板块软件股，一轮趋势行情吧？太极股份，浪潮信息，浪潮软件，宝信软件，超图软件等今天都是新高的，说明什么？市场没有持续性？没有热点？真不知道说什 ...展开全文c', '2018-07-20 02:15:46')
('看看软件板块我们锁定了超图软件，那么我们再点名几个 浪潮软件、太极股份、东华软件形态和位置都很不错', '2018-07-19 22:42:35')
('大盘反弹到位，是继续突破还是掉头盘整，这里都是需要警惕的时候，无论是上证指数还是创业板都是通道上轨了. |北京·双井', '2018-07-20 01:05:47')
('实时盯盘－－国产软件板块集体冲高，龙头二三四五大涨7%，超图软件涨6%，石基信息、卫宁健康、太极股份、浪潮信息纷纷跟涨。', '2018-07-19 22:47:55')
('刚刚提示的$超图软件 sz300036$ 封板，带动软件类个股继续向上，海得控制，中国软件、太极股份这些家伙紧随其后。恭喜跟进的老铁。', '2018-07-19 22:44:17')
('软件股的趋势可不是一般的好，创业板1506以来，到现在持续向上，一个月了,这叫没持续性?看看太极股份，石基信息，超图软件这些软件股在干嘛？我的侠哥哟@天津股侠', '2018-07-19 22:32:10')
('超图软件、佳发教育、石基信息、太极股份等软件股开始小幅拉升', '2018-07-19 22:27:43')
('002368太极股份，不玩了，卖了，我胆小31.48', '2018-07-19 22:23:30')
('晚间消息流出：长江投资 新易盛 中核钛白 徐工机械 $秦川机床 sz000837$ $*ST双环 sz000707$ $太极股份 sz002368$ $天宸股份 sh600620$ 姚晓浪的秒...', '2018-07-19 21:40:14')
('看好服务器、芯片、存储、数据库等关键基础设施的国产化替代，以及云计算、工业互联网等领域弯道超车的机会。重点推荐浪潮信息（国产服务器龙头）、中科曙光（海光芯片）、太极股份（CETC自主可控核心企业）、中国长城（自主可控整机、飞腾芯片）、用友网络（云计算和工业互联网龙头）、东方国信（工业 ...展开全文c', '2018-07-19 03:23:04')
('#太极股份 sz002368[股票]# #卓翼科技 sz002369[股票]# #亚太药业 sz002370[股票]# #北方华创 sz002371[股票]# 雄安新区还是出大事了，高层紧急宣布110年红色文件：国统股份 杭萧钢构 新兴铸管 上官诚论股...', '2018-07-19 01:15:30')
('自主可控：中科曙光（超算、芯片、智能云）  中国长城（电脑整机、飞腾芯片）中国软件（操作系统、数据库）  太极股份（电子政务、数据库、中间件）浪潮信息（服务器龙头）', '2018-07-18 02:40:05')
('一直在说的看好国产替代、自主可控，其实包含的领域是很多的。比如芯片半导体、电子、高端制造、创新药等，都有优质的标的。今天要说的是计算机板块中的自主可控，这个板块不论是估值 点位 还是在科技创新里的地位（数字中国），都具有较大的吸引力，并且明天马上就要开一个相关的会议：“2018自主 ...展开全文c', '2018-07-18 23:16:02')
('发布了头条文章：《太极股份002368:最新主力动向曝光，近期走势明显?》 $太极股份 sz002368$ \ue627 财经头条文章 \ue627 股票分析 \ue627 头条文章 |太极股份00...', '2018-07-18 20:52:03')
('史上最全“选股顺口溜”，再忙也要花上5分钟背熟，堪称价值连城 $第一创业 sz002797$ $太极股份 sz002368$ $ST坊展 sh600149$ $沃施股份 sz300483$ 3305079245...', '2018-07-18 14:29:32')
('【7月19日三大报内参（早知道）】1、2018年或将是我国自主创新的历史新起点。在当前形势下，科技立国不会动摇，后续资源配置力度有望继续加大。相关个股：太极股份、兆易创新、上海新阳、江化微。2、据媒体... (分享自 @爱股票) 网页链接', '2018-07-18 12:16:30')
('发布了头条文章：《太极股份002368 ：新一轮回调趋势震撼来袭，股民：及时减仓才是王道》 |太极股份00...', '2018-07-18 10:27:43')
('发布了头条文章：《太极股份002368 ：新一轮回调趋势震撼来袭，股民：及时减仓才是王道》 $太极股份 sz002368$ #太极股份 sz002368[股票]#热门股票点评#微博股票热议榜#股票分析[超话]\ue627 微博股票 |太极股份00...', '2018-07-18 10:27:27')
('收盘，-4.27%。持仓：深信服、泰格医药、北方华创、正海生物、太极股份、大烨智能、锐科激光、华兰生物、长川科技、圣邦股份。尾盘主动减仓了，这行情就怕是阴跌着阴跌着就加速了，尤其是这所谓的反弹，成交量一天不如一天，所谓的超跌反弹，人气一个不如一个。而新高的那批也基本都新高了，没有什么空 ...展开全文c', '2018-07-18 03:08:58')
('个股解析，是否持有下面的票，几支票做分析，持有的私信留言，加成本发我长生生物华大基因星云股份宏川智慧太极股份 ...展开全文c', '2018-07-17 21:22:35')
('中国云计算大会将举行，行业有望保持高增长，云计算概念股：长亮科技（300348）、广联达（002410）、浪潮信息（000977）、太极股份（002368）仅供参考 近期你看好哪些股票呢？', '2018-07-17 21:18:23')
('中国云计算大会将举行，行业有望保持高增长，云计算概念股：长亮科技（300348）、广联达（002410）、浪潮信息（000977）、太极股份（002368）等网页链接', '2018-07-17 21:02:42')
('【20180717】夜报和微博中提示的信息发展，兆日科技，石基信息，太极股份，长江通信等科技股，以及像台基股份，中科曙光等具备双底形态的科技股，近期都有不错的表现。随着科技股一只只地被拉升，往后的参与成本会越来越高。我最近一直是满仓持股状态。除了昨天调仓进了一部分风华高科，其他仓位一直 ...展开全文c', '2018-07-17 03:20:44')
('今天居然没发微博？额，错过了最佳的反弹观点！晚上看电视吧！今天这样的反弹不意外！意料之中$上证指数 sh000001$ 前期短看空，但是跌下来了还是要搞搞多的，几个关注的龙头用友网络，太极股份，石基信息，当升科技', '2018-07-17 03:19:02')
('云计算概念板块逆市大涨，板块内神州数码、创意信息涨停。此外，中国软件、太极股份、中国长城等个股涨幅也较为明显。事实上，自6月底以来云计算概念股就持续活跃，成为近期市场的赚钱主线之一。分析指出，从长远看，我国云计算占企业IT预算不到10%，云市场尚处于扩展阶段，未来成长空间巨大。就 ...展开全文c', '2018-07-17 02:33:41')
('早间看盘；近期市场走出了两条比较重要的线路,6.22日创业板短期见底反弹至今，中小创当中软件股，芯片5g中最强,暂且不看中国软件60%的涨幅，就拿浪潮软件，太极股份，紫光国微，这些个股来讲，明显跑赢了市场中大多数个股，我也是因为这一次的软件走势而获利，短期看，昨天中国软件浪潮创了新高，市场 ...展开全文c', '2018-07-16 20:50:12')
('合肥65岁退休老教授：27年坚持只做一种股票，字字珠玑，建议珍藏 $宝新能源 sz000690$ $芯能科技 sh603105$ $*ST双环 sz000707$ $太极股份 sz002368$ 姚晓浪的秒...', '2018-07-16 19:42:47')
('这两只还不错，603722阿科力，002368太极股份，大家认为呢？ |西安·中共...', '2018-07-16 19:36:19')
('概念方面，卫星导航携手5G逆势拉升，中兴通讯、纵横通信、创意信息涨停，盛路通信、欣天科技、科信技术均有不同程度拉升；宽带提速联袂云计算花开两朵，中国软件、太极股份均有不俗表现。板块方面，银行、保险、航空、建材、汽车均跌幅靠前，华鹏飞跌停，吉祥航空、中国国航纷纷走弱。', '2018-07-16 09:59:39')
('发布了头条文章：《文轩论股：太极股份+景嘉微+中环股份+欧菲科技》 $欧菲科技 sz002456$ $上证指数 sh000001$ #股票分析# #股票# #今日看盘# |文轩论股：...', '2018-07-16 09:48:27')
('自主可控的中国软件已经新高了，赚的盆满钵满，自主可控的太极股份也开始要走加速了，真的不知道怎么亏！！！', '2018-07-16 04:48:56')
('发布了头条文章：《A股重磅：北部湾旅+石基信息+太极股份，七月操作策略解读》 $北部湾旅 sh603869$ +$石基信息 sz002153$ +$太极股份 sz002368$ $上证指数 sh000001$ #财经头条文章# $深证成指 sz399001$ |A股重磅：...', '2018-07-16 00:05:20')
('截止目前上证指数仍收跌，不过我们提示的沃特股份、星云股份、创意信息涨停，中软件、太极股份、台基股份、创源文化、太辰光、浪潮软件等个股均涨幅居前。', '2018-07-15 23:29:15')
('国产软件概念展开拉升，中国软件大涨7%创新高，太极股份、浪潮信息等跟涨。', '2018-07-15 22:39:32')
('七月绝处逢生时，中国股市卷起千层巨浪，下周A股有望一举突破3000点！ #航新科技 sz300424[股票]# #山河智能 sz002097[股票]# #太极股份 sz002368[股票]# 财经妖王的...', '2018-07-15 01:33:44')
('行情暴跌个股筹码已经出现了异常，不知道是出是留?投资股票可以加wei信：wangshi5202010，指导最佳买卖点和解套方法，总可以为你指点迷津，康力电梯(sz002367) 太极股份(sz002368) 卓翼科技(sz002369) 亚太药业(sz002370) 北方华创(sz002371) 伟星新材(sz002372)', '2018-07-14 07:54:54')
('太极股份 天原集团 天虹商场 太安堂 股海茗漫的...', '2018-07-12 23:09:36')
('发布了头条文章：《002368 太极股份：机构3.3亿火速建仓，超跌62％望暴涨！》 #微博股票# #股票短中长线# $太极股份 sz002368$ |002368 太...', '2018-07-12 10:21:38')
('收盘，小赚4.32%。持仓：北方华创、深信服、泰格医药、长川科技、太极股份、正海生物、圣邦股份、大烨智能。尾盘冲高回落的基本还是近期强势股高位股，所以今天行情本质还是中午说的，针对昨天下跌的反弹。后续反弹高度不是特别看好。主线也出来了，陆续新高也开始兑现了，当然新高股压力也比较大，盘 ...展开全文c', '2018-07-12 04:09:14')
('软件股亦是全线上涨，润和软件涨停，深信服、太极股份、浪潮软件、卫宁健康、中国软件等前面重点推荐个股亦涨幅居前！', '2018-07-12 02:36:17')
('创业板今天长阳突破，科技股如紫光国芯，太极股份全线大涨！科技牛市不动摇！', '2018-07-12 00:23:35')
('现在这种超跌反弹的情况下，我给大家建议选择一类股。底部趋势反转之后首次阳线回踩的个股，这类型个股一定是比大盘要强势的，率先完成了底部趋势反转，然后回踩，配合大盘反弹，那么这类型个股二次上攻的就是大概率事件。举几个例子，太极股份、兆日科技... 网页链接', '2018-07-11 22:41:55')
('软件股全线上涨，万兴科技、太极股份、浪潮软件、中国软件反复活跃，以及荣科技、湘邮科技短线调整后或迎再反弹。', '2018-07-11 22:04:45')
('1宝信软件，2广联达，3恒生电子，4太极股份，5烽火通信，6紫光国威，7通策医疗，8葵花药业，9通化东宝，10康美药业，11青岛啤酒，12张裕A，13锦江股份，14重庆百货。约定5个月后看涨幅，看哪只股票提前涨幅超过40%。这5个月内不在推荐股票。', '2018-07-11 11:25:21')
('收盘，继续大赚3.68%，盘中一度回撤到5个点，尾盘又拉回来了。持仓：北方华创、深信服、泰格医药、长川科技、正海生物、太极股份、圣邦股份、大烨智能。开盘、午后低吸芯片，仓位加回到上周五的水平。江丰电子早上趁芯片冲高清掉了，午后仓位一起加给了长川科技，果然没让我失望，反包+新高！这行情套 ...展开全文c', '2018-07-11 04:01:16')
('发布了头条文章：《文轩论股：北方华创+卓翼科技+太极股份+康力电梯》$北方华创 sz002371$ $卓翼科技 sz002369$ $太极股份 sz002368$ $康力电梯 sz002367$ \ue627 股票 |文轩论股：...', '2018-07-11 03:47:34')
('#太极股份 sz002368[股票]# 太极股份连续收上影线之后今天冲高回落，整体有回调的迹象，如果不是被深套可以先离场.', '2018-07-11 01:08:28')
('股市永不过时黄金定律:零下金叉买 ,零上死叉卖 ,其他都是马后炮 $玲珑轮胎 sh601966$ $新南洋 sh600661$ $太极股份 sz002368$ $中房股份 sh600890$ 3305079245...', '2018-07-10 10:11:05')
('发布了头条文章：《太极股份(002368)：数字中国概念，遭主力盯紧疯抢，将杀入龙虎榜》 #太极股份 sz002368[股票]# $太极股份 sz002368$ |太极股份(0...', '2018-07-10 04:51:25')
('收盘，小赚0.55%，持仓：深信服、北方华创、泰格医药、江丰电子、太极股份、正海生物、圣邦股份、大烨智能、长川科技。加仓北方华创，开仓长川科技。科技股承接比想象中的要好，整个市场尾盘也拉起来，明天还是可以期待一下的。', '2018-07-10 04:46:02')
('发布了头条文章：《002475立讯精密+002368太极股份：7月主力暗流涌动，后市将惊天长阳！》 #股票分析# #今日看盘# #短线牛股# $立讯精密 sz002475$ $太极股份 sz002368$ |002475立讯...', '2018-07-10 02:48:30')
('中国股市下一个港湾，第一波高潮即将开启，数家机构蓄势待发，小散：干就完了！ #航新科技 sz300424[股票]# #山河智能 sz002097[股票]# #太极股份 sz002368[股票]# 财经妖王的...', '2018-07-10 02:04:37')
('发布了头条文章：《太极股份002368重磅利好来袭，后市个股走势分析》#太极股份 sz002368[股票]# \ue627 财经头条文章 \ue627 股票分析 |太极股份00...', '2018-07-10 00:12:23')
