('盲目没有方向吗？指导后市如何操作，投资股票可以加wei信：371540346，指导买卖点和解套方法！齐翔腾达(sz002408) 易成新能(sz300080) 奥克股份(sz300082) 劲胜智能(sz300083) 恒信东方(sz300081) 必康股份(sz002411)', '2018-07-24 08:11:32')
('易成新能 恒信东方 奥克股份 劲胜智能！#城投控股 sh600649[股票]# #外高桥 sh600648[股票]# #申能股份 sh600642[股票]# 许楚沛分析...', '2018-07-24 04:50:29')
('最新利好消息：浙能电力 龙泉股份 文股控股 国际医学 $普利特 sz002324$ $奥克股份 sz300082$ $广西广电 sh600936$ $ST慧球 sh600556$ 姚晓浪的秒...', '2018-07-23 18:40:55')
('股市唯一不骗人RSI的指标，总是能买在低点卖在高点，受益终身 $奥克股份 sz300082$ $东方新星 sz002755$ $北讯集团 sz002359$ $格尔软件 sh603232$ 我的小蜗牛...', '2018-07-23 12:17:09')
('限售解禁：600114 东睦股份002327 富安娜000430 张家界600965 福成股份002366 台海核电300377 赢时胜 300056 三维丝 000606 顺利办 00423 鲁亿通 300082 奥克股份300241 瑞丰光电00537 广信材料 迪马股份 002398 建研集团002170 芭田股份002769 普路通603025 大豪科技000925 众合科技002201 九鼎新材 ...展开全文c', '2018-07-22 21:05:29')
('限售股解禁：$福成股份 sh600965$ 、$张家界 sz000430$ 、$迪马股份 sh600565$ 、东睦股份、众合科技、福瑞股份、大豪科技、至纯科技、卫信康、鸿达兴业、芭田股份、九鼎新材、三维丝、奥克股份、汉得信息、台海核电、赣锋锂业、富安娜、建研集团、瑞丰光电、中颖电子、赢时胜、广信材料、普路通、惠威 ...展开全文c', '2018-07-22 20:59:26')
('电科院：上涨背后的真相？散户知道后大吃一惊！ $华纺股份 sh600448$ $杭州高新 sz300478$ $顺灏股份 sz002565$ $奥克股份 sz300082$ 姚晓浪的秒...', '2018-07-21 23:26:32')
('"尾盘买入选股”，记住一根均线"CCI"，学会出手就是涨停 $美尚生态 sz300495$ $奥克股份 sz300082$ $集友股份 sh603429$ $冠农股份 sh600251$ 我的小蜗牛...', '2018-07-21 11:35:33')
('顶尖老股民花万小时研究出的抄底绝技 真是相见恨晚#易成新能 sz300080[股票]# #恒信东方 sz300081[股票]# #奥克股份 sz300082[股票]# 乔继凤分析...', '2018-07-19 09:50:56')
('就在刚刚08:04分，三天大消息降临中字头：中国联通 中国移动 $凯马B sh900953$ $奥克股份 sz300082$ $苏泊尔 sz002032$ $绿茵生态 sz002887$ 姚晓浪的秒...', '2018-07-18 20:21:58')
('北京62岁老教授自白：34年只盯牢一只股票做，句句经典，建议珍藏 $九强生物 sz300406$ $浙江众成 sz002522$ $奥克股份 sz300082$ $界龙实业 sh600836$ 小正太Ente...', '2018-07-18 06:15:40')
('“周线选股”是股市唯一可以150%获利法，句句经典，值得散户珍藏 $视觉中国 sz000681$ $炼石有色 sz000697$ $开创国际 sh600097$ $奥克股份 sz300082$ 李域悟看盘...', '2018-07-16 12:51:14')
('发布了头条文章：《A股重磅：东方钽业+奥克股份+丝路视觉，七月操作策略解读》 $东方钽业 sz000962$ +$奥克股份 sz300082$ +$丝路视觉 sz300556$ $上证指数 sh000001$ #财经头条文章# $深证成指 sz399001$ |A股重磅：...', '2018-07-15 23:53:41')
('敲响散户警钟吊颈线暗藏阴谋 一旦出现 果断跑路！#易成新能 sz300080[股票]# #恒信东方 sz300081[股票]# #奥克股份 sz300082[股票]# 乔继凤分析...', '2018-07-15 05:19:23')
('行情暴跌个股筹码已经出现了异常，不知道是出是留?投资股票可以加wei信：wangshi5202010，指导最佳买卖点和解套方法，总可以为你指点迷津，齐翔腾达(sz002408) 易成新能(sz300080) 奥克股份(sz300082) 劲胜智能(sz300083) 恒信东方(sz300081) 必康股份(sz002411)', '2018-07-14 08:09:57')
('中国芯片第一龙头再次封王，净利暴增76倍,碾压合肥城建 $*ST宜化 sz000422$ $天津港 sh600717$ $奥克股份 sz300082$ $一致B sz200028$ 姚晓浪的秒...', '2018-07-12 14:18:18')
('A股神秘高手抓住庄家狐狸尾巴 高抛吸低 所向无敌#易成新能 sz300080[股票]# #恒信东方 sz300081[股票]# #奥克股份 sz300082[股票]# 乔继凤分析...', '2018-07-12 04:40:26')
('A股36年一直盈利的唯一指标“KDJ+MACD”熟记6条后可实现百亿梦想 $宁波富达 sh600724$ $利君股份 sz002651$ $奥克股份 sz300082$ $中国中期 sz000996$ 李域悟看盘...', '2018-07-11 05:26:02')
('锂电池第一龙头沉睡8年，神秘巨资再度抢筹，望飙涨接力科大讯飞 $达威股份 sz300535$ $启明星辰 sz002439$ $奥克股份 sz300082$ $天业通联 sz002459$ 姚晓浪的秒...', '2018-07-11 05:22:12')
('北京一女教授说破股市: 一旦遇见"集合竞价"试盘, 斩钉截铁捂股坐 $丝路视觉 sz300556$ $奥克股份 sz300082$ $中航机电 sz002013$ $雪迪龙 sz002658$ 李小麦同学...', '2018-07-11 01:41:18')
('股票一旦出现“长阴倒拔杨柳”形态，坚决捂股，股价将步步高升！ $奥克股份 sz300082$ $恒立液压 sh601100$ $青青稞酒 sz002646$ $中珠医疗 sh600568$ 李小麦同学...', '2018-07-09 02:46:01')
('上海股神：终于把“换手率”讲清楚了，过了今晚将删除，永珍藏 $美芝股份 sz002856$ $奥克股份 sz300082$ $金银河 sz300619$ $双环传动 sz002472$ 李域悟看盘...', '2018-07-08 15:55:54')
('错过格力电器,又一“中国芯片+智能家居”龙头曝光,18年封妖已定 $奥克股份 sz300082$ $香飘飘 sh603711$ $*ST天化 sz000912$ $畅联股份 sh603648$ 小正太Ente...', '2018-07-08 12:03:58')
('预知后市是出是留，盲目没有方向的来，指点后市如何操。齐翔腾达(sz002408) 易成新能(sz300080) 奥克股份(sz300082) 劲胜智能(sz300083) 恒信东方(sz300081) 必康股份(sz002411) 静心静唔的...', '2018-07-08 09:26:49')
('爱尔眼科 安诺其 奥克股份 安居宝 安利股份：后期精准走势曝光 邬过荡邬的...', '2018-07-08 09:19:37')
('上海一老教授终于把“股票七不买”讲透彻了，句句经典，值得散户 $模塑科技 sz000700$ $阳光城 sz000671$ $国脉科技 sz002093$ $奥克股份 sz300082$ 李域悟看盘...', '2018-07-07 03:57:46')
('发布了头条文章：《7月最新潜力股抓住机会：永利股份 奥克股份 天龙集团 蓝色光标》 $永利股份 sz300230$ $奥克股份 sz300082$ $天龙集团 sz300063$ $蓝色光标 sz300058$ #上证快讯# |7月最新潜...', '2018-07-06 04:48:52')
('发布了头条文章：《永利股份 奥克股份 天龙集团 蓝色光标：主力暗藏玄机？》$永利股份 sz300230$ $奥克股份 sz300082$ $天龙集团 sz300063$ $蓝色光标 sz300058$ #上证快讯# |永利股份 ...', '2018-07-06 03:12:21')
('股票万一遇到“量能异常”洗盘，打死也不要卖，股价将一路疯涨！ $星源材质 sz300568$ $奥克股份 sz300082$ $路通视信 sz300555$ $捷荣技术 sz002855$ 小正太Ente...', '2018-07-05 09:29:50')
('股市永不坑人的黄金铁律：股票七不买三不卖，句句经典，永珍藏 $奥克股份 sz300082$ $兰州黄河 sz000929$ $天雁B股 sh900946$ $中国核建 sh601611$ 我的小蜗牛...', '2018-07-04 20:06:30')
('第一创业游资客纷纷进场，所有散户小心被套牢 $广东明珠 sh600382$ $奥克股份 sz300082$ $扬帆新材 sz300637$ $*ST华泽 sz000693$ QueenieL的...', '2018-07-04 02:03:22')
('香港股神：终于把“换手率”讲清楚了，过了今晚将删除，永珍藏 $奥克股份 sz300082$ $亚泰集团 sh600881$ $台海核电 sz002366$ $华联控股 sz000036$ 我的小蜗牛...', '2018-06-26 05:47:56')
('$奥克股份 sz300082$ 这股技术面做超短线可以，放心逢低介入，半仓', '2018-06-24 22:40:14')
('2天跌38%，蒸发66亿，顶级游资抄底，吃跌停！复牌股千万不能买#奥克股份 sz300082[股票]# 乔继凤分析...', '2018-06-24 04:49:12')
('发布了头条文章：《铜陵有色 威孚高科 奥克股份 中恒电气：横空出世，势不可挡？！ 》 $上证指数 sh000001$ $铜陵有色 sz000630$ $威孚高科 sz000581$ $奥克股份 sz300082$ $中恒电气 sz002364$ |铜陵有色 ...', '2018-06-21 13:08:09')
('5G概念彻底崩塌，庄家大佬集体宣布“退市”#易成新能 sz300080[股票]# #恒信东方 sz300081[股票]# #奥克股份 sz300082[股票]# 乔继凤分析...', '2018-06-21 03:47:59')
('#奥克股份 sz300082[股票]#化工板块，目前处于下跌趋势中，无明显企稳迹象，尽量回避', '2018-06-20 01:01:16')
