('$奥维通信 sz002231$ $彤程新材 sh603650$$中核科技 sz000777$ $跃岭股份 sz002725$大盘跌了好像对大家影响不是很大。希望你今天吃了两个板', '2018-07-16 03:05:21')
('你们看看绿色动力、 彤程新材无数的小散或者小游资，不信趋势，各种折腾，哪怕和整个次新板块的退潮趋势作对，还是要继续做，结果未必是好事的，可能吃力不讨好这些最后一刻还想着要“赌博”的人不消灭干净，开板是不会有大行情的', '2018-07-17 02:53:57')
('关于彤程新材的，猫觉得今天走的比较逆反，就来了点，锻炼思路为主。。。近端次新里，同样走的逆反的品种还有宁德时代，天永智能等，另外锐科激光非常优质，值得跟踪。。。$彤程新材 sh603650$', '2018-07-19 03:35:34')
('有一种超级纯净的“光刻胶用线性酚醛树脂”新材料，它的金属杂质控制精度是普通工业产品的几万倍，树脂中的游离物和挥发物需要控制在百万分数量级。它也是一种高端的电子树脂用于制造芯片。该产品曾长期由国外垄断，长期依赖进口。必须赋予$彤程新材 sh603650$ 极大的想象空间，才能更加坚定的持有。 ...展开全文c', '2018-07-24 12:33:09')
('发布了头条文章：《彤程新材+超图软件：庄家阴谋耍诈，游资67亿加码！后势不可低估！》 $彤程新材 sh603650$ $超图软件 sz300036$ #短线牛股# #股票分析# |彤程新材+...', '2018-07-24 11:47:40')
('发布了头条文章：《求阙小记（2018年7月23日）》 $上证指数 sh000001$ $深证成指 sz399001$ $中小板指 sz399005$ $创业板指 sz399006$ $彤程新材 sh603650$ $空港股份 sh600463$ $中兴通讯 sz000063$ $芯能科技 sh603105$ $密尔克卫 sh603713$ |求阙小记（...', '2018-07-24 11:39:33')
('7.25操作策略+股票池涨停75家，跌停2家，连板个股16家通产丽星弱势调整，斯太尔接力成为市场卡位6板龙头，题材强势股情绪回暖，但近期7板是敏感位置，明天重点关注斯太尔能否开盘超预期走强 ...展开全文c', '2018-07-24 11:26:41')
('锐科激光、宁德时代这2个独角兽大盘次新今天联动创出新高，换手比较稳定了，部分筹码沉淀下来锁仓了。又要发次新独角兽了，那么意味着这几天次新应该有机会了，毕竟有了流动性后面才好发。彤程新材这股每次都是这样，被做t党搞死。今天汉嘉设计跟随基建走强，毕竟是次新，明天如果给一 ...展开全文c', '2018-07-24 11:15:03')
('发布了头条文章：《彤程新材603650：此股内幕消息泄露！神秘人35亿强行增持！必问鼎7月》 $彤程新材 sh603650$ #股票# #大盘# #今日看盘# |彤程新材60...', '2018-07-24 10:45:08')
('7月24日重点股发布大单流向工业富联、超短线万里股份、润欣科技、富满电子、通合科技、同为股份、高风险伊戈尔、锐科激光、名臣健康、彤程新材、 ...展开全文c', '2018-07-24 09:56:05')
('今日复盘次新汉嘉设计:这个股完全被笔者逮到，不过有的同学竟然今天涨停板卖了。建材大热不说明天连板冲高是必然啊彤程新材:冲高回落，机构进场，表面反弹风向要飘到次新了。爱婴室:耐心持股，尾盘明显有人进场，不拉一个板不走。昨天提到:东方环宇这个股，明天低吸，今天炸板 ...展开全文c', '2018-07-24 09:34:16')
('短线暴力标的：从昨天起市场就是开始围绕大蓝筹在狂怼，不是逍遥哥不会做蓝筹，我也能选出柳钢股份这种票做潜伏，只是习惯做题材股了，所以对大蓝筹还是有点不感冒。这两天我只在做一件事，就是找次新的核心龙头试仓，昨日挑了彤程新材，低吸冲板后被炸，今日高开没走我是下午在走的。收益只有4个点 ...展开全文c', '2018-07-24 09:32:15')
('发布了头条文章：《彤程新材+超图软件：坐庄频出幺蛾子！机构55亿抢筹，定成18年首席大》 $彤程新材 sh603650$ $超图软件 sz300036$ #今日看盘# #股票# |彤程新材+...', '2018-07-24 08:57:26')
('次新股换手率TOP 10你明天最看好谁的精彩表现 ？1、东方环宇2、南京证券 ...展开全文c', '2018-07-24 07:42:36')
('$彤程新材 sh603650$ 一只小妖吃了点皮的票，所以你们问小妖怎么操作的时候我内心是流泪的有资金进入 趋势还是看涨的，但是这票有个特点，就是不涨停，所以后市如果不成妖的话还是有赚可以落袋为安的今晚继续聊一下锂电池：震荡看涨。这里有很多标的是可以攻选择的，简单的说几个票： ...展开全文c', '2018-07-24 07:30:20')
('`$东方环宇 sh603706$ $彤程新材 sh603650$ $名臣健康 sz002919$ $集泰股份 sz002909$ $美联新材 sz300586$ 刘庆谈财的...', '2018-07-24 07:09:20')
