('#投资达人说# #今日看盘# $恒通股份 sh603223$ 恒通股份是短信坑人票，明天注意回避，谨慎不要追高！', '2018-07-15 14:26:14')
('终于有人说实话了：仅靠一个指标CCI，背熟4句，可实现百亿梦想 $飞科电器 sh603868$ $丰林集团 sh601996$ $恒通股份 sh603223$ $园城黄金 sh600766$ 马旷盈的秒...', '2018-07-24 10:53:24')
('上海洗霸 快克股份 江山欧派 日月股份 济民制药 恒通股份 股海大咖的...', '2018-07-24 09:39:11')
('与小米合作长达9年第一的A股公司：周一或将成真正龙头？附股 $印纪传媒 sz002143$ $铁流股份 sh603926$ $新洋丰 sz000902$ $恒通科技 sz300374$ Ida真是异...', '2018-07-24 02:02:26')
('建材板块强势拉升，冀东水泥、九鼎新材、银龙股份等多股涨停，东方雨虹、海螺水泥、祁连山、北新建材、旗滨集团、金隅集团、伟星新材、恒通科技、天山股份等纷纷大涨。', '2018-07-23 23:01:27')
('一旦股票出现“集合竞价”试盘，坚决捂股，必有一波翻倍行情！ $万邦达 sz300055$ $*ST工新 sh600701$ $健民集团 sh600976$ $恒通股份 sh603223$ 邹亦梧看世...', '2018-07-22 22:53:37')
('香港67岁老教授自暴：“内盘外盘”顺口溜，字字抖金，值得散户收 $恒通股份 sh603223$ $宏创控股 sz002379$ $富奥股份 sz000030$ $新疆天业 sh600075$ 李小麦同学...', '2018-07-22 22:25:40')
('神秘巨资增持805亿举牌,独角兽最强龙头横空出世,明日乌鸡变凤凰 $交大昂立 sh600530$ $恒通股份 sh603223$ $闽东电力 sz000993$ $永贵电器 sz300351$ 姚晓浪的秒...', '2018-07-22 21:22:25')
('发布了头条文章：《下周精彩走势揭秘：恒通股份 中远海能 潞安环能 春兰股份》$恒通股份 sh603223$ $中远海能 sh600026$ $潞安环能 sh601699$ $春兰股份 sh600854$ |下周精彩走...', '2018-07-19 07:32:42')
('中国芯片第一股跌至7元,神秘机构巨资买入,下周将复制京东方A $鲁银投资 sh600784$ $恒通股份 sh603223$ $深中华B sz200017$ $双汇发展 sz000895$ 姚晓浪的秒...', '2018-07-19 06:23:43')
('盲目没有方向吗？指导后市如何操作，投资股票可以加wei信：371540346，指导买卖点和解套方法！国泰君安(sh601211) 天成自控(sh603085) 万林股份(sh603117) 恒通股份(sh603223) 口子窖(sh603589) 四通股份(sh603838)', '2018-07-18 19:24:09')
('股市唯一不欺骗人“成交量”买入，句句真理，一但学会股市是印钞 $恒通股份 sh603223$ $宇环数控 sz002903$ $沃施股份 sz300483$ $翔港科技 sh603499$ 李域悟看盘...', '2018-07-18 16:24:51')
('高送转第一龙头横空出世，中报业绩暴增151倍，或逆天改命变妖 $恒通股份 sh603223$ $金陵药业 sz000919$ $沃华医药 sz002107$ $宜华健康 sz000150$ 姚晓浪的秒...', '2018-07-17 20:14:59')
