('$成都路桥 sz002628$ 这个暗号是什么意思？', '2018-07-23 03:36:07')
('周末疫苗事件发酵，拖累生物医药板块，近期这板块内个股还是回避，本身医药板块弱反以后今天跳空下跌，空头趋势形成！举牌龙头兆新股份，跟风的成都路桥，跟的还算大气！富勒稀龙头也就是通产丽星这只，关联的就是石墨烯板块，但没有跟风上板个股，板块指数上方还是有压力。所以板块内个股也都走的比 ...展开全文c', '2018-07-22 23:47:33')
('$成都路桥 sz002628$ 这一堆3是什么思路？', '2018-07-23 03:09:10')
('明日关注基建板块 龙头$成都路桥 sz002628$ 超跌底部巨量启动', '2018-07-23 12:33:45')
('《股票中庄家“坐庄”全过程详解》#微博时评团##V影响力峰会##成都路桥 sz002628[股票]##丹邦科技 sz002618[股票]# |《股票中庄...', '2018-07-23 12:11:26')
('明天的重点已经给你画好（2018-07-23 游资复盘）打开公众号关注一下，看复盘更方便：网页链接\ue627 财经头条文章 \ue627 微博股评团 #上证指数sh000001# \ue627 投资 #上证指数sh000001# #成都路桥 sz002628[股票]# #欣龙控股 sz000955[股票]# #西安饮食 sz000721[股票]# ...展开全文c', '2018-07-23 12:01:30')
('搞不懂现在的资金，一边是成都路桥，斯太尔被砸，一边去拉板星徽精密，钱都是冥币啊！！！！！', '2018-07-23 11:30:14')
('A股唯一能盈利20年王者指标——“线上阴线买”，股市就是印钞机 $青海华鼎 sh600243$ $成都路桥 sz002628$ $富奥B sz200030$ $人民网 sh603000$ 论A股堂的...', '2018-07-23 11:20:10')
('关注成都路桥、东方环宇、斯太尔、西仪股份、通达动力、西安饮食、实达集团、神火股份、湘潭电化等。', '2018-07-23 11:15:00')
('【新视界每日划重点】方星海：抓紧恢复股指期货常态化交易；人社部：将印发加快养老金委托投资的文件，推动各地启动养老金委托投资工作；离岸人民币兑美元跌破6.81；光启技术(002625)：控股股东计划增持不超过总股本的 2%；冠福股份(002102)业绩快报：净利同比增长338.02%；三江购物(601116)：半年报净 ...展开全文c', '2018-07-23 11:16:52')
('明天捉妖股方案：成都路桥、斯太尔、 柳钢股份、华新水泥西仪股份、龙元建设、天海防务、欣龙控股、航天动力、达刚路机、神火股份、中金岭南、趋势股： ...展开全文c', '2018-07-23 11:02:20')
('发布了头条文章：《成都路桥+天瑞仪器：庄家建仓完毕！机构36亿锁仓，能否成妖王在此一》 $成都路桥 sz002628$ $天瑞仪器 sz300165$ #今日看盘# #股票# |成都路桥+...', '2018-07-23 10:52:36')
('明天预选股：成都路桥，换手牛股？斯太尔？小周期妖股。军工2进3？还不错', '2018-07-23 10:46:21')
('$成都路桥 sz002628$ 大基建，三连板，一板炒超跌，二板炒举牌，三板炒基建，不知不觉走了出来，因为一直都偷偷摸摸的反而筹码交换得很好，也不算是跟风小弟，如果明天能够超预期走出来，又能进入加速炒作阶段，但明天就开始加速就不适合接力了。从龙虎榜来看，买一华泰青岛宁夏路买了865万，买二财通 ...展开全文c', '2018-07-23 10:45:12')
('成都路桥：跟我一起喊：老庄牛逼，老庄犀利，首板玩到现在，终于玩出板块了。PPP和基建概念不少助攻，今天是放量三板，明天继续关注，有继续走强的预期在。', '2018-07-23 10:42:03')
('今天 很失败 我去低吸了美联新材尾盘-5个点 郁闷 少说两句吧，我逻辑是当通产丽星和早盘看到斯太尔等还有成都路桥都是低吸10几个点的大肉，结果误判一波拉升没有资金跟随 郁闷了 明天不反包逢高出了，目前看今天看军工和基建还有大金融三条线 明天看军工混改会不会带起来国企混改这条线，另外基建 ...展开全文c', '2018-07-23 10:35:59')
('发布了头条文章：《最新主力阴谋揭露：成都银行+长春高新+成都路桥》$成都银行 sh601838$长春高新 sz000661$成都路桥 sz002628$ # A股#股票[超话]# |最新主力阴...', '2018-07-23 10:29:05')
('大盘观点上周资管新规的消息,对于股市出现利好,市场炒作方向 低估值 低价格 低价位.国企改革,今天盘面最大的是二八分化,早上最先动的是军民融合 ,这个就是我昨天晚上发的热点,那目前围绕这个热点可以延续到混改 的大路线 ,一带一路今天市场比较火热,中国交建涨停 ,长江经济带的股票连板 成都路桥 ...展开全文c', '2018-07-23 10:04:29')
('基建项目也算是周期概念的吧？金融股上涨龙头是成都银行，基建股上涨龙头是成都路桥，成都好厉害，在去杠杆大任务级别完成的时候脱颖而出，要做西部龙头城市？今天大盘放量上涨，不惧特不靠谱总统5000亿商品加征贸易税的威胁，大盘结实。', '2018-07-23 09:51:12')
('淘股吧吹飞了的东方环宇，手里有的明天看看。手里没的，明天最好不要去接力，切记另外，成都路桥通过两个弱转强和板块带动，有龙头相了。可惜了。世事变化无常，只能继续提高自己', '2018-07-23 09:37:59')
('通产丽星  斯太尔 成都路桥 成都银行 雷科防务  高科石化  丹邦科技', '2018-07-23 09:36:09')
('#今日看盘#我发表了头条文章:《反弹的风口在哪里？》#微博股票# @微博股票点评团#000760斯太尔##成都路桥 sz002628[股票]#@VPlus会员 |反弹的风口...', '2018-07-23 09:32:00')
('七月量化股今天8支涨停板:圣阳股份，成都路桥，久远银海，中航电子，红豆股份，湘潭电化，杰赛科技，西仪股份。其中有些票是本月前三周在微博上推过的量化股，圣阳股份和成都路桥今天是2连板。', '2018-07-22 09:12:00')
('豪哥分享-----每周大盘晴雨表（留个资料）发布时间：2018.07.22.20:08. <豪哥工作室>诚邀天使投资人。跟我合作有多种方式：一、做天使投资人每年分红。二、代客理财给固定回报，年化收益率18%。三、代客操盘，用你的账户我来炒，一票一结三七分。四，指导操盘，一票一算三七分成。', '2018-07-23 09:27:18')
('盘面总结和操作策略:上证指数因为周末疫苗事件继续发酵，低开高走，今日医药股暴跌，对于医药股三个月之内不碰，并且还可能情绪继续蔓延，吃药喝酒，白马股，消费股等都要小心。目前市场情绪是以通产丽星为龙头，斯太尔为补涨股，成都银行大金融，成都路桥大基建互相配合。对于明日1.打板最早明日分歧 ...展开全文c', '2018-07-23 09:21:21')
('发布了头条文章：《欢乐海岸：财政政策要更加积极！》 #成都路桥 sz002628[股票]# #古鳌科技 sz300551[股票]# #成都银行 sh601838[股票]# #通产丽星 sz002243[股票]# #兆新股份 sz002256[股票]# #风华高科 sz000636[股票]# #万华化学 sh600309[股票]# #美联新材 sz300586[股票]# |欢乐海岸：...', '2018-07-23 09:17:04')
('|前一波手稿... #牛股推荐#\ue627 收盘说说#华新水泥 sh600801[股票]##成都路桥 sz002628[股票]#', '2018-07-23 09:13:41')
('著名游资动向：中投无锡清扬路：做T减仓PCB丹邦科技，介入军工杰赛科技国泰南京太平路：介入次新彤程新材被砸长城仙桃钱沟路：出局富勒烯通产丽星，介入国产替代实达集团，介入新能源车圣阳股份，介入基建成都路桥，做T超跌反弹+储能电池斯太尔华鑫西安科技路：介入实控人变更西安饮食银河绍兴路 ...展开全文c', '2018-07-23 09:09:06')
('从泛股权属性来说，这条线今天依然很强西安饮食早上快速2板助攻，成都路桥分歧三板回封（叠加基建的回封），新华百货、高科石化、供销大集等首板。', '2018-07-23 09:04:03')
('【大盘观点】今日大盘反弹，基建、水泥、军工、银行、国产软件与系统强势，通产丽星领涨，成都路桥和成都银行分别领涨基建和银行，预期明日大盘情况如下，（1）预期先出现的运行轨迹：小幅低开-震荡与反弹上冲摸高-受阻回落整理，或者小幅低开-震荡与反弹拉升上涨，（2）支撑压力位：沪指压力位2902 ...展开全文c', '2018-07-23 09:01:07')
('发布了头条文章：《20180723复盘：通产丽星、斯太尔、成都路桥》 |20180723复...', '2018-07-23 08:58:28')
('成都路桥，我从常理去推论，它走的是举牌这个独立线，盘面上是跟随兆新股份的但是中国建筑这里大涨，包括基建异动，它这里又回封，我只能说，我预测不到', '2018-07-23 08:57:50')
('发布了头条文章：《炒股养家：权重搭台，小票唱戏！》 #成都路桥 sz002628[股票]# #西安饮食 sz000721[股票]# #浪潮信息 sz000977[股票]# |炒股养家：...', '2018-07-23 08:53:14')
