('今天有一只新股，明德生物。别忘记申购，点赞的都中签。', '2018-06-28 21:36:03')
('[6月29日]今天有1只新股可以申购，看贴回帖666祝愿大家幸运中签【明德生物002932】～', '2018-06-28 21:00:11')
('【证监会核发2家企业IPO批文 筹资总金额不超过9亿元】证监会今日核准了以下企业的首发申请，上交所主板：密尔克卫化工供应链服务股份有限公司，深交所中小板：武汉明德生物科技股份有限公司。其中，武汉明德生物科技股份有限公司将直接定价发行。上述企业及其承销商将分别与沪深交易所协商确定发行日程 ...展开全文c', '2018-06-22 07:27:48')
('【#明德生物#6月29日申购指南 顶格申购需配市值16.5万元】明德生物此次发行总数约1664.63万股，网上发行为1664.6万股，发行市盈率22.99倍，申购代码为：002932，申购价格：20.45元，单一帐户申购上限1.65万股，申购数量500股整数倍。|明德生物6...', '2018-06-28 19:33:34')
('没想到明德生物今天涨停，什么妖风啊？', '2018-07-23 10:53:57')
('发布了头条文章：《本周操作策略解读：五粮液 南方航空 明德生物 东方环宇》$五粮液 sz000858$ $南方航空 sh600029$ $明德生物 sz002932$ $东方环宇 sh603706$ #微博股票# |本周操作策...', '2018-07-23 02:44:34')
('晚间消息流出：中颖电子 安德利 凤形股份 上海建工 $长城科技 sh603897$ $明德生物 sz002932$ $江西长运 sh600561$ $云南锗业 sz002428$ 姚晓浪的秒...', '2018-07-22 21:43:28')
('7月22日作业：西安饮食竞价高开5％以上，早盘快速二板必打。东方环宇竞价高开幅度不大，直线拉升上板考虑。明德生物如果被医药板块恐慌性崩盘带开，直接上。', '2018-07-22 07:08:28')
('上海股神酒后失言：股市唯一“可信”指标，字字珠玑 ，值得收藏 $熊猫金控 sh600599$ $明德生物 sz002932$ $广宇发展 sz000537$ $广弘控股 sz000529$ 欧欧欧哈的...', '2018-07-21 13:56:45')
('利用分时图把握卖点，花几分钟学会将在股市如鱼得水#每日股市# #个股解答#$明德生物 sz002932$ $美联新材 sz300586$ 宣凤萍的秒...', '2018-07-21 04:57:01')
('就在刚刚08:05分，三天大消息降临中字头：中国联通 中国移动 $华谊B股 sh900909$ $明德生物 sz002932$ $新疆众和 sh600888$ $浙江富润 sh600070$ 姚晓浪的秒...', '2018-07-20 20:47:17')
('热点龙头行业今天领涨的是银行板块，领涨股是成都银行。3日领涨的是保险板块，龙头是新华保险。概念今天领涨的是美团概念板块，领涨股是浪潮信息。3日领涨的是次新股板块，龙头是密尔克卫。区域今天领涨的是湖北板块，领涨股是明德生物。3日领涨的是广西板块，龙头是柳钢股份。主力资金净流入最多 ...展开全文c', '2018-07-20 04:46:43')
('北京股神：终于把“换手率”讲清楚了，过了今晚将删除，永珍藏 $英力特 sz000635$ $明德生物 sz002932$ $老板电器 sz002508$ $金溢科技 sz002869$ 我的小蜗牛...', '2018-07-20 04:12:37')
