('发布了头条文章：《正邦科技002157：后市展望精准预测，散户注意了！》 #财经头条文章# #股票分析# $正邦科技 sz002157$ 正邦科技002157：后市展望精准预测，散户注意了！ |正邦科技00...', '2018-07-23 07:44:31')
('19岁股市奇才豪言：四阴收阳选股是100%盈利法，4分钟获28次掌声 $营口港 sh600317$ $*ST华信 sz002018$ $正邦科技 sz002157$ $宁波建工 sh601789$ L-花花-V幸...', '2018-07-23 03:05:11')
('#就这一刻# 记这么久以来，正邦科技第一次涨停～', '2018-07-23 02:40:33')
('发布了头条文章：《002157 正邦科技：估值合理 仍具较大上涨空间》 \ue627 短线牛股 \ue627 股票推荐 #股市投资思维# $正邦科技 sz002157$ |002157 正...', '2018-07-23 01:46:17')
('卖出正邦科技 买入东风股份', '2018-07-22 22:54:22')
('利空：傲农生物中报预降；凯瑞德终止筹划重大资产重组事项；中青旅收购古北水镇20%股权事项可能终止；长生生物被罚没344万元；正邦科技被罚205万元；辉丰股份两项目环境违法，将遭行政处罚；万科A、腾龙股份股东减持；京威股份、永东股份、科恒股份、柏堡龙、世名科技、健友股份股东拟减持。', '2018-07-20 02:02:18')
('我们可以拿着四个公司中找一个，比如$正邦科技 sz002157$ ,18年出栏650万头，猪体重平均120公斤。按照目前12元一公斤生猪价格（长期底部区域价格）。计算出来生猪市场价值93.6亿。现在公司总股本23.3亿。基本每股的生猪市场价值为4.017元。如果生猪价格涨2元（保守）公司剔除12元成本后，获利为15.6亿 ...展开全文c', '2018-07-20 00:34:50')
('爆！荃银高科 ，玩的就是个性 $东方锆业 sz002167$ $雪浪环境 sz300385$ $正邦科技 sz002157$ $金冠电气 sz300510$ 姚晓浪的秒...', '2018-07-19 12:04:14')
('【正邦科技：下属公司因环保问题被罚205万元】正邦科技(002157)7月19日晚公告，近日，公司下属子公司肇东正邦养殖有限公司、肇东正邦养殖有限公司红光分公司收到收到肇东市环保局出具的《行政处罚决定书》及《责令改正违法行为决定书》，处罚金额合计205万元。|正邦科技：...', '2018-07-19 09:13:47')
('#报喜鸟 sz002154[股票]# #湖南黄金 sz002155[股票]# #通富微电 sz002156[股票]# #正邦科技 sz002157[股票]# 就在刚刚，中国股市现110年罕见怪象：上百亿资金排队离场，周五崩盘已成定局！ 上官诚论股...', '2018-07-18 05:50:31')
('盲目没有方向吗？指导后市如何操作，投资股票可以加wei信：371540346，指导买卖点和解套方法！正邦科技(sz002157) 北斗星通(sz002151) 通富微电(sz002156) 湖南黄金(sz002155) 莱茵生物(sz002166) 汉钟精机(sz002158)', '2018-07-17 22:28:52')
('20180718焦点金股策略：1、    正邦科技：黑天鹅留下的失地全部收复，在日线图上已经留下了指标金叉的痕迹，趋势开始转暖，上方21天线的3.9元是重要位置，周二守住了8天均线，反弹一触即发。Ø  今日策略：短线大胆入场。短期挂单3.72元入场。短线21天线的3.88元离场。2、  利欧股份：股价始终维持在 ...展开全文c', '2018-07-17 19:17:00')
('A股20年一直盈利的唯一技法——“周线选股”，建议花3分钟看完 $泸州老窖 sz000568$ $正邦科技 sz002157$ $亚盛集团 sh600108$ $民德电子 sz300656$ 小正太Ente...', '2018-07-17 13:45:59')
('股票一旦出现“线上阴线”试盘形态，必是大牛股，成功率百分百 $正邦科技 sz002157$ $阿科力 sh603722$ $南钢股份 sh600282$ $美克家居 sh600337$ 3305079245...', '2018-07-16 17:04:01')
('我刚刚调仓了微博股票组合网页链接，委托买入$正邦科技 sz002157$。', '2018-07-16 09:17:59')
('昨天带朋友去吃宵夜，店名叫“邦邦烤肉”，于是就想到前期看了多篇猪肉研报，仙坛爆的时候第一时间搞成猪肉了~后来发现是鸡肉~打开软件喵了一下，发现正邦科技和天邦股份。我曰，这么巧？天邦股份1月底还做了个备注，说是目标价很高~哈哈~等下模拟开个邦邦组合去~', '2018-07-16 09:15:16')
('晚间反转利好消息：太平洋中文传媒东方园林 $景旺电子 sh603228$ $正邦科技 sz002157$ $南方汇通 sz000920$ $亚盛集团 sh600108$ 姚晓浪的秒...', '2018-07-14 14:42:56')
('股市唯一不骗人“单阳不破”选股法，句句真理，学会股市是印钞机 $大北农 sz002385$ $合众思壮 sz002383$ $正邦科技 sz002157$ $美诺华 sh603538$ 李域悟看盘...', '2018-07-14 12:56:45')
('股市唯一不欺骗人的“换手率”顺口溜，仅今晚分享一次，今晚删 $金利华电 sz300069$ $南都物业 sh603506$ $正邦科技 sz002157$ $金陵体育 sz300651$ 小正太Ente...', '2018-07-14 10:14:46')
('行情暴跌个股筹码已经出现了异常，不知道是出是留?投资股票可以加wei信：wangshi5202010，指导最佳买卖点和解套方法，总可以为你指点迷津，正邦科技(sz002157) 北斗星通(sz002151) 通富微电(sz002156) 湖南黄金(sz002155) 莱茵生物(sz002166) 汉钟精机(sz002158)', '2018-07-12 23:26:27')
('#正邦科技 sz002157[股票]# 饲料板块，该股近期比较萎靡，尤其在中美贸易战得到缓解，更难得到炒作，主力有减仓行为，建议逢高换股。', '2018-07-12 21:14:29')
('网页链接公告：正邦科技：江西华邦律师事务所关于公司2017年股票期权与限制性股票激励计划第一个行权期行权及调整预留授予部分相关事宜的法律意见书 ，点击查看 网页链接', '2018-07-12 07:21:09')
('42岁杭州女股民吐露：股市唯一获利法“集合竞价”曝光，值得收藏 $四川双马 sz000935$ $华中数控 sz300161$ $正邦科技 sz002157$ $金溢科技 sz002869$ 小正太Ente...', '2018-07-12 01:09:48')
('保持平和的心态，选有价值把握性大的票，建仓前把最大的亏损承受能力算好，控制好仓位，你成功的概率就很高了。选几支票做解析，关注的朋友可以留言或私信长城汽车 601633智动力 300686天邦股份 002124正邦科技 002157', '2018-07-11 22:37:15')
('股市永不坑人的黄金铁律：股票七不买三不卖，句句经典，永珍藏 $金陵药业 sz000919$ $航锦科技 sz000818$ $正邦科技 sz002157$ $赛隆药业 sz002898$ 李域悟看盘...', '2018-07-11 13:06:12')
('#世界杯经济学#我刚刚调仓了微博股票组合网页链接，以成交价3.77卖出$正邦科技 sz002157$。', '2018-07-11 01:50:05')
('发布了头条文章：《正邦科技002157 ：底部金叉暗藏暴涨信号，此压力位将一绝成败》 $正邦科技 sz002157$ #正邦科技 sz002157[股票]#股票分析[超话]#微博股票热议榜#热门股票点评\ue627 微博股票 |正邦科技00...', '2018-07-10 23:42:14')
