('【云计算概念股被公募基金重仓持有】合计持股数量为6.81亿股，合计持股市值约119.38亿元。其中，亚联发展（002316）、深信服、华东电脑（600850）、工业富联、二三四五、恒华科技（300365）、捷成股份、浪潮信息（000977）、万达信息、中国长城（000066）、中科曙光（603019）、泛微网络（603039）、 ...展开全文c', '2018-07-18 20:33:03')
('#云计算机#2018年是中国云计算产业的拐点：政策、产业、资本全方位共振；同时，云计算又是中报高增长最确定的方向。结合中报预期，重点关注 广联达、浪潮信息、金蝶国际（HK）、用友网络、东华软件、超图软件、恒华科技、天源迪科、佳发教育、泛微网络、长亮科技等。此外，中美贸易争端愈演愈烈，美 ...展开全文c', '2018-07-22 10:43:07')
('【早评参考】#.今日看盘.#1、减持个股注意下，丝路视觉、弘信电子、保隆科技、正海生物、高伟达、全通教育、三晖电气、唐德影视、金太阳、宏辉果蔬、泛微网络、雪榕生物、道道全、海得控制、江南水务、2、指数在三连阴后，昨天收了小十字，虽然整体是A字走势，分时比较难看，但这个位置基本算是企稳 ...展开全文c', '2018-05-28 20:25:48')
('昔日金属第一龙头强势回归，游资买入23已，股价回到十年前！小散笑开了花$联建光电 sz300269$$菲林格尔 sh603226$$泛微网络 sh603039$ 江雅凡分析...', '2018-07-23 08:13:23')
('凯众股份 华立股份 泛微网络 新坐标！#华测导航 sz300627[股票]# #锐奇股份 sz300126[股票]# #惠伦晶体 sz300460[股票]# 许楚沛分析...', '2018-07-23 05:29:03')
('杨州女教授看破股市："股票七不买三不卖"，句句经典，值得珍藏 $山西汾酒 sh600809$ $中旗股份 sz300575$ $泛微网络 sh603039$ $天华超净 sz300390$ 姚晓浪的秒...', '2018-07-23 03:39:48')
('华立股份 泛微网络 新坐标 美思德！#环能科技 sz300425[股票]# #鹏辉能源 sz300438[股票]# #晓程科技 sz300139[股票]# 许楚沛分析...', '2018-07-22 03:03:31')
('就在刚刚一分钟前:A股爆出利好消息：洲明科技 科信技术 $瑞斯康达 sh603803$ $深深宝A sz000019$ $泛微网络 sh603039$ $科远股份 sz002380$ 姚晓浪的秒...', '2018-07-21 19:30:05')
('发布了头条文章：《7月收官之战 : 药明康德 泛微网络 金牌厨柜 包钢股份》 \ue627 股票 #牛股推荐# #上证快讯# $药明康德 sh603259$ $泛微网络 sh603039$ $金牌厨柜 sh603180$ $包钢股份 sh600010$ |7月收官之...', '2018-07-21 03:06:16')
('新股最佳申购时间点分解，中签率高达354%，相信坚持的力量！ $泛微网络 sh603039$ $文峰股份 sh601010$ $华菱精工 sh603356$ $东方铁塔 sz002545$ 姚晓浪的秒...', '2018-07-19 15:18:35')
('香港一女博士自暴“内盘外盘”口诀，庄家听后跪求删帖，建议珍藏 $龙泉股份 sz002671$ $远东传动 sz002406$ $泛微网络 sh603039$ $奥赛康 sz300361$ 我的小蜗牛...', '2018-07-19 04:44:03')
('“KDJ+MACD”是A股唯一赚钱指标，牢记五点，再忙也要花3分钟看完 $路畅科技 sz002813$ $泛微网络 sh603039$ $康缘药业 sh600557$ $紫鑫药业 sz002118$ L-花花-V幸...', '2018-07-19 03:26:03')
('盲目没有方向吗？指导后市如何操作，投资股票可以加wei信：371540346，指导买卖点和解套方法！华凯创意(sz300592) 泛微网络(sh603039) 杰克股份(sh603337) 视源股份(sz002841) 泰嘉股份(sz002843) 华立股份(sh603038)', '2018-07-19 00:48:33')
('【中小板白马股龙头】神马股份（600810），康泰生物（300601），顺鑫农业（000860），平治信息（300571）、泛微网络（603039），以及风华高科（000636）', '2018-07-18 22:48:33')
('发布了头条文章：《A股最新走势分析：粤泰股份+凤形股份+莲花健康+泛微网络》 $XD粤泰股 sh600393$ $凤形股份 sz002760$ $莲花健康 sh600186$ $泛微网络 sh603039$ #股票分析# |A股最新走...', '2018-07-18 04:29:02')
('我刚刚调仓了微博股票组合网页链接，以成交价93.4卖出$泛微网络 sh603039$。', '2018-07-17 21:46:44')
