('恺英网络 科士达 银河电子 日发精机！ #海达股份 sz300320[股票]# #达志科技 sz300530[股票]# #深冷股份 sz300540[股票]# 许楚沛分析...', '2018-07-24 02:59:35')
('发布了头条文章：《300320 海达股份：主力阴谋曝光，后市或将这样走！》 $海达股份 sz300320$ \ue627 财经头条文章 \ue627 短线牛股 |300320 海...', '2018-07-24 02:49:44')
('发布了头条文章：《海达股份300320 ：不要掉以轻心, 后期操作策略!》$海达股份 sz300320$\ue627 微博股票股票[超话]#股市~a股~大盘~股票#微博股票热议榜#热门股票点评#热门股票推荐#热门牛股票点评#热门股票点评# |海达股份30...', '2018-07-23 02:20:05')
('#上证指数 sh000001[股票]#公布7月23日牛股池1、002375亚夏股份2、002580圣阳股份3、600622光大嘉宝4、002922伊戈尔 ...展开全文c', '2018-07-22 20:13:23')
('发布了头条文章：《A股重磅：华北制药+海达股份+东晶电子，七月操作策略解读》 $华北制药 sh600812$ +$海达股份 sz300320$ +$东晶电子 sz002199$ $上证指数 sh000001$ #财经头条文章# $深证成指 sz399001$ |A股重磅：...', '2018-07-22 02:55:09')
('发布了头条文章：《老股民自曝短线买入技巧 轻松买在最低点》 #海达股份 sz300320[股票]# #达志科技 sz300530[股票]# #深冷股份 sz300540[股票]# |老股民自曝...', '2018-07-22 02:07:49')
('万一股票出现“钓鱼线”形态，毫不犹豫清仓，否则深度套牢 $海达股份 sz300320$ $国立科技 sz300716$ $工业富联 sh601138$ $露笑科技 sz002617$ L-花花-V幸...', '2018-07-21 23:26:38')
('发布了头条文章：《7月收官之战 :台基股份 海达股份 罗普斯金 科力尔》\ue627 股票 #牛股推荐# #上证快讯# $台基股份 sz300046$ $海达股份 sz300320$ $罗普斯金 sz002333$ $科力尔 sz002892$ |7月收官之...', '2018-07-21 02:27:01')
('盲目没有方向吗？指导后市如何操作，投资股票可以加wei信：371540346，指导买卖点和解套方法！博晖创新(sz300318) 海达股份(sz300320) 麦捷科技(sz300319) 同大股份(sz300321) 顺威股份(sz002676) 东诚药业(sz002675)', '2018-07-20 05:01:04')
('"尾盘买入选股”，记住一根均线"CCI"，学会出手就是涨停 $海达股份 sz300320$ $佛山照明 sz000541$ $贝瑞基因 sz000710$ $炼石有色 sz000697$ 我的小蜗牛...', '2018-07-19 07:32:37')
('片仔癀 通威股份 瑞贝卡 国机通用！ #海达股份 sz300320[股票]# #达志科技 sz300530[股票]# #深冷股份 sz300540[股票]# 许楚沛分析...', '2018-07-19 05:28:41')
('发布了头条文章：《中国软件600536+海达股份300320主力预谋待发.最强龙头遭内定》 $中国软件 sh600536$ $海达股份 sz300320$ #上证指数 sh000001[股票]# #股票分析# #今日看盘# |中国软件60...', '2018-07-18 10:29:25')
('发布了头条文章：《海达股份300320：主力预警9亿加码！18年惊世黑马预警重现？》 $海达股份 sz300320$ #上证指数 sh000001[股票]# #股票分析# |海达股份30...', '2018-07-18 05:41:04')
('6.68卖出2成 海达股份，计划逢低摊低成本目前成本6.52', '2018-07-17 21:33:02')
('龙头早知道 | 2018-7-18  业绩预增：海达股份 300320 稀缺资源：红星发展 600367 电子元件：厦门信达 000701 （以上排序不分先后）网页链接', '2018-07-17 21:27:56')
('竞价看龙头：超跌概念股$南京新百 sh600682$ 、金龙机电，业绩预增概念股海达股份、中超控股 ，5G概念股飞荣达、纵横通信，石墨烯概念股德尔未来，富勒烯概念股通产丽星，芯片概念股金安国纪、恒泰实达\ue627 今日看盘 \ue627 投资达人说', '2018-07-17 21:26:58')
('新材料：富勒烯：通产丽星、亿利达石墨烯：德尔未来、杭电股份、碳元科技业绩预增：飞荣达、海达股份、中超控股、佳发教育、润达医疗、时代新材、百润股份、用友网络、台基股份、科斯伍德泛填权：飞荣达、纵横通信、沃特股份、佳发教育、用友网络、台基股份、奥瑞德、赫美集团、拉芳家化、仙坛股份 ...展开全文c', '2018-07-17 21:24:44')
('【热点复盘】1、5G：意华股份、纵横通信、中兴通讯、美格智能、创意信息、沃特股份、飞荣达、奥维通信2、中报预增：海达股份、北方国际、智度股份、合兴包装、中核科技、安井食品、德威新材3、超跌：联建光电、金运激光、三维股份、英特集团、凯盛科技、南京新百、盛运环保 ...展开全文c', '2018-07-17 21:17:31')
('【早盘大势前瞻及热点板块机会】周二沪指跌破2800点后收下影线，创业板翻红相对抗跌。沪指下跌主要推手是周期股+金融+消费白马集体回调，但跌幅均不深。而尾盘市场在科技、软件、锂电池等概念带动下出现快速反抽，创业板指数翻红，沪指跌幅收窄。昨日最亮眼的莫过中兴通讯爆量70亿，最终封死涨停板 ...展开全文c', '2018-07-17 21:07:03')
('$海达股份 sz300320$放量连板，超跌反弹+业绩大幅上升，短线可持有。', '2018-07-17 20:56:00')
('方向4：连板梯队，前龙头天华超净长阴结束后，目前4板成为最大高度，通产丽星、三变科技（5天4板）并列。三板出现断层，飞荣达/纵横通信/沃特股份（5G）、亿利达（富勒烯）、金安国纪（芯片）、海达股份（业绩预增）、南京新百（超跌反弹）换手二板。', '2018-07-17 20:23:41')
('特斯拉公司(Tesla)与上海临港管委会、临港集团共同签署了纯电动车项目投资协议。特斯拉公司将在临港地区独资建设集研发、制造、销售等功能于一体的特斯拉超级工厂(Gigafactory 3)，该项目规划年生产50万辆纯电动整车，是上海有史以来最大的外资制造业项目。关注：海达股份、当升科技、大富科技。', '2018-07-17 19:01:16')
