('益丰药房 大千生态 哈森股份 百利科技！#初灵信息 sz300250[股票]# #东方电热 sz300217[股票]# #雅本化学 sz300261[股票]# 许楚沛分析...', '2018-07-24 08:38:54')
('#华新水泥 sh600801# 大涨35%后，此刻适合高位减仓出局#信维通信 sz300136[股票]##上证指数000001##新余国科 sz300722[股票]##益丰药房 sh603939[股票]##华新水泥 sh600801[股票]#', '2018-07-24 03:27:04')
('抓阄轮动上涨的时候，最直接的方式，就是一半持股等待，一半现金等待下一个节奏。这个时候虽然知道大方向，但上涨的角度却各不相同，考验大家耐心与定力的时候，就是对产业龙头与基本面信心的支持。就如同去年讲基本面选成长白马所讲的益丰药房一样，没有定力哪能玩得转？', '2018-07-24 02:03:00')
('今天上药房 被店员欺骗 我会蠢死去千万别去益丰大药房', '2018-07-23 21:33:27')
('益丰药房筹码稳的一批！老乡股要给力啊，今天错杀我也无可奈何，关灯吃面', '2018-07-23 08:09:47')
('个人看法，目前大盘已经具备了向3000点发起进攻的条件，关键是多头是否能把握得住这个机会。一旦多头比较凶猛冲破3000点的束缚，那么股市个人看将可以大胆的抄底进场，尤其是捡便宜，像低价蓝筹，低价煤炭，钢铁和天然气等#信维通信 sz300136[股票]# #海川智能 sz300720[股票]# ...展开全文c', '2018-07-23 05:44:10')
('益丰药房涨停走了之后，就放入观察区了，今天也要跌停了，你也卖假疫苗吗？疫苗不能在药房里卖啊，非理性的不仅仅是散户，机构投资者一样是大散户。', '2018-07-23 02:09:35')
('$益丰药房 sh603939$ 等累计涨幅大的品种都因为生物股连续涨幅大而触雷给拖累，市场的联想能力是很强的，这就导致强势股纷纷获利回吐，建新等也是因为这个原因，但涨幅大的股票一般内在质地都是很好的，通过这样技术性休整也是有利于中线继续走高，为此对于不破位的强势股调整要理性对待，好比新安股份 ...展开全文c', '2018-07-23 01:56:42')
('今日调仓603939益丰药房。', '2018-07-22 23:11:39')
('新股上午下午申购时间点曝光，中签率高达202%，坚持终将有回报 $科远股份 sz002380$ $博敏电子 sh603936$ $高科石化 sz002778$ $益丰药房 sh603939$ 姚晓浪的秒...', '2018-07-22 16:33:31')
('一个小时被三次电话吵醒，人都会炸毛都很礼貌拒绝了不购买。益丰大药房明显就是在骚扰顾客', '2018-07-20 02:12:16')
('发布了头条文章：《文轩论股：岭南股份+恒星科技+长城汽车+益丰药房，七月底或将这样走》 $岭南股份 sz002717$ $上证指数 sh000001$ #股票分析# #股票# #牛股# |文轩论股：...', '2018-07-19 03:57:54')
('网页链接 今日停复牌沪市蒙电转股停牌起始日2018年7月19日。中体产业、盛屯矿业、东方银星[股评]、益丰药房停牌终止日2018年...|股海导航 7...', '2018-07-17 04:04:15')
('上午小赚出益丰药房，入彤程新材603650，+1。过山车走势，大起大落。', '2018-07-17 03:51:21')
('股市永不坑人的黄金铁律：股票七不买三不卖，句句经典，永珍藏 $智动力 sz300686$ $宏创控股 sz002379$ $益丰药房 sh603939$ $京能置业 sh600791$ 我的小蜗牛...', '2018-07-17 03:38:06')
('益丰药房今日2018.7.17总市值238亿约35亿美元，对标cvs700亿美元（曾达1千亿美元市值）有20倍空间！中信寻找世界级企业第一个行业——医药零售（连锁药店）！今年择机买入并持有！让历史告诉未来！立此存证！『中信证券：A股的“药” 不能停』|中信证券：...', '2018-07-17 01:10:56')
('我刚刚调仓了微博股票组合网页链接，以成交价64.65买入$益丰药房 sh603939$。', '2018-07-16 23:13:12')
('年初,咱们看好的佳发教育,益丰药房,还有那一拨的长春高新,涨得是真不错啊.', '2018-07-16 11:17:47')
('周一，发《按图索骥看消费》 -----------早上公布了2018年上半年的经济数据，也公布了老百姓消费中的各项占比。要想投资赚钱，就等知道老百姓喜欢什么，爱往什么地方花钱。-----------算一算比重，就知道，投资应该在向哪个方向投。 |按图索骥看...', '2018-07-16 22:50:19')
('发布了头条文章：《今天大哥干这个（20180717）》 #益丰药房 sh603939[股票]# |今天大哥干...', '2018-07-16 21:14:31')
('明日关注以下几只强势股票002770科迪乳业000676智度股份600682南京新百603939益丰药房300348长亮科技有望再次冲击涨停板! |武汉·狮子...', '2018-07-16 10:11:48')
('今天的涨停烂板股出来了，只有4个。$宝泰隆 sh601011$ $南京新百 sh600682$ $益丰药房 sh603939$ $安井食品 sh603345$', '2018-07-16 07:19:51')
('涨停板上清一色流通市值100亿以内小盘股，多是十几二十亿的票。超过100亿共四只南京新百、中兴通讯是算超跌反弹的，剩下两个是益丰药房和盛屯矿业。大蓝筹此一时彼一时啊', '2018-07-13 10:50:20')
('后知后觉[不知道应该用什么表情]', '2018-07-16 03:44:47')
('上午出南京证券，+2。出扬帆新材，+4.5。下午开板入部分益丰药房603939，微赚。明天大概率再板。明早看看另一个新目标竞价会不会给低开低吸机会。', '2018-07-13 03:41:40')
('今早入南京证券601990，+1.5。入扬帆新材300637，+3。都是盘中冲高回落，周一若无更好目标，就守到好的卖点。', '2018-07-16 03:12:48')
('发布了头条文章：《皓轩论股：【新安股份+益丰药房+四方达+先锋新材】》 $益丰药房 sh603939$ $sfd#\\股票分析# #股票# #上证指数 sh000001[股票]# |皓轩论股：...', '2018-07-16 01:41:17')
('上周五已经提醒过大家，不适合加仓，风险度都走到高位。所以今日调整也在情理之中。我们来看看目前加仓的前十：益丰药房（这个是去年跟老百姓、泰格医药一起关注的）、宋城演艺（最近关注的优秀股）、贵州茅台、完美世界、石基信息（关注的老朋友）、华兰生物、中际旭创、中信通讯、华帝股份、国瓷材料 ...展开全文c', '2018-07-16 00:21:52')
('【午评】指数或有反复 两大板块可以继续关注A股早盘低开震荡，上证指数回抽2804点企稳上行，创业红盘报收，上证50偏弱，板块方面北斗导航、芯片、5G等概念领涨，这里给大家的生物制药、医疗器械18只股票全线走强，益丰药房涨停，三六九等商板块也强于大盘，符合预期。从K线组合上看，短线仍有可能 ...展开全文c', '2018-07-15 23:57:12')
('发布了头条文章：《益丰药房（603939）： 主力又有新动向？后期走势重磅揭秘》 $益丰药房 sh603939$ \ue627 股票分析 #财经头条# |益丰药房（...', '2018-07-15 23:37:19')
('【停牌个股】无【复牌个股】华闻传媒、东方银星、中体产业、哈工智能、益丰药房、华鹏飞、茂业通信、盛屯矿业、海达股份', '2018-07-15 22:39:31')
('发布了头条文章：《主力巨资建仓：风华高科 宏达电子 星云股份 益丰药房》 $风华高科 sz000636$ $宏达电子 sz300726$ $星云股份 sz300648$ $益丰药房 sh603939$ \ue627 股票分析 \ue627 微博股票 #财经头条文章# #个股专业点评# \ue627 头条文章 |主力巨资建...', '2018-07-15 21:59:06')
('【今日复牌】中体产业、华闻传媒、茂业通信、盛屯矿业、哈工智能、东方银星、益丰药房、海达股份、华鹏飞。【限售股解禁】中国中铁、三爱富、张家界、宝塔实业、联明股份、来伊份、鼎信通讯、伟星股份、软控股份、威海广泰、飞马国际、东方雨虹、隆华节能、华灿光电、华大基因。 ...展开全文c', '2018-07-15 21:24:19')
('【停/复牌、解禁股数据】 复牌个股：东方银星、益丰药房、中体产业、盛屯矿业、东方银星、海达股份、哈工智能、华闻传媒、茂业通信、华鹏飞 停牌个股：暂无 解禁个股：暂无 （注：以上数据截至昨晚22：00，以沪深市场交易当日公布最终数据为准，仅供参考！）网页链接', '2018-07-15 21:07:08')
('#投资达人说# #今日看盘# @微博股票 $华帝股份 sz002035$ 华谊兄弟 sz300027$ 复牌个股：中体产业、华闻传媒、茂业通信、盛屯矿业、哈工智能、东方银星、益丰药房、海达股份、华鹏飞。限售股解禁：中国中铁、三爱富、张家界、宝塔实业、联明股份、来伊份、鼎信通讯、伟星股份 ...展开全文c', '2018-07-15 20:52:08')
('2018.7.16#明日复牌#1. 益丰药房：拟13.8亿收购新兴药房86.31%股权，新兴药房承诺2018至2020年实现净利润分别不低于6500 万元、8450 万元、9950 万元，标的资产16-18Q1净利润分别为4790万，6176万，1983万，医药零售营收都较为稳定，净利润可实现性强，且目前毛利低于同类上市公司7个百分点左右（标 ...展开全文c', '2018-07-15 08:53:10')
('益丰药房，现金+换股收购新兴药房 86.31%股权。其中，以现金方式购买新兴药房 48.96%股权，在上市公司股东大会审议通过且经营者集中审查通过后实施；以发行股份方式购买新兴药房 37.35%股权，在获得公司股东大会审议通过、经营者集中审查通过及中国证监会核准后实施。现金收购是后续发行股份收购剩余股 ...展开全文c', '2018-07-15 08:39:02')
('股市唯一不骗人“换手率”口诀，过了今天永久删除，建议珍藏！ $得利斯 sz002330$ $苏泊尔 sz002032$ $益丰药房 sh603939$ $美的集团 sz000333$ yokki阳sup...', '2018-07-15 07:26:41')
('药店行业加速整合，龙头能否复制苏宁当年辉煌@今日话题 $一心堂(SZ002727)$ $老百姓(SH603883)$ $益丰药房(SH603939)$ 药品属性特殊，医药电商受限多，线下零售药店难以被电商取代。...（ 分享自@雪球 客户端药店行业加速整合，龙头能否复制苏宁当年辉煌 ） |药店行业加...', '2018-07-13 00:30:17')
('股市里最后可信MACD口诀：“正区死叉”，看跌；负区死叉”，看涨 $南威软件 sh603636$ $*ST慧业 sz000816$ $光华科技 sz002741$ $益丰药房 sh603939$ 小正太Ente...', '2018-07-12 18:46:36')
