('纽威股份 德宏股份 盛洋科技 健友股份！ #科信技术 sz300565[股票]# #寒锐钴业 sz300618[股票]# #朗玛信息 sz300288[股票]# 许楚沛分析...', '2018-07-24 10:24:50')
('德宏股份 盛洋科技 健友股份 家家悦 香飘飘 塞力斯 股海大咖的...', '2018-07-23 23:23:40')
('A股第一芯片71跌至3元，机构豪掷76亿锁仓，有望超华锋股份 $掌趣科技 sz300315$ $盛洋科技 sh603703$ $国中水务 sh600187$ $深康佳B sz200016$ 邹亦梧看世...', '2018-07-23 14:57:18')
('我刚刚调仓了微博股票组合网页链接，以成交价9.15买入$盛洋科技 sh603703$。', '2018-07-22 23:29:42')
('盲目没有方向吗？指导后市如何操作，投资股票可以加wei信：371540346，指导买卖点和解套方法！山东华鹏(sh603021) 大豪科技(sh603025) 福鞍股份(sh603315) 派思股份(sh603318) 珍宝岛(sh603567) 盛洋科技(sh603703)', '2018-07-22 22:28:33')
('发布了头条文章：《布局信号：603703盛洋科技+600433冠豪高新，后市详细操作策略》 $盛洋科技 sh603703$ $冠豪高新 sh600433$ #财经头条文章# #热门股票推荐# #股票分析# |布局信号：...', '2018-07-22 04:40:08')
('发布了头条文章：《A股开启暴涨模式：万年青 华凯创意 盛洋科技 万通智控》$万年青 sz000789$ $华凯创意 sz300592$ $盛洋科技 sh603703$ $万通智控 sz300643$ \ue627 微博股票 |A股开启暴...', '2018-07-21 03:36:34')
('航天工程 纽威股份 德宏股份 盛洋科技 股海大咖的...', '2018-07-20 02:33:19')
('发布了头条文章：《盛洋科技603703：最新消息流出，99％散户还在茫然！》$盛洋科技 sh603703$\ue627 微博股票股票[超话]#股票最热门#微博股票热议榜#股市~a股~大盘~股票#热门股票推荐#热门股票点评#热门牛股票点评# |盛洋科技60...', '2018-07-19 22:57:14')
('发布了头条文章：《盛洋科技603703 ：主力洗盘筑底散户竟毫不知情，此支撑位将至关重要》$盛洋科技 sh603703$ #盛洋科技 sh603703[股票]#微博股票[超话]# |盛洋科技60...', '2018-07-19 10:44:25')
('一旦出现“出水芙蓉”买入法，分分钟找准买点，在风口猪都会飞！ $神州B sz200018$ $瑞尔特 sz002790$ $盛洋科技 sh603703$ $铁岭新城 sz000809$ L-花花-V幸...', '2018-07-19 03:59:05')
('发布了头条文章：《盛洋科技603703 ：主力洗盘筑底散户竟毫不知情，此支撑位将至关重要》 $盛洋科技 sh603703$ #盛洋科技 sh603703[股票]#股票分析[超话]#微博股票热议榜#热门股票点评\ue627 微博股票 |盛洋科技60...', '2018-07-19 02:52:19')
('发布了头条文章：《盛洋科技603703：最新消息流出，99％散户还在茫然！》$盛洋科技 sh603703$\ue627 微博股票热门股票推荐#微博热门股票#学点股票技术\ue627 股票股票最热门#微博股票热议榜#股市~a股~大盘~股票#学点股票技术#热门股票点评# |盛洋科技60...', '2018-07-18 21:52:56')
('PCB大面积涨停，这种板块整体涨停的现象很长时间没出现过了。17日，在中兴通讯4天3板的背景下，5G勉强涨停6只。昨天，4大游资从“中兴通讯”卷走5000万后，今天它的调整不是什么意外。任何热点不会这么快熄火，如果5G再出一只龙头的话，最有可能是飞荣达。昨天，在意华股份、盛洋科技哑火之后，5G ...展开全文c', '2018-07-18 09:51:41')
('发布了头条文章：《盛洋科技603703+星湖科技600866：庄家70亿“围剿”！定成7月首席大妖》 $盛洋科技 sh603703$ $星湖科技 sh600866$ $上证指数 sh000001$ #股票分析# #今日看盘# #短线牛股# |盛洋科技60...', '2018-07-18 08:51:41')
('发布了头条文章：《游资怒爆加持，预警18年暴涨黑马？盛洋科技+美思德+华脉科技》 $盛洋科技 sh603703$ $美思德 sh603041$ $华脉科技 sh603042$ #股票分析# #今日看盘# #短线牛股# |游资怒爆加...', '2018-07-18 02:40:54')
('发布了头条文章：《月落独家个股追踪：陇神戎发+盛洋科技+九鼎投资+汉森制药》 $陇神戎发 sz300534$ $盛洋科技 sh603703$ $九鼎投资 sh600053$ $汉森制药 sz002412$ #股票分析# |月落独家个...', '2018-07-18 01:23:46')
('昨日复盘指数低开后，在权重带动下继续弱势调整。尾盘创业收红，情绪略有回暖，涨一天跌三天的行情。题材高低位切换，其实昨天一个数据我忘了说，连板股炸板有10支，今天是6支。注意，是连板股，专门坑杀接力资金。在这种环境下，顶一字就砸，比如今天的盛洋科技，都知道三板成妖，那三板开始收割。 ...展开全文c', '2018-07-17 19:49:07')
('$盛洋科技 sh603703$ 这只就坑人了，打板的明天核按钮，基本宣告结束', '2018-07-17 06:33:16')
('富勒烯概念：通产丽星（4板）集合竞价一字板超预期，盘中被砸快速回封，亿利达（2板）助攻；5G概念：中兴通讯（1+2板）纵横通讯（2板+次新）飞荣达（2板+业绩预增）地天板：三变科技（3+1板）其他：金安国纪（2板+半导体）南京新百（2板+零售）意华股份，盛洋科技，京威股份冲击4板都被砸，中能电 ...展开全文c', '2018-07-17 06:07:45')
