('盲目没有方向吗？指导后市如何操作，投资股票可以加wei信：371540346，指导买卖点和解套方法！巨星科技(sz002444) 中南文化(sz002445) 盛路通信(sz002446) 晨鑫科技(sz002447) 中原内配(sz002448) 国星光电(sz002449)', '2018-07-24 08:56:21')
('金洲管道 巨星科技 中南文化 盛路通信 壹桥股份 中原内配 股海大咖的...', '2018-07-24 03:42:01')
('北京女股神终把“量价关系”讲明白了，牢记8句你离股神就很近了 $中超控股 sz002471$ $海印股份 sz000861$ $盛路通信 sz002446$ $金贵银业 sz002716$ 论A股堂的...', '2018-07-23 14:41:20')
('大庆一老教授终于把“内盘外盘”讲清楚了，学会后，股市是提款机 $盛路通信 sz002446$ $瑞丰高材 sz300243$ $科蓝软件 sz300663$ $银轮股份 sz002126$ QueenieL的...', '2018-07-22 21:45:08')
('发布了头条文章：《盛路通信002446+君正集团601216：资金所在，趋势所向！》 $上证指数 sh000001$ $盛路通信 sz002446$ $君正集团 sh601216$ |盛路通信00...', '2018-07-22 02:05:42')
('发布了头条文章：《盛路通信（002446）：短期调整 不改中长期向好趋势》 $盛路通信 sz002446$ \ue627 股票分析 #财经头条文章# |盛路通信（...', '2018-07-22 01:34:50')
('常发股份 长江润发 盛路通信 长高集团 #微博股票# #股票# #实盘# #创业黑马# #新浪理财师# #牛股推荐# #A股# #股票分析# #投资达人说# #财经头条文章# #上证指数 sh000001# 邬过荡邬的...', '2018-07-19 22:17:43')
('#巨星科技 sz002444[股票]# #中南文化 sz002445[股票]# #盛路通信 sz002446[股票]# #晨鑫科技 sz002447[股票]# 房地产闹了个国际大笑话，高层泄露年前撤离名单：蓝光发展 泰禾集团 绿地控股 上官诚论股...', '2018-07-19 01:33:47')
('关注4G5G相关个股：$盛路通信 sz002446$亚光科技 sz300123$金信诺 sz300252$国睿科技 sh600562$声明：本文所涉及的任何个股，板块均为交流学习之用，不作为买卖依据，不构成推荐或任何投资建议，据此操作，盈亏自负！', '2018-07-18 20:31:35')
('盛路通信中一大堆呀，老婆的基本账户和信用账户9%的机会都中签，一个人就中了14签，为了1签50元目标，看来得忐忑1个月了。今天的德尔放弃了，后天的威帝、万顺也要好好看看再说。', '2018-07-18 08:38:49')
('三元达 胜利精密 盛路通信 松芝股份 *ST天业 邬过荡邬的...', '2018-07-18 05:07:04')
('上海一70岁老博士直言：仅用“四阴收阳”买入法盈利至今，宜珍藏 $盛路通信 sz002446$ $爱婴室 sh603214$ $美年健康 sz002044$ $吴通控股 sz300292$ 3305079245...', '2018-07-18 03:58:18')
('【盛路通信拟发行10亿元可转债加码主业 网上中签率0.61%】盛路通信（002446）7月18日发布了公司可转债网上中签率及优先配售结果。根据发行结果，公司此次10亿元可转债，原股东优先配售占本次发行总量的13.90%，网上向社会公众投资者发行数占本次发行总量的86.10%，网上中签率为0.61%。 ...展开全文c', '2018-07-18 03:34:04')
('【又多了一座就业意向城市】昨日，“魅力佛山行”2018年全国部分高校师生体验营活动走进三水区，来自全国30所高校的150名师生参观、了解三水的制造企业和生态环境。昨日上午，来自清华大学、北京大学、浙江大学、西安交通大学等全国30所高校的教师和学生代表来到广东盛路通信科技股份有限 ...展开全文c', '2018-07-18 03:00:03')
('A股第一芯片71跌至3元，机构豪掷76亿锁仓，有望超华锋股份 $翰宇药业 sz300199$ $盛路通信 sz002446$ $杭州解百 sh600814$ $日月股份 sh603218$ 小正太Ente...', '2018-07-17 13:29:51')
('盛路通信可转债网上中签率为 0.61%。一个账户至少中6个，需要6000元。中一大堆了，大盘可别大幅下跌，我一签也就是想要个50元而已。', '2018-07-17 07:16:58')
('发布了头条文章：《盛路通信(002446)：5G龙头9319万重仓，预计本周将迎来反弹》 #麒麟财经# #投资达人# #中美贸易战# $盛路通信 sz002446$ 猛狮科技 sz002684$ |盛路通信(0...', '2018-07-17 04:59:11')
('#盛路通信 sz002446[股票]# 目前整体趋势不错，成交量在逐步放大，这个股还可以继续持有', '2018-07-16 21:27:03')
('股市成功率极高的获利指标——CCI, 准到令人不敢相信, 建议珍藏 $盛路通信 sz002446$ $泸州老窖 sz000568$ $振德医疗 sh603301$ $星网宇达 sz002829$ 小正太Ente...', '2018-07-16 15:32:07')
('股市永不坑人的黄金铁律：股票七不买三不卖，句句经典，永珍藏 $迎驾贡酒 sh603198$ $三一重工 sh600031$ $盛路通信 sz002446$ $方大特钢 sh600507$ 我的小蜗牛...', '2018-07-16 12:27:20')
('概念方面，卫星导航携手5G逆势拉升，中兴通讯、纵横通信、创意信息涨停，盛路通信、欣天科技、科信技术均有不同程度拉升；宽带提速联袂云计算花开两朵，中国软件、太极股份均有不俗表现。板块方面，银行、保险、航空、建材、汽车均跌幅靠前，华鹏飞跌停，吉祥航空、中国国航纷纷走弱。', '2018-07-16 09:59:39')
