('神秘机构53亿抢筹, 中国芯片最强龙头诞生, 18年有望成摇钱树 $亚太科技 sz002540$ $粤泰股份 sh600393$ $福瑞股份 sz300049$ $迪安诊断 sz300244$ 姚晓浪的秒...', '2018-07-24 10:55:28')
('我刚刚调仓了微博股票组合网页链接，以成交价11.51买入$福瑞股份 sz300049$。', '2018-07-23 21:39:36')
('我围观了@幽灵礼物 的回答，该问题价值299.00元，围观仅1元，快来一起围观~ 微博问答', '2018-07-23 19:36:24')
('特少人知道“新股申购”的中签秘密，熟背5大口诀，越简单越可靠 $锦江股份 sh600754$ $福瑞股份 sz300049$ $中国平安 sh601318$ $北纬科技 sz002148$ 马旷盈的秒...', '2018-07-23 14:42:34')
('操盘手交易员自述：这辈子炒股只需要做精一只股，赢得盆满钵满 $*ST皇台 sz000995$ $天通股份 sh600330$ $一汽富维 sh600742$ $福瑞股份 sz300049$ 论A股堂的...', '2018-07-23 14:35:46')
('发布了头条文章：《福瑞股份300049：多头庄家在出击，后市应该如何演绎？》\ue627 财经头条文章 \ue627 股票分析 $福瑞股份 sz300049$ 福瑞股份300049：多头庄家在出击，后市应该如何演绎？ |福瑞股份30...', '2018-07-23 07:24:15')
('发布了头条文章：《300049 福瑞股份：主力疯狂流进，后市有望暴涨来袭！》 #微博股票# #股票短中长线# $福瑞股份 sz300049$ |300049 福...', '2018-07-23 06:34:21')
('【重要提醒】今日限售股解禁：福成股份、张家界、鸿达兴业、惠威科技、卫信康、广信材料、众合科技、三维丝、九鼎新材、福瑞股份', '2018-07-22 21:46:23')
('限售股解禁：$福成股份 sh600965$ 、$张家界 sz000430$ 、$迪马股份 sh600565$ 、东睦股份、众合科技、福瑞股份、大豪科技、至纯科技、卫信康、鸿达兴业、芭田股份、九鼎新材、三维丝、奥克股份、汉得信息、台海核电、赣锋锂业、富安娜、建研集团、瑞丰光电、中颖电子、赢时胜、广信材料、普路通、惠威 ...展开全文c', '2018-07-22 20:59:26')
('佛慈制药 奋达科技 福瑞股份 福星晓程 邬过荡邬的...', '2018-07-22 01:26:37')
('飞利信 佛慈制药 奋达科技 福瑞股份#微博股票# #股票# #实盘# #创业黑马# #新浪理财师# #牛股推荐# #A股# #股票分析# #投资达人说# #财经头条文章# #上证指数 sh000001# 邬过荡邬的...', '2018-07-20 01:17:34')
('#台基股份 sz300046[股票]# #天源迪科 sz300047[股票]# #合康新能 sz300048[股票]# #福瑞股份 sz300049[股票]# 中兴通讯000063：募增130亿资金，市值蒸发300亿，白马股也有“大坑”！ 上官诚论股...', '2018-07-19 23:23:16')
('香港一老教授终把“换手率”讲透彻了，熟记5句后将实现千万梦想 $安泰科技 sz000969$ $广济药业 sz000952$ $福瑞股份 sz300049$ $利尔化学 sz002258$ 李小麦同学...', '2018-07-19 22:51:12')
('王者指标“线上阴线买，线下阳线抛”，一旦领悟，股市就是印钞机 $福瑞股份 sz300049$ $中航重机 sh600765$ $积成电子 sz002339$ $张家港行 sz002839$ 3305079245...', '2018-07-19 06:02:20')
('$福瑞股份(SZ300049)$ 福瑞股份，历经三年磨砺，一举成妖，再现辉煌。妖股具备哪些特征和共性：一是实际流通盘小,一般都在2-3亿股左右,甚至会更小.实际流通盘就是在流通股中扣掉那些大股东或战略投资者持股不动的筹码.盘子越小上... 分享自@雪球 |财富自由VI...', '2018-07-18 22:23:40')
('【多家药企转让或终止收购医疗资产】近日，九芝堂、沃森生物、福瑞股份、中珠医疗等上市公司接连转让或放弃收购相关医药及医疗健康资产。业内人士表示，在当前市场背景下，生物药研发高投入、高风险的特点对上市公司的现金流提出较大挑战。#药企新闻# 网页链接', '2018-07-18 01:30:03')
('发布了头条文章：《重大利好消息：福瑞股份 开山股份 浙江众成 集智股份》 \ue627 微博股票 #财经头条# #上证快讯# $福瑞股份 sz300049$ $开山股份 sz300257$ $浙江众成 sz002522$ $集智股份 sz300553$ |重大利好消...', '2018-07-17 06:59:52')
('【多家药企转让或终止收购医疗资产】近日，九芝堂、沃森生物、福瑞股份、中珠医疗等上市公司接连转让或放弃收购相关医药及医疗健康资产。业内人士表示，在当前市场背景下，生物药研发高投入、高风险的特点对上市公司的现金流提出较大挑战。业内人士表示，由于研发体系较为庞大和复杂，一款生物医药品种 ...展开全文c', '2018-07-16 21:14:51')
('九芝堂、沃森生物、福瑞股份、中珠医疗等上市公司接连转让或放弃收购相关医药及医疗健康资产。通过并购重组交易虚拟业绩增长的路走不通了。现在股市和证监会都需要企业实实在在的业绩增长，以前假大空那套割韭菜不行了，既然割不了韭菜又增加债务，肯定要放弃。', '2018-07-16 20:32:58')
('发布了头条文章：《福瑞股份(300049)：最新消息流出，后势能否漫步云端！》 #福瑞股份 sz300049# $福瑞股份 sz300049$ |福瑞股份(3...', '2018-07-16 04:04:23')
('发布了头条文章：《安顺论股：吉大通信+福瑞股份+南都物业+嘉泽新能》$吉大通信 sz300597$ $上证指数 sh000001$ \ue627 股票 #今日看盘# |安顺论股：...', '2018-07-16 03:25:18')
('发布了头条文章：《主力巨资建仓：福瑞股份 浙江鼎力 诚迈科技 创源文化 》 $福瑞股份 sz300049$ $浙江鼎力 sh603338$ $诚迈科技 sz300598$ $创源文化 sz300703$ \ue627 股票分析 \ue627 微博股票 #财经头条文章# #个股专业点评# \ue627 头条文章 |主力巨资建...', '2018-07-15 22:14:59')
('发布了头条文章：《福瑞股份(300049)：大数据发展势头稳定，新一轮反弹即将到来》 #麒麟财经# #投资达人# #中美贸易战# $福瑞股份 sz300049$ 猛狮科技 sz002684$ |福瑞股份(3...', '2018-07-15 21:40:41')
('股票涨停预测，7月16日，中能电气（300062），星云股份（300648）、风华高科（000636）、福瑞股份（300049）、长盛轴承（300718）由牛人推荐。P.S.不作为投资建议参考，仅作为实验记录', '2018-07-15 21:38:06')
('沪指低开，锦纶板块领涨。昨日热点题材中，业绩预增风华高科涨4%、福瑞股份涨4%，5G意华股份涨9%、锐科激光涨1%，医药陇神戎发跌3%，次新股绿色动力跌2%，高送转星云股份涨4%、集泰股份跌2%。天然气胜利股份涨1%，人工智能诚迈科技涨3%。', '2018-07-15 21:30:42')
('早上集合竞价看天华超净，如果一字板，大单封死，就去星云股份，顺带可以看周五炸板的几个票子，如果没有就是低于预期了，就看福瑞股份和海思科，这是超短，趋势就看600426华鲁恒升，很多人吧风华高科当成是方大碳素，走加速趋势，如果今天还板，就看洁美科技，三环集团，火炬电子，都mlcc的概念', '2018-07-15 20:55:40')
('发布了头条文章：《皓轩论股：【意华股份+东宝生物+福瑞股份+山东华鹏】》 $意华股份 sz002897$ #股票分析# #股票# |皓轩论股：...', '2018-07-15 05:06:56')
('中国股市又一新股跌破发行价，股民：满仓48万，坐等股价火山爆发$宜宾纸业 sh600793$ $至纯科技 sh603690$ $福瑞股份 sz300049$ $英特集团 sz000411$ 蒋涛分析的...', '2018-07-15 01:50:41')
('散户一旦熟记这六大低吸绝招 跟庄吃肉简直易如反掌#合康新能 sz300048[股票]# sz300048##福瑞股份 sz300049##东方财富sz300059# 乔继凤分析...', '2018-07-14 21:03:00')
('杭州一女博士扬言：28年坚持“七不买”口诀，盈利至今，建议收藏 $海伦哲 sz300201$ $联美控股 sh600167$ $皇庭国际 sz000056$ $福瑞股份 sz300049$ 我的小蜗牛...', '2018-07-14 11:11:26')
('发布了头条文章：《福瑞股份300049主力暗中酝酿惊天阴谋，散户提高警惕？》 #福瑞股份 sz300049[股票]# #大盘~股市~股票~证券~中线~短线# #微博股票热议榜# |福瑞股份30...', '2018-07-14 09:41:59')
('龙头股战法：杭州高新 赛轮金宇 厦门港务 钱江摩托 $杭州高新 sz300478$ $赛轮金宇 sh601058$ $厦门港务 sz000905$ $钱江摩托 sz000913$ #福瑞股份 sz300049[股票]# #恒康医疗 sz002219[股票]# 令哥复盘的...', '2018-07-13 10:13:07')
('行情暴跌个股筹码已经出现了异常，不知道是出是留?投资股票可以加wei信：wangshi5202010，指导最佳买卖点和解套方法，总可以为你指点迷津，天源迪科(sz300047) 赛为智能(sz300044) 台基股份(sz300046) 合康新能(sz300048) 世纪鼎利(sz300050) 福瑞股份(sz300049)', '2018-07-13 09:04:58')
