('V+两只\ue627 短线牛股 $飞荣达 sz300602$ $纵横通信 sh603602$ 的上涨逻辑详解，品型战法，与龙虎榜的实战应用，欢迎大家参考，学习，顺手点赞！ 宇辉战舰的...', '2018-07-16 22:58:44')
('市场奖励勇士，三变科技从-10%到+10%，杂技表演；通产丽星四连板，璀璨明星，富勒烯不简单；中能电气突袭三板被砸；石墨烯强势，5G通信有点动静；市场比较虚弱，只适合看连续剧今日强股：金安国纪，中超控股，大富科技，亿利达，斯太尔，东方网络，纵横通信，中兴通讯，飞荣达，凯瑞德等今天没抢到 ...展开全文c', '2018-07-17 03:00:03')
('发布了头条文章：《7.16复盘日记以及总结》 不要怂。明天就是干。。。买买买买阿$纵横通信 sh603602$ $美格智能 sz002881$ $中兴通讯 sz000063$ #每日复盘# #周一复盘日记# #hi小姐带你复盘# |7.16复盘日...', '2018-07-16 05:22:42')
('$丽岛新材 sh603937$ $风华高科 sz000636$ $彩讯股份 sz300634$ $纵横通信 sh603602$ $庄园牧场 sz002910$ $爱婴室 sh603214$ 刘庆谈财的...', '2018-07-24 05:11:33')
('炒股能发财的只有一种人：记住了这些固定铁律，你就可以快速盈利#宝泰隆 sh601011[股票]# #邦讯技术 sz300312[股票]# #纵横通信 sh603602[股票]# 智超财经的...', '2018-07-24 05:02:10')
('创业板强势站上短期均线，这么选股盈利概率高#宝泰隆 sh601011[股票]# #邦讯技术 sz300312[股票]# #纵横通信 sh603602[股票]# 智超财经的...', '2018-07-24 01:57:22')
('炒股只赚不赔的分时图选股法，学会精准捕捉主升浪！#宝泰隆 sh601011[股票]# #邦讯技术 sz300312[股票]# #纵横通信 sh603602[股票]# 智超财经的...', '2018-07-24 01:50:01')
('引力传媒 广信股份 永艺股份 再升科技 纵横通信 博天环境 股海大咖的...', '2018-07-23 23:19:58')
('中国散户的获利之道：学好王者指标，让自己也成为10%赢家之列！#宝泰隆 sh601011[股票]# #邦讯技术 sz300312[股票]# #纵横通信 sh603602[股票]# 智超财经的...', '2018-07-23 23:06:11')
('学会就能赚！永不过时的短线选股战法——单阳不破#宝泰隆 sh601011[股票]# #邦讯技术 sz300312[股票]# #纵横通信 sh603602[股票]# 智超财经的...', '2018-07-23 22:57:11')
('我刚刚调仓了微博股票组合网页链接，以成交价32.85卖出$纵横通信 sh603602$。', '2018-07-23 22:25:05')
('7月24号关注个股：1:300743天地数码，次新科技股，股性活跃，今天突破71.4可进场2:603602纵横通信，通讯设备概念股，回踩32.7不跌破可关注3:600231凌钢股份，雄安新区钢铁个股，昨天放出巨量，今天突破3.6可关注', '2018-07-23 21:17:06')
('【量能递增】连续二日量能增加权重一带一路领涨买入$纵横通信 sh603602$ (低吸)卖出$永和智控 sz002795$', '2018-07-23 20:25:25')
('19岁股市奇才豪言：四阴收阳选股是100%盈利法，4分钟获28次掌声 $纵横通信 sh603602$ $金螳螂 sz002081$ $云南能投 sz002053$ $三星新材 sh603578$ 马旷盈的秒...', '2018-07-23 14:48:01')
('股票一旦出现“线上阴线”试盘形态，必是大牛股，成功率百分百 $祥源文化 sh600576$ $纵横通信 sh603602$ $津滨发展 sz000897$ $戴维医疗 sz300314$ 马旷盈的秒...', '2018-07-23 11:29:12')
('近期纵横通信走出了比较经典的反包形态：纵横通信为5g前期人气明星股，曾经股性较好，近期复盘补跌后竞价被资金翘板，走出日内巨振走势：网页链接', '2018-07-23 09:54:08')
('用MACD选股，简单暴力，花五分钟学，终生受益#宝泰隆 sh601011[股票]# #邦讯技术 sz300312[股票]# #纵横通信 sh603602[股票]# 智超财经的...', '2018-07-23 09:07:35')
('医药又一新龙头横空出世，利润暴涨982倍，或将碾压士兰微成妖 $海利尔 sh603639$ $纵横通信 sh603602$ $联化科技 sz002250$ $越博动力 sz300742$ yokki阳sup...', '2018-07-23 07:20:57')
('发布了头条文章：《纵横通信603602：主力再次耍阴谋,散户千万规避陷阱!》\ue627 财经头条文章 \ue627 股票分析 $纵横通信 sh603602$ 纵横通信603602：主力再次耍阴谋,散户千万规避陷阱! |纵横通信60...', '2018-07-23 06:49:10')
('价值连城的财富经：读懂你便知道换手率高代表什么了！字字珠玑！#宝泰隆 sh601011[股票]# #邦讯技术 sz300312[股票]# #纵横通信 sh603602[股票]# 智超财经的...', '2018-07-23 05:29:59')
