('我刚刚调仓了微博股票组合网页链接，以成交价23.12买入$美亚光电 sz002690$。', '2018-07-25 01:53:51')
('$美亚光电 sz002690$ 也该下来了。总不能别人跌了一个月，你涨了一个月，现在还继续涨', '2018-07-24 07:16:23')
('发布了头条文章：《美亚光电002690：主力暗藏深度杀机，小散本周不得不防！》 \ue627 财经头条文章 \ue627 股票分析 $美亚光电 sz002690$ 美亚光电002690：主力暗藏深度杀机，小散本周不得不防！ |美亚光电00...', '2018-07-24 05:17:17')
('发布了头条文章：《美亚光电+开立医疗：庄家逆天改命！机构40亿抢筹，18年绝世妖王起爆》 $美亚光电 sz002690$ $开立医疗 sz300633$ #今日看盘# #股票# |美亚光电+...', '2018-07-24 02:27:58')
('花费￥88.00向@我是李萤 提问 "老师好，美亚光电看你分析的买了已经盈利不少了，我想请教德尔未来和..."微博问答', '2018-07-23 10:35:56')
('深夜重大利好：熊猫金控 太阳电缆 圆通速递 美亚光电 $拓普集团 sh601689$ $亚太科技 sz002540$ $瀚蓝环境 sh600323$ $航天工程 sh603698$ 姚晓浪的秒...', '2018-07-23 09:33:01')
('海特高新过前高15.58持股，下一目标20元。过不了前高减仓。美亚光电，没买的就别买了，成本低的可以继续拿。反正都是盈利的，无所谓，随便玩。新的标的已经选好，我在等待继续错杀的机会。望周知', '2018-07-23 03:42:02')
('发布了头条文章：《后势惊人已成定局：华夏幸福 美亚光电 紫光国微 上海银行》$华夏幸福 sh600340$ $美亚光电 sz002690$ $紫光国微 sz002049$ $上海银行 sh601229$ #上证快讯# |后势惊人已...', '2018-07-23 03:23:28')
('一家医药上市公司出现大的黑天鹅，整个医疗行业恐惧，震撼。许多时候疯狂的上涨一旦非理性了，就可以考虑卖出涨太多了风险就来了，一旦出现黑天鹅，下跌也是很快的。理性对待上涨和下跌#爱尔眼科 sz300015[股票]##贵州茅台 sh600519[股票]##通策医疗 sh600763[股票]##美亚光电 sz002690[股票]# ...展开全文c', '2018-07-23 00:34:07')
('我刚刚调仓了微博股票组合网页链接，委托卖出$美亚光电 sz002690$。', '2018-07-22 13:14:50')
('北京一老教授看破股市：27年坚持只做一种股票，学会后股市是印钞 $信捷电气 sh603416$ $中南传媒 sh601098$ $美亚光电 sz002690$ $佳沃股份 sz300268$ 邹亦梧看世...', '2018-07-22 12:08:16')
