('发布了头条文章：《皓轩论股：科力尔+美盛文化+新华保险+特尔佳》 $科力尔 sz002892$ #股票# #股票分析# #上证指数# |皓轩论股：...', '2018-07-23 04:32:09')
('股市永不骗人的黄金法则——买阴不买阳，卖阳不卖阴，逆市而动！$三晖电气 sz002857$ $南京港 sz002040$ $美盛文化 sz002699$ 晓枫投顾的...', '2018-07-23 03:14:26')
('机械第一股39跌至9元,遭大股东增持551万股,18年暴涨封妖已成定局 $*ST东电 sz000585$ $中环环保 sz300692$ $美盛文化 sz002699$ $福建金森 sz002679$ 姚晓浪的秒...', '2018-07-23 02:58:04')
('上海老股神：A股24年唯一盈利指标——CCI，字字抖金，速度珍藏 $开润股份 sz300577$ $美盛文化 sz002699$ $聚灿光电 sz300708$ $新北洋 sz002376$ 欧欧欧哈的...', '2018-07-23 02:18:13')
('1.淘票票“小聚场”升级上线2.阿里巴巴和腾讯计划入股WPP集团3.社保费2019年起由税务部门征收4.B站宣布将于10月6日在北京举办BML5.百度地图李莹：AI时代的地图更准确丰富易用6.“基于区块链技术的版权链运行平台”正式发布7.美盛文化：拟4亿元参与设立康元人寿 ...展开全文c', '2018-07-22 23:03:33')
('【美盛文化：拟投资4亿元参与设立人寿公司】7月22日，美盛文化发布公告，为提高公司持续盈利能力，该公司参与发起设立康元人寿保险股份有限公司，康元人寿注册资本为人民币20亿元，其中本公司出资人民币4亿元，占康元人寿注册资本的20%。', '2018-07-22 22:30:03')
('盲目没有方向吗？指导后市如何操作，投资股票可以加wei信：371540346，指导买卖点和解套方法！红旗连锁(sz002697) 美盛文化(sz002699) 博实股份(sz002698) 北信源(sz300352) 永贵电器(sz300351) 东华测试(sz300354)', '2018-07-22 21:44:16')
('美盛文化(002699)：拟4亿元参与设立康元人寿苏宁易购(002024)：子公司拟不超2.1亿美元参投云锋基金III温氏股份(300498)：子公司发起设立农业基金 预计总规模不超过10亿元台海核电(002366)：中广核“华龙一号”示范项目主管道成功发运航新科技(300424)：控股股东方面拟转让5%股份 引入战略投资者锦 ...展开全文c', '2018-07-22 21:29:22')
('美盛文化(002699)：拟4亿元参与设立康元人寿拟发起设立康元人寿保险股份有限公司，公司出资额为4亿元，占设立后康元人寿20%的股权。', '2018-07-22 19:33:08')
('发表了博文《周末公告汇总》兴发集团(600141)：子公司6.88亿元建设有机硅技术改造升级项目美盛文化(002699)：拟4亿元参与设立康元人寿万顺股份(300057)：就反倾销、反补贴事项起诉美国|周末公告汇...', '2018-07-22 11:22:30')
('发布了头条文章：《最新重磅牛股先知：恒瑞医药+马钢股份+美盛文化》 $恒瑞医药 sh600276$马钢股份 sh600808$美盛文化 sz002699$ # A股#股票[超话]# |最新重磅牛...', '2018-07-22 05:49:25')
('发布了头条文章：《遭各机构疯狂增持：恒瑞医药 荣之联 巨化股份 美盛文化》 $恒瑞医药 sh600276$ $荣之联 sz002642$ $巨化股份 sh600160$ $美盛文化 sz002699$ #个股专业点评# \ue627 微博股票 \ue627 股票分析 #财经头条文章# \ue627 头条文章 |遭各机构疯...', '2018-07-22 02:19:28')
('"尾盘买入选股”，记住一根均线"CCI"，学会出手就是涨停 $福晶科技 sz002222$ $*ST建峰 sz000950$ $厦门国贸 sh600755$ $美盛文化 sz002699$ 我的小蜗牛...', '2018-07-21 21:47:49')
('可燃冰又一新贵横空出世，中报业绩暴增994%，3月封成妖王 $美盛文化 sz002699$ $*ST天马 sz002122$ $平庄能源 sz000780$ $贵州燃气 sh600903$ 姚晓浪的秒...', '2018-07-20 21:08:24')
('发布了头条文章：《遭各机构疯狂增持：吉宏股份 美盛文化 保利地产 振芯科技》 $吉宏股份 sz002803$ $美盛文化 sz002699$ $保利地产 sh600048$ $振芯科技 sz300101$ #个股专业点评# \ue627 股票分析 \ue627 微博股票 \ue627 头条文章 #财经头条文章# |遭各机构疯...', '2018-07-20 02:03:56')
('发布了头条文章：《文轩论股：大恒科技+美盛文化+拉芳家化+晨光文具，七月底或将这样走》 $晨光文具 sh603899$ $上证指数 sh000001$ #股票分析# #股票# #牛股# |文轩论股：...', '2018-07-19 04:19:09')
('【凝心聚力新时代，砥砺奋进新征程】7月8日至7月12日，三峡大学经济与管理学院“前行者”暑期社会实践队开展了为期五天的调研活动，由新昌县人力资源和社会保障局郑主任协助进行调研活动。团队先后去到了美盛文化创意股份有限公司、万丰奥特控股集团、浙江五洲新春集团股份有限公司等7家不同 ...展开全文c', '2018-07-18 06:33:43')
('发布了头条文章：《A股最新走势分析：三七互娱+和晶科技+盐 田 港+美盛文化》 $三七互娱 sz002555$ $和晶科技 sz300279$ $盐田港 sz000088$ $美盛文化 sz002699$ #股票分析# |A股最新走...', '2018-07-18 04:20:36')
('我刚刚调仓了微博股票组合网页链接，以成交价15.36卖出$美盛文化 sz002699$。', '2018-07-17 21:38:13')
