('发布了头条文章：《豫金刚石300064：此股内幕消息泄露！神秘人45亿强行增持！必问鼎7月》 $豫金刚石 sz300064$ #股票# #大盘# #今日看盘# |豫金刚石30...', '2018-07-24 10:33:27')
('盲目没有方向吗？指导后市如何操作，投资股票可以加wei信：371540346，指导买卖点和解套方法！重庆水务(sh601158) 新北洋(sz002376) 国创高新(sz002377) 上海医药(sh601607) 天龙集团(sz300063) 豫金刚石(sz300064)', '2018-07-24 07:21:18')
('中能电气 天龙集团 豫金刚石 海兰信！#安琪酵母 sh600298[股票]# #达力集团 hk00029[股票]# #三峡新材 sh600293[股票]# 许楚沛分析...', '2018-07-24 04:50:10')
('广州股神：终于把“换手率”讲清楚了，过了今晚将删除，永珍藏 $豫金刚石 sz300064$ $万隆光电 sz300710$ $澄天伟业 sz300689$ $三维工程 sz002469$ Ida真是异...', '2018-07-23 23:57:27')
('发布了头条文章：《金力泰+豫金刚石：庄家阴谋耍诈，游资18亿加码！后势不可低估！》 $金力泰 sz300225$ $豫金刚石 sz300064$ #短线牛股# #股票分析# |金力泰+豫...', '2018-07-23 23:38:26')
('机构66亿底部抢筹,中国芯片最强龙头诞生,18年复制合肥城建飙涨 $现代制药 sh600420$ $万林股份 sh603117$ $青海春天 sh600381$ $豫金刚石 sz300064$ 姚晓浪的秒...', '2018-07-23 19:28:30')
('上海一女博士自白“内盘外盘”口诀，庄家听后跪求删帖，永久珍藏 $石化机械 sz000852$ $长生生物 sz002680$ $豫金刚石 sz300064$ $东江环保 sz002672$ L-花花-V幸...', '2018-07-22 23:33:22')
('20岁股市奇才豪言：盘口选股是100％盈利方法，5分钟获28次掌声 $新海宜 sz002089$ $漳泽电力 sz000767$ $豫金刚石 sz300064$ $深中华A sz000017$ 马旷盈的秒...', '2018-07-22 15:17:35')
('豫金刚石 海兰信 三川智慧 安诺其！#高澜股份 sz300499[股票]# #苏交科 sz300284[股票]# #生益科技 sh600183[股票]# 许楚沛分析...', '2018-07-22 07:46:46')
('发布了头条文章：《上汽集团+豫金刚石：遭庄家血洗！机构趁势40亿锁仓！必成18年最牛妖》 $上汽集团 sh600104$ $豫金刚石 sz300064$ $上证指数 sh000001$ #股票# #今日看盘# |上汽集团+...', '2018-07-22 07:30:48')
('发布了头条文章：《豫金刚石300064 ：主力暴力洗盘暗藏破风险，下周此点将至关重要》 $豫金刚石 sz300064$ #微博股票热议榜#微博股票[超话]\ue627 股票分析 |豫金刚石30...', '2018-07-22 06:59:00')
('发布了头条文章：《豫金刚石300064：主力运筹帷幄，巨资17亿加持！望成年度涨停潮首列！》 $豫金刚石 sz300064$ $上证指数 sh000001$ #股票分析# |豫金刚石30...', '2018-07-22 02:46:01')
('股市唯一不会骗人的指标——BOLL，句句经典，建议散户收藏！ $豫金刚石 sz300064$ $川仪股份 sh603100$ $德赛电池 sz000049$ $佐力药业 sz300181$ 李小麦同学...', '2018-07-21 21:50:47')
('发布了头条文章：《豫金刚石+广东甘化：主力源头查明,游资22亿建仓！后势被严重低估》 $豫金刚石 sz300064$ $广东甘化 sz000576$ $上证指数 sh000001$ #股票分析# |豫金刚石+...', '2018-07-21 01:14:01')
('发布了头条文章：《晓程科技+豫金刚石：游资拉升涅盘,游资9亿建仓！年度金妖领涨模式？》$晓程科技 sz300139$ $豫金刚石 sz300064$ $上证指数 sh000001$ #股票分析# |晓程科技+...', '2018-07-20 04:13:47')
('发布了头条文章：《豫金刚石300064：主力洗盘或是抄底良机？股民：站稳此支撑位再说》$豫金刚石 sz300064$\ue627 微博股票股票[超话]#股票最热门#微博股票热议榜#股市~a股~大盘~股票#热门股票推荐#热门股票点评#热门牛股票点评# |豫金刚石30...', '2018-07-20 04:02:36')
('可燃冰又一新贵横空出世，中报业绩暴增520%，3月封成妖王 $豫金刚石 sz300064$ $国光股份 sz002749$ $上柴B股 sh900920$ $武汉中商 sz000785$ 姚晓浪的秒...', '2018-07-19 15:22:48')
('今天通产丽星这走势超预期了，跟风的可以看看亿利达，豫金刚石，今天这么差的盘面都没死，那么理论上明天死掉的概率也很小，当然就要看通产丽星如果明天还能继续新高那么就安全，所以今天尾盘想入场的激进者可以轻仓试水，一旦明天不如预期就要抽身而退；还有一个就是赫美集团代表的妖股也是超预期的， ...展开全文c', '2018-07-19 12:28:35')
('发布了头条文章：《豫金刚石300064 ：股价震荡下跌暗藏暴涨信号，此点有望再度爆发》 $豫金刚石 sz300064$ #豫金刚石 sz300064[股票]#股票分析[超话]#微博股票热议榜#微博股票[超话]#热门股票点评# |豫金刚石30...', '2018-07-19 07:24:45')
('发布了头条文章：《邦讯技术+豫金刚石：主力携重金抢筹！惊世妖王再度起爆？》 $邦讯技术 sz300312$ $豫金刚石 sz300064$ #上证指数 sh000001[股票]# #股票# #今日看盘# |邦讯技术+...', '2018-07-19 04:32:06')
('富勒烯概念品种，豫金刚石$亿利达 sz002686$ ，这些都是在周一直播说过的票，有兴趣的朋友可以看看现在虽然不跟风，但是今天通产丽星走势是超预期的，那么明天可能会继续超预期，到时候就会去跟', '2018-07-19 02:14:54')
('富勒烯板块午后再度冲高，龙头通产丽星涨停，豪取六连板，亿利达、四方达、豫金刚石小幅跟涨', '2018-07-19 02:12:55')
('富勒烯异动四方达(300179)-0.85%亿利达(002686)+4.16%豫金刚石(300064)-2.12%通产丽星(002243)+10.01%', '2018-07-19 01:37:45')
('富勒烯板块午后逆市冲高，龙头通产丽星再度封涨停，实现六连板，亿利达、四方达、豫金刚石等个股纷纷跟涨。', '2018-07-19 01:30:49')
('#新浪理财师# #今日看盘# 我刚刚回答了网友的问题" 老师请问300064豫金刚石7元成本如何操作?谢谢! ", 大家有任何投资理财相关问题都可以来找我！提问请猛戳网页链接', '2018-07-18 23:19:48')
('发布了头条文章：《东华软件002065+豫金刚石300064不要掉以轻心.最强龙头遭内定》 $东华软件 sz002065$ $豫金刚石 sz300064$ #上证指数 sh000001[股票]# #股票分析# #今日看盘# |东华软件00...', '2018-07-18 10:36:10')
('发布了头条文章：《豫金刚石300064：主力预警9亿加码！18年惊世黑马预警启动？》 $豫金刚石 sz300064$ #上证指数 sh000001[股票]# #股票分析# |豫金刚石30...', '2018-07-18 05:48:26')
