('A股历史上的底部：股价底，经济底，估值底 那个先来？$跃岭股份 sz002725$$保利地产 sh600048$$海南瑞泽 sz002596$ 杨超分析的...', '2018-07-24 08:29:18')
('64岁老教授放言：股市唯一不会骗人“尾盘买入法”，庄家都上门求学$丽鹏股份 sz002374$ $南方航空 sh600029$ $科大讯飞 sz002230$ $跃岭股份 sz002725$ 徐道珺的秒...', '2018-07-24 05:37:40')
('金轮股份 金莱特 海洋王 跃岭股份 龙大肉食 一心堂 股海大咖的...', '2018-07-24 04:19:13')
('回复@翌晨3524353767:跃岭股份不动//@翌晨3524353767:跃岭股份出吗？', '2018-07-24 01:45:57')
('出中大，金奥博，欣天科技，整合仓位，明天打细分龙头。', '2018-07-24 01:56:15')
('遭百亿大单狂拉的“医药妖股”，遭主力暴力抢筹，将继续飙涨15连板！$口子窖 sh603589$$跃岭股份 sz002725$$保利地产 sh600048$ 江雅凡分析...', '2018-07-23 08:23:59')
('次新股第一龙头沉睡3年，遭主力29亿加仓，本月飙涨接力北京文化！$跃岭股份 sz002725$$保利地产 sh600048$$海南瑞泽 sz002596$ 江雅凡分析...', '2018-07-23 08:14:48')
('发布了头条文章：《002725 跃岭股份： 主力纷纷跑步进场，后期走势一鸣惊人！》 #微博股票# #股票短中长线# $跃岭股份 sz002725$ |002725 跃...', '2018-07-23 06:01:19')
('41岁股市奇才曝：“股市十口诀”, 句句经典，背熟6句实现千万梦$泰格医药 sz300347$ $宇环数控 sz002903$ $跃岭股份 sz002725$ $申通快递 sz002468$ 马旷盈的秒...', '2018-07-23 04:29:12')
('82岁老股民留给孙子：1个指标CCI+2根均线，股市就提款机 $中南建设 sz000961$ $跃岭股份 sz002725$ $银信科技 sz300231$ $丹化科技 sh600844$ 邹亦梧看世...', '2018-07-22 23:23:14')
('盲目没有方向吗？指导后市如何操作，投资股票可以加wei信：371540346，指导买卖点和解套方法！安硕信息(sz300380) 友邦吊顶(sz002718) 东方通(sz300379) 斯莱克(sz300382) 宏良股份(sz002720) 跃岭股份(sz002725)', '2018-07-22 21:56:49')
('台州女博士坦白：新股最佳申购时间点，打新股百发百中，值得珍藏 $报喜鸟 sz002154$ $锦富技术 sz300128$ $新华保险 sh601336$ $跃岭股份 sz002725$ QueenieL的...', '2018-07-22 20:55:21')
('国产芯片一龙头跌至7元，1.8亿神秘巨资控盘，有望接力贵州茅台！$唐德影视 sz300426$$口子窖 sh603589$$跃岭股份 sz002725$ 杨超分析的...', '2018-07-22 08:50:37')
('我刚刚调仓了微博股票组合网页链接，委托卖出$跃岭股份 sz002725$。', '2018-07-22 03:05:52')
('发布了头条文章：《A股开启暴涨模式：凯伦股份 光库科技 跃岭股份 哈三联》$凯伦股份 sz300715$ $光库科技 sz300620$ $跃岭股份 sz002725$ $哈三联 sz002900$ \ue627 微博股票 |A股开启暴...', '2018-07-20 23:43:06')
('股市唯一不“骗人”的指标——“CCI”，句句经典，建议散户收藏$丽鹏股份 sz002374$ $南方航空 sh600029$ $科大讯飞 sz002230$ $跃岭股份 sz002725$ 徐道珺的秒...', '2018-07-20 02:48:24')
('读懂中国股市股市这条定律，A股就是你的提款机！让你少奋斗10年 $博信股份 sh600083$ $东方创业 sh600278$ $*ST创兴 sh600193$ $跃岭股份 sz002725$ 李小麦同学...', '2018-07-19 23:03:36')
('发布了头条文章：《002725 跃岭股份：不要掉以轻心，后势惊人已成定局！》 #微博股票# #股票短中长线# $跃岭股份 sz002725$ |002725 跃...', '2018-07-19 09:38:59')
('发布了头条文章：《A股重磅：跃岭股份+融钰集团+坚瑞沃能，七月操作策略解读》 $跃岭股份 sz002725$ +$融钰集团 sz002622$ +$坚瑞沃能 sz300116$ $上证指数 sh000001$ #财经头条文章# $深证成指 sz399001$ |A股重磅：...', '2018-07-19 03:44:56')
('明天跃岭股份就可以底部大胆加仓猛干去抄货了！ 10.6附近为底部区域，这价位附近就是低吸捡钱的机会！', '2018-07-19 03:24:54')
('发布了头条文章：《跃岭股份002725：主力蠢蠢欲动，散户一定要注意了!》 \ue627 财经头条文章 \ue627 股票分析 $跃岭股份 sz002725$ 跃岭股份002725：主力蠢蠢欲动，散户一定要注意了! |跃岭股份00...', '2018-07-19 02:15:03')
('跃岭股份，虽然被套，但是做T解套是门功夫，老师将会带领大家在后面的操作上做T解套并且盈利出局，这也将会是一个很重要的学习过程，大家一定要看好，学会！ 这种是实时的技术操作教学，围观吃瓜群众点赞支持一波！$跃岭股份 sz002725$', '2018-07-19 01:03:57')
('#跃岭股份 sz002725[股票]# #阿科力 sh603722[股票]# 都到了非常好的进场机会', '2018-07-18 21:52:24')
('“集合竞价”A股唯一抓涨停黑马口诀，菜鸟谨记，其它都是马后炮 $跃岭股份 sz002725$ $天润曲轴 sz002283$ $交大昂立 sh600530$ $劲拓股份 sz300400$ L-花花-V幸...', '2018-07-18 17:12:30')
('外围普涨，大盘经过连续三天回踩后，今天开始有反弹动作了，注意超跌品种个股的走势机会，这两天超跌股相对比较吃香，不过个股比较难把握，次新板块方面要继续重点留意好，昭衍新药 跃岭股份，彩讯股份，阿科力，路畅科技，泰永长征 新疆火炬 晶华新材，森霸传感 盐津铺子 等，软件的 中国软件， ...展开全文c', '2018-07-17 21:51:17')
('我刚刚调仓了微博股票组合网页链接，以成交价12.23卖出$跃岭股份 sz002725$。', '2018-07-17 21:39:56')
('$跃岭股份 sz002725$ 早盘推荐。目前点位在12.10。可适当进仓建仓。', '2018-07-16 21:25:19')
('$天华超净 sz300390$ $赫美集团 sz002356$ $跃岭股份 sz002725$ $阿科力 sh603722$ 跃岭股份 天华超净涨停封不上 只能卖 今天盘面弱爆 焦虑与质疑并不能创造价值，反而会阻碍我们迈向未来的脚步。能够让我们走向未来的，是坚定的信心、直面现实的勇气和直面未来的行动。稳住 ...展开全文c', '2018-07-16 11:26:09')
('今日复盘（笔者有事了，今天股都没来的急动，亏大喽）次新:绿色动力直接低开奔跌停。（今天没看盘按照纪律必须跑路这次大亏了，明天跑路）天华超净:拉板被砸。尾盘:彤程新材资金报团拉板。5G:意华股份3连板，这个板块还可以关注下位置相对低的七一二。高送填权:上周二进的跃岭股份，今天冲 ...展开全文c', '2018-07-16 10:52:11')
('7月16日重点股发布大单流向超短线大北农、中珠医疗、天地数码、绿色动力、智动力、至纯科技、高风险锐科激光、森霸传感、宁德时代、欣锐科技、天永智能、锦富技术、集泰股份、跃岭股份、三联虹普、星云股份、东尼电子、奥维通信、长江通信、合纵科技、 ...展开全文c', '2018-07-16 10:45:36')
('发布了头条文章：《文轩论股：宝信软件+跃岭股份+新集能源+埃斯顿》$跃岭股份 sz002725$ $上证指数 sh000001$ #股票分析# #股票# |文轩论股：...', '2018-07-16 10:39:33')
('@神秘人 的操盘笔记「002725跃岭股份」芯片+5G概念002725跃岭股份（来自彩贝股票：网页链接）APP下载： 网页链接', '2018-07-16 09:57:11')
