('"尾盘买入选股”，记住一根均线"CCI"，学会出手就是涨停 $海能达 sz002583$ $千红制药 sz002550$ $京能电力 sh600578$ $通达动力 sz002576$ 我的小蜗牛...', '2018-07-23 13:03:44')
('关注成都路桥、东方环宇、斯太尔、西仪股份、通达动力、西安饮食、实达集团、神火股份、湘潭电化等。', '2018-07-23 11:15:00')
('【新视界每日划重点】方星海：抓紧恢复股指期货常态化交易；人社部：将印发加快养老金委托投资的文件，推动各地启动养老金委托投资工作；离岸人民币兑美元跌破6.81；光启技术(002625)：控股股东计划增持不超过总股本的 2%；冠福股份(002102)业绩快报：净利同比增长338.02%；三江购物(601116)：半年报净 ...展开全文c', '2018-07-23 11:16:52')
('复盘完毕：市场情绪还不错，涨停五十多家，看来超跌股还有些要轮涨，明天需要加点仓干一下了，像通达动力这种小迷你股还是有连续拉板的条件的，看给机会不给吧', '2018-07-23 11:02:45')
('假疫苗这黑天鹅事件使医药板块早盘杀跌 拖累指数早盘下杀 随后 主板权重票止跌反弹 午后 中字头和基建 带领大盘反攻 但 创业板有分化。军工板块 随利好带动普涨 今天打板西仪股份 通达动力 明天溢价应该问题不大 明天接力个人保持谨慎态度。新能源车板块 个人只关注圣阳股份 明天拉高 跑路的机会要更多 ...展开全文c', '2018-07-23 10:56:36')
('军工首卡，西仪股份，竞价比较明显。而后就是通达动力、新劲刚、航天动力等等。二连板军工，雷科防务、圣阳股份。', '2018-07-23 09:14:03')
('热点复盘（7-23）持续热点：1、 大金融板块概念有5只股票涨停，其中成都银行可以继续跟踪。新增热点：2、 军工混改概念有有10只股票涨停，其中雷科防务、通达动力、新劲刚可以继续跟踪。3、 基建概念有有3只股票涨停，其中达刚路机可以继续跟踪。 ...展开全文c', '2018-07-23 09:09:11')
('凯恩股份这洗的轰轰烈烈！明天关注军工几支较强的就行：西仪股份 航天动力 通达动力', '2018-07-22 22:32:41')
('凯恩股份二成！', '2018-07-23 07:45:35')
('军工：西仪股份 欣龙控股 实达集团 雷科防务 通达动力 航天动力 新劲刚 通达股份 海天防务 航天信息 久远银海 杰赛科技', '2018-07-23 03:11:36')
('股市唯一“不骗人”的补仓顺口溜，读懂了下一位股神就是你！ $浙江广厦 sh600052$ $通达动力 sz002576$ $上海临港 sh600848$ $江丰电子 sz300666$ 爛Gag澔革...', '2018-07-23 03:03:02')
('#航天军工# 今天爆发，出现众多涨停板：$通达股份 sz002560$ ，$通达动力 sz002576$， $通合科技 sz300491$ ，$西仪股份 sz002265$ 和$雷科防务 sz002413$ ！', '2018-07-22 23:06:29')
