('发布了头条文章：《通达股份+红豆股份：庄家再出幺蛾子！机构45亿锁仓，定成18年首席大》 $通达股份 sz002560$ $红豆股份 sh600400$ #今日看盘# #股票# |通达股份+...', '2018-07-23 10:59:55')
('巨人网络 亚威股份 通达股份 徐家汇！ #海波重科 sz300517[股票]# #卫宁健康 sz300253[股票]# #中潜股份 sz300526[股票]# 许楚沛分析...', '2018-07-23 09:13:39')
('文来头狼精选（周二）头狼回顾：斯太尔振幅加大，尾盘再次涨停，星徽精密涨停后开板回撤。涨停板精选1、斯太尔 ...展开全文c', '2018-07-23 08:29:57')
('股市多头最新动作曝光 主力资金积极抢筹一类个股 - 周一市场小幅反弹，盘中军改题材呈现全线走强。从市场盘面看，军改题材呈现全线走强，卫星导航、军民融合、国防军工等题材呈现强势上涨，盘中航天动力、通达股份、斯太尔、雷科防务等多股涨停，食品安全、腾讯概念... |股市多头最...', '2018-07-23 05:15:46')
('早盘受周末疫苗事件影响，沪深两市跳空低开，之后在银行、军工板块的拉动下，上证指数震荡上行，深证成指维持震荡格局，创业板指呈现回落走势，接近尾盘，两市三指相继翻红，全线上行。成都银行、通达股份盘中领涨，银行、军工板块成为今日主力军。长生生物开盘跌停，医药相关板块受到重挫。总体而言， ...展开全文c', '2018-07-23 04:59:29')
('一旦出现“三线金叉”洗盘信号，必是大牛股，捂紧躺着等赚钱过年 $通达股份 sz002560$ $中再资环 sh600217$ $ST明科 sh600091$ $科力远 sh600478$ 邹亦梧看世...', '2018-07-23 03:19:43')
('#上证快讯# 【三大股指放量上扬 军工板块掀涨停潮】周一，A股三大股指低开高走，并伴随有成交量快速放大。截至收盘，上证指数报2859.54点，上涨1.07%；深证成指报9314.30点，上涨0.68%；创业板指报1620.97点，上涨0.71%。盘面上，军工板块掀起涨停潮，西仪股份、雷科防务、通达股份等多股涨停。 ...展开全文c', '2018-07-23 03:15:55')
('军工：西仪股份 欣龙控股 实达集团 雷科防务 通达动力 航天动力 新劲刚 通达股份 海天防务 航天信息 久远银海 杰赛科技', '2018-07-23 03:11:36')
('观注板块及个股：房地产：万科A电力：黔源电力军工混改概念：航天通信、新劲钢、雷科防务、天海防务、航天动力、通达股份', '2018-07-23 02:33:24')
('#午盘简评#沪深两市低开上扬，其中沪指突破60分钟分时的大道午线后，仍有上冲动能，关注2870附近的压力。而创业板则显得反弹力度不足，主要是受60分钟分时上辰线压制较强，午后继续关注此处的压力。板块方面，第三批央企混改将发布，其中军工企业至少2家，刺激军工概念大幅走强，航天动力、通达股份 ...展开全文c', '2018-07-23 00:41:19')
('#航天军工# 今天爆发，出现众多涨停板：$通达股份 sz002560$ ，$通达动力 sz002576$， $通合科技 sz300491$ ，$西仪股份 sz002265$ 和$雷科防务 sz002413$ ！', '2018-07-22 23:06:29')
('第三批央企混改将发布 军改概念全线走强早盘军工题材呈现集体大涨，盘中航天动力、通达股份、斯太尔、雷科防务、仕达集团、欣龙控股等个股相继涨停，中航电子、中航机电盘中大涨7%以上，国睿科技、中航沈飞、内蒙一机、长春一东、江龙船艇等个股盘中涨幅超5%，北化股份、航天发展、航天电子等个股盘 ...展开全文c', '2018-07-22 22:35:05')
('发布了头条文章：《集体反弹，遍地黄金：天瑞仪器+西安饮食+通达股份》 \ue627 股票 #牛股推荐# #财经头条# |集体反弹，...', '2018-07-22 22:28:21')
('受到军工企业入围第三批混改试点消息影响，国防军工板块早盘一路高走，表现活跃，新劲刚、通达动力、西仪股份、航天动力、欣龙控股涨停，通达股份、中航电子、航天信息、江龙船艇、东安动力、佳讯飞鸿、国睿科技、中航沈飞、中航机电等股纷纷大涨。', '2018-07-22 22:21:38')
('#通达股份 sz002560[股票]##通达动力 sz002576[股票]#哥俩好，携手并肩封涨停板！', '2018-07-22 22:11:02')
('军工股早盘大涨，截至发稿，新劲刚、通达动力、西仪股份、航天动力、欣龙控股涨停，通达股份涨逾9%。据怀新资讯报道，据媒体报道，经由国家发改委牵头审批的第三批混改试点相关企业，正在逐步揭开面纱。31家第三批混改试点企业中，10家中央子企业涉及领域包括军工、油气能源等，其中油气能源类央 ...展开全文c', '2018-07-22 21:57:21')
('食品安全概念天瑞仪器一字封涨停；航天军工，大飞机等军工板块走势较强，通达股份，通达动力，西仪股份，欣龙控股涨停！$上证指数 sh000001$', '2018-07-22 21:42:12')
('#微博股评团##短线牛股#$通达股份 sz002560$ $新华百货 sh600785$ 发布了头条文章：《一旦学会“N字涨停选股法”,抓黑马股成功率高达90%》 |一旦学会“N...', '2018-07-22 21:38:40')
('亚威股份 通达股份 徐家汇 兄弟科技！#初灵信息 sz300250[股票]# #东方电热 sz300217[股票]# #雅本化学 sz300261[股票]# 许楚沛分析...', '2018-07-22 05:19:42')
('A股27年一直赚钱的方法——“尾盘买入”牢记6句，可实现百亿梦想 $通达股份 sz002560$ $全信股份 sz300447$ $华谊兄弟 sz300027$ $阳光股份 sz000608$ 我的小蜗牛...', '2018-07-20 22:29:36')
('可燃冰又一新贵横空出世，中报业绩暴增206%，3月封成妖王 $长亮科技 sz300348$ $通达股份 sz002560$ $创业软件 sz300451$ $*ST安泰 sh600408$ 姚晓浪的秒...', '2018-07-20 07:16:41')
('深圳一女博士自暴“内盘外盘”口诀，庄家听后跪求删帖，建议珍藏 $游族网络 sz002174$ $依米康 sz300249$ $金利华电 sz300069$ $通达股份 sz002560$ 我的小蜗牛...', '2018-07-20 04:53:21')
('量子通信第一龙头已觉醒，遭主力77亿锁仓，行情有望复制泰禾集团 $鸣志电器 sh603728$ $安井食品 sh603345$ $银邦股份 sz300337$ $通达股份 sz002560$ 姚晓浪的秒...', '2018-07-19 06:39:47')
('上海女股民讲透了“K线的线上阴线买，线下阳线抛”，太绝了 $通达股份 sz002560$ $国药股份 sh600511$ $重庆燃气 sh600917$ $恒顺众昇 sz300208$ 李域悟看盘...', '2018-07-18 04:40:25')
('#通达股份 sz002560[股票]# 军工板块，近期实际控制人史万福累计增持512万股 增持计划实施完毕，预计这里有望企稳。', '2018-07-17 02:07:20')
('A股27年一直赚钱的方法——“尾盘买入”牢记6句，可实现百亿梦想 $中电兴发 sz002298$ $飞乐音响 sh600651$ $通达股份 sz002560$ $山鼎设计 sz300492$ 我的小蜗牛...', '2018-07-16 11:12:17')
('老股民分享：MACD指标炒股的七个技巧，值得收藏！ $国电南瑞 sh600406$ $万润股份 sz002643$ $通达股份 sz002560$ $农业银行 sh601288$ 姚晓浪的秒...', '2018-07-16 07:24:00')
('A股史上唯一用上瘾的MACD金叉战法，十买九涨，值得散户深度 $容大感光 sz300576$ $海欣食品 sz002702$ $通达股份 sz002560$ $宏图高科 sh600122$ 欧欧欧哈的...', '2018-07-15 22:44:57')
('股市唯一不败的黄金组合：MACD+CCI+KDJ，看懂了，你就是股市高手 $亚太股份 sz002284$ $深赤湾B sz200022$ $上海贝岭 sh600171$ $通达股份 sz002560$ yokki阳sup...', '2018-07-14 04:56:16')
('股市永不骗人的“内盘外盘”6大黄金口诀，只分享一次，清晨就删 $兔宝宝 sz002043$ $上海凤凰 sh600679$ $通达股份 sz002560$ $锡业股份 sz000960$ 爛Gag澔革...', '2018-07-14 02:03:29')
('发布了头条文章：《行情企稳回暖：天保基建+通达股份+三五互联》 $天保基建 sz000965$ $通达股份 sz002560$ $三五互联 sz300051$ #股票分析# + |行情企稳回...', '2018-07-13 02:50:24')
