('安利股份 鸿利智汇 金运激光 银禧科技！#北大荒 sh600598[股票]# #超频三 sz300647[股票]# #贵州茅台 sh600519[股票]# 许楚沛分析...', '2018-07-24 04:36:25')
('香港一老股民终把“线上阴线买”讲透彻了，字字珠玑，建议珍藏 $正业科技 sz300410$ $*ST抚钢 sh600399$ $兰太实业 sh600328$ $金运激光 sz300220$ 论A股堂的...', '2018-07-23 09:57:02')
('中签王酒后吐坦白：新股最佳申购时间点，10打新10次中，百发百中#安利股份 sz300218[股票]# #鸿利光电300219# #金运激光 sz300220[股票]# 墨龙点股-...', '2018-07-23 02:43:32')
('A股唯一不会骗人的“周线选股”技巧曝光，句句经典，简单易懂！ $*ST华泽 sz000693$ $金运激光 sz300220$ $双箭股份 sz002381$ $天地数码 sz300743$ 尤阅对看盘...', '2018-07-20 13:28:28')
('佳士科技 聚龙股份 佳讯飞鸿 金运激光 金力泰 小伊看盘的...', '2018-07-19 08:52:23')
('上海一女教授自曝“尾盘买入法”口诀，只分享一次，错过等150年 $招商公路 sz001965$ $金运激光 sz300220$ $万家乐 sz000533$ $*ST地矿 sz000409$ 李域悟看盘...', '2018-07-18 17:47:49')
('上海一女博士说破股市：内盘外盘口诀，背熟6句，可实现百万梦想 $天汽模 sz002510$ $金运激光 sz300220$ $神州泰岳 sz300002$ $深冷股份 sz300540$ 小正太Ente...', '2018-07-18 15:13:28')
('$金运激光 sz300220$ 金运激光直线拉升，补掉6.19缺口后强于大盘和创业板，强者恒强#今日看盘#', '2018-07-18 01:36:07')
('发布了头条文章：《安宁来剖析：健民集团 完美世界 坚朗五金 金运激光》 \ue627 股票分析 健民集团 完美世界 坚朗五金 金运激光 |安宁来剖析...', '2018-07-17 22:06:39')
('发布了头条文章：《皓轩论股：中科曙光+金运激光+众信旅游+东江环保》$中科曙光 sh603019$ $金运激光 sz300220$ #股票分析# #股票# #上证指数 sh000001[股票]# |皓轩论股：...', '2018-07-17 21:30:37')
('【热点复盘】1、5G：意华股份、纵横通信、中兴通讯、美格智能、创意信息、沃特股份、飞荣达、奥维通信2、中报预增：海达股份、北方国际、智度股份、合兴包装、中核科技、安井食品、德威新材3、超跌：联建光电、金运激光、三维股份、英特集团、凯盛科技、南京新百、盛运环保 ...展开全文c', '2018-07-17 21:17:31')
('发布了头条文章：《金运激光(300220):国家队2665万重仓，有望乌鸡变凤凰！！》 #麒麟财经# #投资达人# #中美贸易战# $金运激光 sz300220$ $猛狮科技 sz002684$ |金运激光(3...', '2018-07-16 22:05:46')
('这两天超跌股还有些表现，比如：联建光电、金运激光、三维股份、英特集团、凯盛科技、南京新百、盛运环保等，有点乱飞的意味，特质突出的个股已经不多，以脉冲一把就歇或一日游的低价阴跌类个股居多，故而就不能再当板块看待，整体持续性有下降趋向，若论超跌+的逻辑而言热门题材中的超跌股涨起来依然 ...展开全文c', '2018-07-16 21:35:31')
('300220金运激光、600552凯盛科技、002662京威股份大家可以关注一下，激进的朋友可以在盘中找机会轻仓介入，稳健的朋友先加自选股观察，有较好机会的话也可以两成仓位介入。网页链接', '2018-07-16 21:27:24')
('看今天？@北京豪哥888:七月量化股今天10支涨停板:北方国际，东软载波，中能电气，美格智能，奥维通信，京威股份，中核科技，金运激光，创意信息，长亮科技。其中有些票是延续六月量化股继续坚挺的票，长亮科技是王者归来，中能电气和京威股份今天是2连板。@西风颂1018:', '2018-07-15 08:00:40')
('豪哥分享-----每周大盘晴雨表（留个资料）发布时间：2018.07.15.20:08. <豪哥工作室>诚邀天使投资人。跟我合作有多种方式：一、做天使投资人每年分红。二、代客理财给固定回报，年化收益率18%。三、代客操盘，用你的账户我来炒，一票一结三七分。四，指导操盘，一票一算三七分成。 ...展开全文c', '2018-07-16 20:11:31')
('今天的票从这里选8只个股：000065北方国际、002636金安国纪、002881美格智能、300183东软载波、300220金运激光、300269联建光电、603033三维股份、603602纵横通信。 |秦皇岛·南...', '2018-07-16 18:21:03')
('明日捉妖股方案：$彤程新材 sh603650$ 、锐科激光、盛洋科技$京威股份 sz002662$ 、奥维通信、美格智能$意华股份 sz002897$ 、英特集团、联建光电$金运激光 sz300220$ 、通产丽星、风华高科', '2018-07-16 11:36:01')
