('V+两只\ue627 短线牛股 $飞荣达 sz300602$ $纵横通信 sh603602$ 的上涨逻辑详解，品型战法，与龙虎榜的实战应用，欢迎大家参考，学习，顺手点赞！ 宇辉战舰的...', '2018-07-16 22:58:44')
('富勒烯，石墨烯，息息相关；通产丽星带领一帮烯在搞事，中超控股，大富科技，丹邦科技等石墨烯闻烯起舞。金安国纪三连板，飞荣达三板被砸，市场赚钱效应不错，环境保护活跃今日强股还有：斯太尔，三维丝，超声电子，惠伦晶体，德尔未来，伊戈尔，佳发教育，方正科技，美联新材，旷达科技等下午出 ...展开全文c', '2018-07-18 03:00:04')
('发布了头条文章：《07.17深然复盘作业——今天没抓到主线，就要思考下是否知行合一》 #今日看盘# $飞荣达 sz300602$ $中兴通讯 sz000063$ |07.17深然...', '2018-07-17 06:12:07')
('7.24复盘:1、脸书：相关股比较多，飞荣达流通市值较小，股性活跃，明天集合结束再看看。2、医药：明天应该还有拉一波的空间，今日龙头华北制药开一字，所以低吸了鲁抗医药，明天或许能有高点出局。3、医药食品安全：明天或许能继续保持一定热度。4、军民融合：今日题材级别一般般，龙一欣龙控股和 ...展开全文c', '2018-07-24 11:01:23')
('Face Book脸书概念股飞荣达/供货商 梅泰诺 /技术支持 歌尔股份/供货商 汉王科技 /技术支持 迅游科技/供货商$飞荣达 sz300602$ $汉王科技 sz002362$ $歌尔股份 sz002241$ $迅游科技 sz300467$ $梅泰诺 sz300038$', '2018-07-24 09:15:39')
('发布了头条文章：《飞荣达300602 ：主力暴力洗盘或是上车良机？站稳此点必将一飞冲天》 $飞荣达 sz300602$ \ue627 微博股票微博股票热议榜\ue627 股票分析 |飞荣达3006...', '2018-07-24 07:00:11')
('雄塑科技 瑞特股份 康泰生物 飞荣达 股海大咖的...', '2018-07-24 04:33:45')
('【案例教学】中报业绩预增风险股——$飞荣达 sz300602$1、上市时间不到一年半，前两天还再不断飙涨创新高；2、主营业务是电子元器件，导热材料等，国外占比29%，属于出口型企业；3、业绩虽然增长，但幅度远小于股价上涨幅度，近期开始新高放量，出货风险极大。另外两只风险股案例教学也作为 ...展开全文c', '2018-07-24 02:27:03')
('格力电器：宣布收购80%美的股份，改名“格美电器”后市有望出现爆炸性上涨 $中原环保 sz000544$ $三垒股份 sz002621$ $飞荣达 sz300602$ $电连技术 sz300679$ 蒋涛分析的...', '2018-07-23 22:33:15')
('发布了头条文章：《7.23游资龙虎榜：首板68万重出江湖，赵老哥的下一个通产丽星？》 #通产丽星 sz002243[股票]# #网易新闻# #飞荣达 sz300602[股票]# #头条财经# #上证指数sh000001# #新浪股吧# #牛股推荐# #新浪理财师# #上证快讯# |7.23游资龙...', '2018-07-23 21:10:10')
('香港一女博士自暴“内盘外盘”口诀，庄家听后跪求删帖，建议珍藏 $飞荣达 sz300602$ $中化岩土 sz002542$ $ST河化 sz000953$ $厦门象屿 sh600057$ 我的小蜗牛...', '2018-07-23 06:48:26')
('发布了头条文章：《龙头底部已启动：药明康德 丹邦科技 飞荣达 华纺股份》$药明康德 sh603259$ $丹邦科技 sz002618$ $飞荣达 sz300602$ $华纺股份 sh600448$ \ue627 微博股票 |龙头底部已...', '2018-07-23 02:37:36')
('上周推荐的#300602 飞荣达#又要开始一波行情了，35-37附近有强支撑，消化完一波继续起飞~', '2018-07-22 21:57:47')
('本周第一只，37.43建仓飞荣达', '2018-07-22 21:52:01')
('迟到的一周总结（7月16日～7月20日）：1.飞荣达 涨停盈利10个点2.中兴通讯 当天涨停 5个多点介入，第二天又涨停，盈利8-12个点3.金风科技 底部区域13块介入 ，目前14块，盈利8-10个点，未卖出！4.中信建投 底部区域9.40介入，目前盈利1-2点，未卖出！即便上周行情弱如狗，我操作的几只都是盈利的 ...展开全文c', '2018-07-22 21:41:55')
('发表了博文《新的行情已起航！》上周五终于迎来放量中阳反转，美国商务部解除中兴禁令，5G权重中兴通讯4天3板打开高度，低位小票飞荣达、创意信息、长江通信、大富科技跟风拉板掀起涨停板。富勒烯，我国首条吨级|新的行情已...', '2018-07-22 19:37:17')
('发布了头条文章：《飞荣达300602 ：新一轮回调趋势震撼来袭，股民：逢高减仓才是王道》 $飞荣达 sz300602$ #微博股票热议榜#微博股票[超话]\ue627 股票分析 |飞荣达3006...', '2018-07-22 07:11:59')
('发布了头条文章：《飞荣达（300602）：主力精心布局曝光，后期必定这样走》 $飞荣达 sz300602$ \ue627 股票分析 #财经头条文章# |飞荣达（30...', '2018-07-22 04:51:22')
('发布了头条文章：《畅联股份+飞荣达：庄家借力抢筹，机构52亿助力！雄起18掘金黑马？》 $畅联股份 sh603648$ $飞荣达 sz300602$ $上证指数 sh000001$ #股票分析# |畅联股份+...', '2018-07-22 04:34:06')
('发布了头条文章：《文轩论股：金安国纪+飞荣达+长信通信，后市展望精准预测！》 $金安国纪 sz002636$ $上证指数 sh000001$ #股票# #今日看盘# |文轩论股：...', '2018-07-21 22:27:21')
('发布了头条文章：《皓轩论股：佳发教育+德尔未来+玉龙股份+飞荣达》$佳发教育 sz300559$ #股票# #股票分析# #上证指数# |皓轩论股：...', '2018-07-21 22:20:21')
('有色第一龙头股超跌至2元，神秘机构巨资买入：京东方A 科大讯飞 盈趣科技$中原环保 sz000544$ $三垒股份 sz002621$ $飞荣达 sz300602$ $电连技术 sz300679$ 蒋涛分析的...', '2018-07-21 21:45:40')
('发布了头条文章：《全志科技+飞荣达：主力源头查明,庄家25亿建仓！后势被严重低估》 $全志科技 sz300458$ $飞荣达 sz300602$ $上证指数 sh000001$ #股票分析# |全志科技+...', '2018-07-21 07:39:21')
('7月20日重点股发布大单流向华新水泥、浪潮信息、中科曙光、海螺水泥、工业富联、超短线科锐国际、欣天科技、京威股份、亿利达、博敏电子、华正新材、意华股份、英科医疗、三维丝、纵横通信、容大感光、镇海股份、伊戈尔、传艺科技、高风险欣锐科技、宁德时代、飞荣达、锐科激光、集泰股份、东宏 ...展开全文c', '2018-07-21 03:39:14')
('发布了头条文章：《A股开启暴涨模式：宏辉果蔬 飞荣达 浪潮软件 德生科技》$宏辉果蔬 sh603336$ $飞荣达 sz300602$ $浪潮软件 sh600756$ $德生科技 sz002908$ \ue627 微博股票 |A股开启暴...', '2018-07-20 23:10:46')
('错过了很多早盘的好板，只能试试这个烂板了300390天华超净参考下大家，300602飞荣达没太大毛病只不过这样指数的日子还一直翻绿，怕是要5交易日以上的调整，实在心累等不起了，刚刚止损了。（飞荣达今天有机会做大长腿的可惜分时就是不给力，一旦翻红多么好的日K啊！）', '2018-07-20 01:54:27')
('发布了头条文章：《飞荣达300602 ：主力开启新一轮暴跌模式，股民：做好减仓准备》 $飞荣达 sz300602$ \ue627 微博股票微博股票热议榜\ue627 股票分析 |飞荣达3006...', '2018-07-19 22:41:07')
('#飞荣达 sz300602[股票]# 大盘开盘后砸到前低2752点附近后有反抽了。但要观察反抽的力度和持续性', '2018-07-19 22:11:15')
('早盘计划：英科、飞荣达、瀛通通讯，反抽走。关注亚夏股份、彤程新材、同为股份、星徽精密、东方环宇、芯能科技。', '2018-07-19 21:11:48')
