('芯片又一新龙头再次封王，净利翻623倍，或将碾压鲁抗医药成妖 $创业黑马 sz300688$ $*ST毅达B sh900906$ $豫金刚石 sz300064$ $海正药业 sh600267$ 姚晓浪的秒...', '2018-07-25 03:47:23')
('今天试验了一次000650高位日线三买点，昨天鲁抗医药是60F三买点。', '2018-07-25 03:44:38')
('我刚刚调仓了微博股票组合网页链接，以成交价13.32买入$鲁抗医药 sh600789$。', '2018-07-25 01:34:42')
('我刚刚调仓了微博股票组合网页链接，委托买入$鲁抗医药 sh600789$。', '2018-07-25 00:54:46')
('#300746汉嘉设计##鲁抗医药 sh600789[股票]##中航沈飞 sh600760[股票]#还有我的大基建#603843正平股份# ，，。。牛市既视感各位自己的情况怎么样？', '2018-07-25 00:28:11')
('发布了头条文章：《鲁抗医药+同花顺：再爆惊天内幕！大股东65亿抢筹引爆18年首席大妖王》 $鲁抗医药 sh600789$ $同花顺 sz300033$ #今日看盘# #股票# |鲁抗医药+...', '2018-07-25 00:03:06')
('A股唯一“不骗散户”的成交量顺口溜，牢记5条你离股神就不远了！ $诚益通 sz300430$ $鲁抗医药 sh600789$ $盈趣科技 sz002925$ $亚联发展 sz002316$ 邹亦梧看世...', '2018-07-24 23:56:48')
('发布了头条文章：《鲁抗医药+天山股份：庄家阴谋诡计，机构17亿加码！后势不可小觑！》 $鲁抗医药 sh600789$ $天山股份 sz000877$ #短线牛股# #热门股票# |鲁抗医药+...', '2018-07-24 23:07:47')
('救市奇兵已经来临，酝酿已久的大牛市就要来了，中国股市要变天了！$合康新能 sz300048$ $鲁抗医药 sh600789$ $神雾环保 sz300156$ $南洋科技 sz002389$ 蒋涛分析的...', '2018-07-24 22:48:40')
('#股票# #微博股票# #股市# #解盘# #K线解盘# #投资##投资达人说##今日看盘#鲁抗医药 sh600789[股票]# $鲁抗医药 sh600789$ 是指5,10,20日均线从高位下跌后，然后同时拐头向上的趋势', '2018-07-24 22:29:03')
('发布了头条文章：《鲁抗医药+丹邦科技：庄家操盘大曝光！主力50亿抢筹定成18年首席大妖》 $鲁抗医药 sh600789$ $丹邦科技 sz002618$ #今日看盘# #股票# |鲁抗医药+...', '2018-07-24 21:11:31')
('芯片又一新龙头再次封王，净利翻669倍，或将碾压鲁抗医药成妖 $韶钢松山 sz000717$ $新宏泰 sh603016$ $海顺新材 sz300501$ $九芝堂 sz000989$ 姚晓浪的秒...', '2018-07-24 17:25:38')
('芯片又一新龙头再次封王，净利翻404倍，或将碾压鲁抗医药成妖 $西藏天路 sh600326$ $首航节能 sz002665$ $韩建河山 sh603616$ $威海广泰 sz002111$ 姚晓浪的秒...', '2018-07-24 13:44:52')
('发布了头条文章：《鲁抗医药+丹邦科技：庄家阴谋耍诈，游资65亿加码！后势不可低估！》 $鲁抗医药 sh600789$ $丹邦科技 sz002618$ #短线牛股# #股票分析# |鲁抗医药+...', '2018-07-24 11:46:25')
('7.24复盘:1、脸书：相关股比较多，飞荣达流通市值较小，股性活跃，明天集合结束再看看。2、医药：明天应该还有拉一波的空间，今日龙头华北制药开一字，所以低吸了鲁抗医药，明天或许能有高点出局。3、医药食品安全：明天或许能继续保持一定热度。4、军民融合：今日题材级别一般般，龙一欣龙控股和 ...展开全文c', '2018-07-24 11:01:23')
('中国证券市场上周新增投资者数24.91万，前值为25.45万，环比减少2.12%。大家怎么看？$风华高科 sz000636$ $鲁抗医药 sh600789$ $京东方Ａ sz000725$ $成都路桥 sz002628$', '2018-07-24 09:04:43')
('【近期兽药价格最高上涨近20%，鲁抗医药受益】，据中国兽药饲料交易中心监测数据显示，从5月中旬以来，多只兽药品种连续上涨，幅度较大，其中，涨幅居前的分别是酒石酸泰乐菌素、乙酰甲喹（痢菌净）和盐酸多西环素，涨幅分别为19.69%、18.00%和15.50%。', '2018-07-24 08:32:57')
('发布了头条文章：《指数三连阳，基建爆发涨停潮》 高位股$风华高科 sz000636$ 网传有减产，资金纷纷开始获利出逃$鲁抗医药 sh600789$ 被医药股牵连后仍旧创新高 |指数三连阳...', '2018-07-24 05:08:15')
('$兆新股份 sz002256$ $传艺科技 sz002866$ $晶华新材 sh603683$ $鲁抗医药 sh600789$ $大业股份 sh603278$ $惠威科技 sz002888$ 刘庆谈财的...', '2018-07-24 04:46:12')
('今日创历史新高7个消费：顺鑫农业次新股： 宁德时代水泥： 华新水泥 海螺水泥OLED ：精测电子化工: 万华化学 荣盛石化新能源汽车：宁德时代今日创阶段新高6个 软件服务： 浪潮信息 航天信息钢铁：柳钢股份医药：鲁抗医药工业4... 分享自@雪球 |淘金民工:...', '2018-07-24 04:37:25')
('曾一年亏损100亿的一元股，乌鸦变凤凰，如今6900万股抢着买#中国铝业 sh601600[股票]# #鲁抗医药 sh600789[股票]# 小雅分析的...', '2018-07-24 04:32:02')
('早盘看到鲁抗医药高位60F三买，买了一些', '2018-07-24 03:54:14')
('股市唯一“不骗人”的钓鱼线顺口溜，新手再忙也要花3分钟！$中国医药 sh600056$ $鲁抗医药 sh600789$ $顺丰控股 sz002352$ 晓枫投顾的...', '2018-07-24 02:44:35')
('上海老股神：A股28年唯一盈利指标——CCI，字字抖金，速度珍藏 $奥赛康 sz300361$ $鲁抗医药 sh600789$ $杭锅股份 sz002534$ $神开股份 sz002278$ 邹亦梧看世...', '2018-07-24 02:39:37')
('发布了头条文章：《长生生物7跌停，康泰生物等四大疫苗股再遭重创》 $长生生物 sz002680$ $康泰生物 sz300601$ #鲁抗医药 sh600789[股票]# \ue627 股票分析 \ue627 财经头条文章 |长生生物7...', '2018-07-24 02:35:38')
('#华谊兄弟 sz300027[股票]# 鲁抗医药，在7月18日 上周三，巨量过前头当天，我给大家说的，这个形态，换在牛市，肯定就涨停了，因为当时市场不好，所以没有涨停。我当时说，大家熊市学技术，牛市赚大钱。现在市场刚刚走好，鲁抗医药就创新高，暴涨。强势9连阳，创历史新高，而且还在不断的拉升。业绩+趋 ...展开全文c', '2018-07-24 02:29:54')
('7-24 14:23鲁抗医药600789强势9连阳，创历史新高，而且还在不断的拉升，业绩+趋势。继续拉升。有买的朋友紧密跟踪好来。', '2018-07-24 02:23:54')
('#长生生物 sz002680[股票]# #鲁抗医药 sh600789[股票]# 同样是疫苗，怎么差别这么大？', '2018-07-24 02:20:11')
('生物医药概念股$鲁抗医药 sh600789$ 持续拉升上涨走强,超跌电力股$桂东电力 sh600310$ 小幅放量拉升上涨', '2018-07-24 02:13:50')
('\ue627 新浪理财师 \ue627 投资达人说 \ue627 今日看盘 抗生素龙头股$鲁抗医药 sh600789$ 鲁抗医药强势拉升，该股一直走得很强网页链接', '2018-07-24 02:12:44')
('国产芯片第一龙头再度崛起，神秘巨资悄然锁仓，下周反弹5连板！#大东海A sz000613[股票]# #鲁抗医药 sh600789[股票]# 小雅分析的...', '2018-07-24 01:34:14')
('\ue627 个股解析 $鲁抗医药 sh600789$ 也是同理，14.5一线压力需要关注', '2018-07-23 23:23:39')
('近期草根在直播反复讲的趋势股鲁抗医药600789开始拉升，也去冲击前高了，还不错继续波段跟踪短线机会。网页链接', '2018-07-23 23:20:40')
('7-24 11:10近期股战场在直播反复讲的趋势股鲁抗医药600789开始拉升，也去冲击前高了，还不错继续波段跟踪短线机会。', '2018-07-23 23:11:28')
('昨天买了鲁抗医药觉得被疫苗拖累了，错杀的个股，今天眼看毫无起色卖了，现在居然拉了，这就是命？气死我了', '2018-07-23 23:09:45')
('鲁抗医药业绩很好', '2018-07-23 23:06:44')
('趋势股 $鲁抗医药 sh600789$ 开始拉升，冲击前高。', '2018-07-23 23:02:10')
('$鲁抗医药 sh600789$ 好票就是好票，前面小妖说过不让你们放弃太早的', '2018-07-23 22:59:22')
('600789鲁抗医药，超势里面的医药股，仍可以持续关注，看点是它的泰乐菌素和替米考星', '2018-07-17 22:09:19')
('万能神药600789，不错', '2018-07-23 22:56:18')
('#新浪理财师# #今日看盘# 我刚刚回答了网友的问题" $鲁抗医药(sh600789)$后续该怎么操作呢，希望老师给一下意见 ", 大家有任何投资理财相关问题都可以来找我！提问请猛戳网页链接', '2018-07-23 22:56:01')
('国产芯片将集体上演涨停潮，“养老金”1700亿资金明确进场，紫光国芯 北京君正 $合康新能 sz300048$ $鲁抗医药 sh600789$ $神雾环保 sz300156$ $南洋科技 sz002389$ 蒋涛分析的...', '2018-07-23 22:32:21')
('个股解析 有问题直接私信我！！$美的集团 sz000333$$康泰生物 sz300601$$鲁抗医药 sh600789$$永和智控 sz002795$$五粮液 sz000858$', '2018-07-23 21:41:39')
('发布了头条文章：《鲁抗医药600789：主力千万巨资暗中抄底，月末将开启主升浪暴涨模式》 #鲁抗医药 sh600789# #上证指数 sh000001# #股票分析# # 短线牛股# #股票分析# |鲁抗医药60...', '2018-07-23 21:27:59')
('股市唯一不骗人的指标——“换手率”，看懂你就离高手不远了！ $中新药业 sh600329$ $川化股份 sz000155$ $雄帝科技 sz300546$ $鲁抗医药 sh600789$ 马旷盈的秒...', '2018-07-23 11:18:56')
('回复@为你钟情的黄小幺:图片评论因为主力还需要时间出货！通道压力位，放量资金流出形成头部，不出来等啥呢？ 评论配图 //@为你钟情的黄小幺:为啥鲁抗医药今天没受到太大影响 我需要暂时出来吗？//@哎呀_老张:震荡攀升市，专心做个股吧！', '2018-07-22 12:06:20')
('上周俺对大盘的预判0失误。这周从小时线来看这个位置快速大幅度拉升很难延续，预计周一将震荡攀升。下周大盘上方2857点缺口补缺没有问题，但是3000点的缺口俺认为没有什么技术面基础支撑，前期高点压力很大。总之来说下周震荡攀升的股票可以逢低吸纳，跟着主力建仓，依旧玩短线。大盘还缺一跌，最后一 ...展开全文c', '2018-07-23 09:56:31')
('芯片又一新龙头再次封王，净利翻323倍，或将碾压鲁抗医药成妖 $恒邦股份 sz002237$ $奥瑞金 sz002701$ $凯利泰 sz300326$ $圣农发展 sz002299$ 姚晓浪的秒...', '2018-07-23 09:54:09')
('时间：2018年7月23日星期四，市值32.5万持仓：持仓鲁抗医药一成。计划：逢低建仓先河环保和万邦达，总仓位不超过3成。', '2018-07-23 09:44:37')
('很喜欢#喜马拉雅#上道家天明大师的节目《做强势股回调，不做弱势股反弹！龙马环卫，罗牛山，鲁抗医药！》，快来听一听吧! 做强势股回调，不做弱势股反弹！龙马环卫，罗牛山，鲁抗医药！', '2018-07-23 08:29:35')
('中国股市爆出罕见内幕，大佬总算出手，大盘重返3000点指日可待！ #中国铝业 sh601600[股票]# #鲁抗医药 sh600789[股票]# 小雅分析的...', '2018-07-23 08:24:22')
('公众号一天只能发一条，收盘就发微博吧，希望朋友们看到。今天无论主板还是创业板都放量了，行情向纵深展开。早盘提到的医药板块，鲁抗医药顶住了利空的打压，持续关注中。603398今天又做出了一个防守点，希望我们一起持有到目标价。', '2018-07-23 04:37:49')
('发布了头条文章：《华测检测+鲁抗医药：主力整装待发，机构26亿加持！黑马崭露头角？》 $华测检测 sz300012$ $鲁抗医药 sh600789$ $上证指数 sh000001$ #股票分析# |华测检测+...', '2018-07-23 03:25:51')
('发布了头条文章：《洋河股份+鲁抗医药：7月妖王再袭！机构50亿锁仓，冲击18年飙涨王？》 $洋河股份 sz002304$ $鲁抗医药 sh600789$ $上证指数 sh000001$ #今日看盘# |洋河股份+...', '2018-07-23 02:20:12')
('云计算龙头从63跌至25元，主力78亿底部抢筹，有望顶替荣科科技13个涨停板！#大东海A sz000613[股票]# #鲁抗医药 sh600789[股票]# 小雅分析的...', '2018-07-23 01:43:54')
('本轮医药股错杀给了鲁抗医药上车的好机会 回到10.85的话我就清掉所有股去满仓买', '2018-07-23 01:26:57')
('生物疫苗医药公司我只买过一家，鲁抗医药，说实话蛮内疚的....有点发国难财的感觉（注意：是买过，现在一股没有）', '2018-07-23 00:24:03')
('芯片又一新龙头再次封王，净利翻532倍，或将碾压鲁抗医药成妖 $九华旅游 sh603199$ $文山电力 sh600995$ $金证股份 sh600446$ $科蓝软件 sz300663$ 姚晓浪的秒...', '2018-07-22 23:54:22')
('发布了头条文章：《鲁抗医药600789 ：新一轮回调趋势震撼来袭，站稳此点必将再度爆发》 $鲁抗医药 sh600789$ #微博股票热议榜#微博股票[超话]# |鲁抗医药60...', '2018-07-22 23:34:17')
('发布了头条文章：《中信建投+鲁抗医药：主力诡秘布局，庄家16亿加码！雄起18年黑马？》 $中信建投 sh601066$ $鲁抗医药 sh600789$ $上证指数 sh000001$ #股票分析# |中信建投+...', '2018-07-22 23:09:10')
('医药股早盘集体大跌，昨日五大官媒痛批长生问题疫苗。泰合健康，华闻传媒，鲁抗医药，恒瑞医药，这几只票有问题的下方评论留言，在线解答。$泰合健康 sz000790$ $华闻传媒 sz000793$$鲁抗医药 sh600789$ $恒瑞医药 sh600276$#航海鸿阳# #个股解析#', '2018-07-22 21:49:31')
('研发费用一个亿，销售费用6个亿，公司的重心就没放在生产上，全想着怎么打通关节了。以后看到类似这种的票，能离多远就离多远。短期医药股都会受到影响，中长期来说会增加行业的集中度，利好$鲁抗医药 sh600789$ 这样的实实在在做实业的企业。看来$药石科技 sz300725$ 也不能玩了，短期只要是医药股 ...展开全文c', '2018-07-22 21:12:55')
('长生生物的假疫苗事件会引发医药板块的集体回调吗？我的鲁抗医药现在慌的一笔…明天拭目以待吧', '2018-07-22 09:27:59')
('利安隆（强烈买入超级好票）、胜宏科技（很安全）、拉芳家化（投机）、鲁抗医药（跟踪）、美亚光电（慢牛好票）、今世缘（跟踪到位）、陈安科技（重点观察）、杨帆新材（系统票等调整）、广州酒家（雷同）、重庆百货（关注）、青松股份（关注）、中新药业（五周线）、埃斯顿（关注）、白云山（关注）', '2018-07-22 07:42:12')
('发布了头条文章：《A股重磅：鲁抗医药+量子生物+国芳集团，七月操作策略解读》 $鲁抗医药 sh600789$ +$量子生物 sz300149$ +$国芳集团 sh601086$ $上证指数 sh000001$ #财经头条文章# $深证成指 sz399001$ |A股重磅：...', '2018-07-22 06:06:41')
('发布了头条文章：《鲁抗医药600789重大利好发力，后市惊喜不断！》$鲁抗医药 sh600789$ $上证指数 sh000001$ #财经头条文章# #财经头条# |鲁抗医药60...', '2018-07-22 05:12:41')
('发布了头条文章：《文轩论股：世纪天鸿+鲁抗医药+海康威视，后期走势大揭秘！》 $世纪天鸿 sz300654$ $上证指数 sh000001$ #股票# #股票分析# #今日看盘# |文轩论股：...', '2018-07-21 22:29:06')
('中国股市走势“泄露”！高层正式宣布千亿机构资金离场已至冰点，2018年真正的历史巨变 开启$合康新能 sz300048$ $鲁抗医药 sh600789$ $神雾环保 sz300156$ $南洋科技 sz002389$ 蒋涛分析的...', '2018-07-21 21:45:11')
('芯片又一新龙头再次封王，净利翻245倍，或将碾压鲁抗医药成妖 $DR龙韵股 sh603729$ $江苏租赁 sh600901$ $睿能科技 sh603933$ $赣粤高速 sh600269$ 姚晓浪的秒...', '2018-07-21 16:58:03')
('宝信软件、杨捷科技、精测电子、华新水泥、中航沈飞（下月）、国瓷材料、新莱应材、日机密封、老百姓、外运发展、重庆啤酒、柳工、新安股份、瀚蓝环境、鲁抗医药、美亚光电、陈安科技、重庆百货、宋城演艺、恒顺醋业、石基信息、埃斯顿、白云山、长江通信、超图软件、佳发教育', '2018-07-21 10:16:49')
('武汉一女博士说破股市: 万一遇见“跌停式”试盘, 定是大牛股 $鲁抗医药 sh600789$ $龙溪股份 sh600592$ $联得装备 sz300545$ $科信技术 sz300565$ L-花花-V幸...', '2018-07-21 09:27:06')
('回望就是一种痛苦，回望2015的七月没有抄底的死尼，真心该死，回望去年没有捏死鲁西化工，真心该死，回望今年没有捏死鲁抗医药，真心该死，凡事不过三，我居然犯了三次错误，犯了三次失去财务自由的机会，唉！姐真心很衰！回望是种病，630，830，789，都是买过的票，都是拿过的票， ...展开全文c', '2018-07-21 08:06:39')
('芯片又一新龙头再次封王，净利翻227倍，或将碾压鲁抗医药成妖 $珠江钢琴 sz002678$ $龙源技术 sz300105$ $苏博特 sh603916$ $沙隆达B sz200553$ 姚晓浪的秒...', '2018-07-21 06:38:07')
